detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
oracle,2.4744444444444444,0.6162777777777777,0.6162777777777777,0.0,0.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,1
verifier_first_correct,5.264444444444444,0.4767777777777777,0.6162777777777777,0.1394999999999999,0.0,0.31,2.79,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,2
first_answer,1.0,0.2366666666666666,0.6162777777777777,0.379611111111111,0.4533333333333333,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,3
hazard_drift,3.604444444444444,0.2042222222222222,0.6162777777777777,0.4120555555555555,0.2044444444444444,0.7333333333333333,1.7644444444444445,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,4
e_process,3.0,0.1722222222222222,0.6162777777777777,0.4440555555555555,0.22,0.6877777777777778,1.2344444444444445,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,5
entropy_plateau,5.438888888888889,0.1313888888888889,0.6162777777777777,0.4848888888888888,0.1366666666666666,0.8577777777777778,3.35,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,6
empirical_bernstein,9.0,-0.0977777777777778,0.6162777777777777,0.7140555555555556,0.02,0.9611111111111112,6.545555555555556,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,7
answer_stability,9.946666666666667,-0.1251111111111111,0.6162777777777777,0.7413888888888889,0.0,0.98,7.472222222222222,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,8
never_stop,10.0,-0.1299999999999999,0.6162777777777777,0.7462777777777777,0.0,0.98,7.525555555555556,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,9
oracle,1.0322222222222222,0.0883888888888888,0.0883888888888888,0.0,0.0,0.0,0.0,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,1
first_answer,1.0,0.0711111111111111,0.0883888888888888,0.0172777777777777,0.0188888888888888,0.0,0.0,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,2
e_process,2.0,0.0288888888888888,0.0883888888888888,0.0595,0.0077777777777777,0.9811111111111112,0.9811111111111112,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,3
answer_stability,2.5033333333333334,0.0026111111111111,0.0883888888888888,0.0857777777777777,0.0066666666666666,0.9933333333333332,1.4833333333333334,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,4
entropy_plateau,2.6633333333333336,-0.0042777777777777,0.0883888888888888,0.0926666666666666,0.0055555555555555,0.9944444444444444,1.6422222222222222,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,5
hazard_drift,3.894444444444445,-0.0647222222222222,0.0883888888888888,0.1531111111111111,0.0033333333333333,0.9955555555555556,2.868888888888889,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,6
verifier_first_correct,9.22222222222222,-0.3211111111111111,0.0883888888888888,0.4095,0.0,0.91,8.19,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,7
empirical_bernstein,9.0,-0.3222222222222222,0.0883888888888888,0.4106111111111111,0.0,1.0,7.967777777777778,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,8
never_stop,10.0,-0.3711111111111111,0.0883888888888888,0.4595,0.0,1.0,8.967777777777778,family,Qwen2.5 instruct,,Qwen2.5 instruct,Qwen2.5 instruct,family-average,9
oracle,2.4744444444444444,0.6162777777777777,0.6162777777777777,0.0,0.0,0.0,0.0,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,1
verifier_first_correct,5.264444444444444,0.4767777777777777,0.6162777777777777,0.1394999999999999,0.0,0.31,2.79,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,2
first_answer,1.0,0.2366666666666666,0.6162777777777777,0.379611111111111,0.4533333333333333,0.0,0.0,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,3
hazard_drift,3.604444444444444,0.2042222222222222,0.6162777777777777,0.4120555555555555,0.2044444444444444,0.7333333333333333,1.7644444444444445,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,4
e_process,3.0,0.1722222222222222,0.6162777777777777,0.4440555555555555,0.22,0.6877777777777778,1.2344444444444445,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,5
entropy_plateau,5.438888888888889,0.1313888888888889,0.6162777777777777,0.4848888888888888,0.1366666666666666,0.8577777777777778,3.35,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,6
