model,difficulty,n_problems,mean_step1_rate,mean_ever_solved
Qwen 0.5B,easy,11,0.7575757575757577,0.818181818181818
Qwen 0.5B,medium,51,0.2549019607843137,0.35294117647058815
Qwen 0.5B,hard,238,0.0,0.0
DeepSeek 1.5B,easy,60,0.7777777777777778,0.9888888888888888
DeepSeek 1.5B,medium,194,0.1254295532646048,0.7611683848797252
DeepSeek 1.5B,hard,46,0.0,0.0
Mistral 7B,easy,82,0.8089430894308944,0.8739837398373983
Mistral 7B,medium,136,0.17892156862745098,0.47794117647058826
Mistral 7B,hard,82,0.0,0.0
Qwen 7B,easy,97,0.824742268041237,0.965635738831615
Qwen 7B,medium,194,0.15120274914089346,0.8075601374570448
Qwen 7B,hard,9,0.0,0.0
