step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.7777777777777778,0.4,0.39285714285714285,-0.26666666666666666,180,easy,60
2,0.5611111111111111,0.45569620253164556,0.38613861386138615,-0.0666666666666667,180,easy,60
3,0.5444444444444444,0.3902439024390244,0.37755102040816324,-0.07777777777777771,180,easy,60
4,0.5166666666666667,0.42528735632183906,0.3978494623655914,-0.05000000000000006,180,easy,60
5,0.5166666666666667,0.45977011494252873,0.43010752688172044,-0.05000000000000006,180,easy,60
6,0.5166666666666667,0.3793103448275862,0.25806451612903225,-4.163336342344337e-17,180,easy,60
7,0.5666666666666667,0.4230769230769231,0.29411764705882354,-0.03333333333333331,180,easy,60
8,0.5833333333333334,0.41333333333333333,0.2761904761904762,-0.03888888888888893,180,easy,60
9,0.5944444444444444,0.3835616438356164,0.2523364485981308,-0.04444444444444444,180,easy,60
10,0.6,0.0,0.0,-0.05,180,easy,60
