step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.1254295532646048,0.2180746561886051,0.5616438356164384,0.07027491408934707,582,medium,194
2,0.24570446735395188,0.20501138952164008,0.6013986013986014,-0.043127147766323023,582,medium,194
3,0.25257731958762886,0.1839080459770115,0.6326530612244898,-0.07233676975945018,582,medium,194
4,0.23024054982817868,0.22767857142857142,0.6119402985074627,-0.015635738831615106,582,medium,194
5,0.2646048109965636,0.21495327102803738,0.5584415584415584,-0.03969072164948452,582,medium,194
6,0.27491408934707906,0.22985781990521326,0.53125,-0.029381443298969093,582,medium,194
7,0.29553264604810997,0.18048780487804877,0.45930232558139533,-0.05859106529209622,582,medium,194
8,0.2869415807560137,0.20481927710843373,0.5209580838323353,-0.05343642611683848,582,medium,194
9,0.28350515463917525,0.21103117505995203,0.44242424242424244,-0.02422680412371135,582,medium,194
10,0.30927835051546393,0.0,0.0,-0.05,582,medium,194
