step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.8089430894308943,0.14893617021276595,0.5829145728643216,-0.49308943089430896,246,easy,82
2,0.36585365853658536,0.3525641025641026,0.17777777777777778,0.10853658536585369,246,easy,82
3,0.524390243902439,0.20512820512820512,0.13178294573643412,-0.0215447154471545,246,easy,82
4,0.5528455284552846,0.16363636363636364,0.0661764705882353,-0.013414634146341468,246,easy,82
5,0.5894308943089431,0.09900990099009901,0.034482758620689655,-0.029674796747967483,246,easy,82
6,0.6097560975609756,0.0625,0.04666666666666667,-0.05406504065040651,246,easy,82
7,0.6056910569105691,0.041237113402061855,0.006711409395973154,-0.037804878048780494,246,easy,82
8,0.6178861788617886,0.031914893617021274,0.03289473684210526,-0.058130081300813014,246,easy,82
9,0.6097560975609756,0.07291666666666667,0.006666666666666667,-0.025609756097560978,246,easy,82
10,0.6341463414634146,0.0,0.0,-0.05,246,easy,82
