step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.7575757575757576,0.0,0.08,-0.11060606060606061,33,easy,11
2,0.696969696969697,0.1,0.0,-0.019696969696969702,33,easy,11
3,0.7272727272727273,0.1111111111111111,0.0,-0.019696969696969702,33,easy,11
4,0.7575757575757576,0.0,0.0,-0.05,33,easy,11
5,0.7575757575757576,0.0,0.04,-0.0803030303030303,33,easy,11
6,0.7272727272727273,0.1111111111111111,0.0,-0.019696969696969702,33,easy,11
7,0.7575757575757576,0.0,0.0,-0.05,33,easy,11
8,0.7575757575757576,0.0,0.04,-0.0803030303030303,33,easy,11
9,0.7272727272727273,0.1111111111111111,0.041666666666666664,-0.05,33,easy,11
10,0.7272727272727273,0.0,0.0,-0.05,33,easy,11
