step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.2549019607843137,0.08771929824561403,0.02564102564102564,0.00882352941176471,153,medium,51
2,0.3137254901960784,0.02857142857142857,0.020833333333333332,-0.0369281045751634,153,medium,51
3,0.32679738562091504,0.009708737864077669,0.04,-0.0565359477124183,153,medium,51
4,0.3202614379084967,0.009615384615384616,0.04081632653061224,-0.0565359477124183,153,medium,51
5,0.3137254901960784,0.009523809523809525,0.0,-0.043464052287581705,153,medium,51
6,0.3202614379084967,0.0,0.02040816326530612,-0.0565359477124183,153,medium,51
7,0.3137254901960784,0.0,0.020833333333333332,-0.0565359477124183,153,medium,51
8,0.30718954248366015,0.0,0.02127659574468085,-0.0565359477124183,153,medium,51
9,0.3006535947712418,0.018691588785046728,0.021739130434782608,-0.043464052287581705,153,medium,51
10,0.30718954248366015,0.0,0.0,-0.05,153,medium,51
