step,q_t,alpha_t,beta_t,mu_t,n_runs,difficulty,n_problems
1,0.8247422680412371,0.11764705882352941,0.7416666666666667,-0.64106529209622,291,easy,97
2,0.23367697594501718,0.30493273542600896,0.4264705882352941,0.084020618556701,291,easy,97
3,0.36769759450171824,0.5108695652173914,0.06542056074766354,0.2489690721649485,291,easy,97
4,0.6666666666666666,0.5051546391752577,0.015463917525773196,0.10807560137457047,291,easy,97
5,0.8247422680412371,0.37254901960784315,0.016666666666666666,0.001546391752577335,291,easy,97
6,0.8762886597938144,0.2222222222222222,0.01568627450980392,-0.03625429553264605,291,easy,97
7,0.8900343642611683,0.125,0.0,-0.036254295532646044,291,easy,97
8,0.9037800687285223,0.0,0.0038022813688212928,-0.05343642611683849,291,easy,97
9,0.9003436426116839,0.034482758620689655,0.0,-0.04656357388316151,291,easy,97
10,0.9037800687285223,0.0,0.0,-0.05,291,easy,97
