model,task_source_index,step1_solve_rate,ever_solved_rate,difficulty
Qwen 0.5B,0,0.0,0.0,hard
Qwen 0.5B,1,0.0,0.0,hard
Qwen 0.5B,2,0.0,0.0,hard
Qwen 0.5B,3,0.0,0.0,hard
Qwen 0.5B,4,0.0,0.0,hard
Qwen 0.5B,5,0.0,0.0,hard
Qwen 0.5B,6,0.0,0.0,hard
Qwen 0.5B,7,0.0,0.0,hard
Qwen 0.5B,8,0.0,0.0,hard
Qwen 0.5B,9,0.0,0.0,hard
Qwen 0.5B,10,0.0,0.0,hard
Qwen 0.5B,11,0.0,0.3333333333333333,medium
Qwen 0.5B,12,0.0,0.0,hard
Qwen 0.5B,13,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,14,1.0,1.0,easy
Qwen 0.5B,15,0.0,0.0,hard
Qwen 0.5B,16,0.0,0.0,hard
Qwen 0.5B,17,0.0,0.0,hard
Qwen 0.5B,18,0.0,0.0,hard
Qwen 0.5B,19,0.0,0.0,hard
Qwen 0.5B,20,0.0,0.0,hard
Qwen 0.5B,21,0.0,0.0,hard
Qwen 0.5B,22,0.0,0.0,hard
Qwen 0.5B,23,0.0,0.0,hard
Qwen 0.5B,24,0.0,0.0,hard
Qwen 0.5B,25,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,26,0.0,0.0,hard
Qwen 0.5B,27,0.0,0.0,hard
Qwen 0.5B,28,0.0,0.0,hard
Qwen 0.5B,29,0.0,0.0,hard
Qwen 0.5B,30,0.0,0.0,hard
Qwen 0.5B,31,0.0,0.0,hard
Qwen 0.5B,32,0.0,0.0,hard
Qwen 0.5B,33,0.0,0.0,hard
Qwen 0.5B,34,0.0,0.0,hard
Qwen 0.5B,35,0.0,0.0,hard
Qwen 0.5B,36,0.0,0.0,hard
Qwen 0.5B,37,1.0,1.0,easy
Qwen 0.5B,38,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,39,0.0,0.0,hard
Qwen 0.5B,40,0.0,0.0,hard
Qwen 0.5B,41,0.0,0.0,hard
Qwen 0.5B,42,0.0,0.0,hard
Qwen 0.5B,43,0.0,0.0,hard
Qwen 0.5B,44,0.0,0.0,hard
Qwen 0.5B,45,0.0,0.0,hard
Qwen 0.5B,46,0.0,0.0,hard
Qwen 0.5B,47,0.0,0.3333333333333333,medium
Qwen 0.5B,48,0.6666666666666666,0.6666666666666666,easy
Qwen 0.5B,49,0.0,0.0,hard
Qwen 0.5B,50,0.0,0.0,hard
Qwen 0.5B,51,0.0,0.0,hard
Qwen 0.5B,52,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,53,0.0,0.0,hard
Qwen 0.5B,54,0.0,0.0,hard
Qwen 0.5B,55,0.0,0.0,hard
Qwen 0.5B,56,0.0,0.0,hard
Qwen 0.5B,57,0.0,0.3333333333333333,medium
Qwen 0.5B,58,0.0,0.0,hard
Qwen 0.5B,59,0.0,0.0,hard
Qwen 0.5B,60,0.0,0.0,hard
Qwen 0.5B,61,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,62,0.0,0.0,hard
Qwen 0.5B,63,0.6666666666666666,0.6666666666666666,easy
Qwen 0.5B,64,0.0,0.0,hard
Qwen 0.5B,65,0.0,0.0,hard
Qwen 0.5B,66,0.0,0.0,hard
Qwen 0.5B,67,0.0,0.0,hard
Qwen 0.5B,68,0.0,0.0,hard
Qwen 0.5B,69,0.0,0.0,hard
Qwen 0.5B,70,0.0,0.0,hard
Qwen 0.5B,71,0.0,0.0,hard
Qwen 0.5B,72,0.0,0.0,hard
Qwen 0.5B,73,0.0,0.0,hard
Qwen 0.5B,74,0.0,0.0,hard
Qwen 0.5B,75,0.0,0.0,hard
Qwen 0.5B,76,0.0,0.0,hard
Qwen 0.5B,77,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,78,0.0,0.0,hard
Qwen 0.5B,79,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,80,0.0,0.0,hard
Qwen 0.5B,81,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,82,0.0,0.0,hard
Qwen 0.5B,83,0.0,0.0,hard
Qwen 0.5B,84,0.0,0.0,hard
Qwen 0.5B,85,0.0,0.0,hard
Qwen 0.5B,86,0.0,0.0,hard
Qwen 0.5B,87,0.0,0.3333333333333333,medium
Qwen 0.5B,88,0.0,0.0,hard
Qwen 0.5B,89,0.0,0.0,hard
Qwen 0.5B,90,0.0,0.0,hard
Qwen 0.5B,91,0.0,0.0,hard
Qwen 0.5B,92,0.0,0.3333333333333333,medium
Qwen 0.5B,93,0.0,0.0,hard
Qwen 0.5B,94,0.0,0.0,hard
Qwen 0.5B,95,0.0,0.0,hard
Qwen 0.5B,96,0.0,0.0,hard
Qwen 0.5B,97,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,98,0.0,0.0,hard
Qwen 0.5B,99,0.0,0.0,hard
Qwen 0.5B,100,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,101,0.0,0.0,hard
Qwen 0.5B,102,0.0,0.0,hard
Qwen 0.5B,103,0.0,0.0,hard
Qwen 0.5B,104,0.0,0.0,hard
Qwen 0.5B,105,0.0,0.0,hard
Qwen 0.5B,106,0.0,0.3333333333333333,medium
Qwen 0.5B,107,0.0,0.0,hard
Qwen 0.5B,108,0.0,0.0,hard
Qwen 0.5B,109,0.0,0.0,hard
Qwen 0.5B,110,0.0,0.0,hard
Qwen 0.5B,111,0.0,0.0,hard
Qwen 0.5B,112,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,113,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,114,0.0,0.0,hard
Qwen 0.5B,115,0.0,0.0,hard
Qwen 0.5B,116,0.0,0.0,hard
Qwen 0.5B,117,0.0,0.0,hard
Qwen 0.5B,118,0.0,0.0,hard
Qwen 0.5B,119,0.0,0.0,hard
Qwen 0.5B,120,0.0,0.0,hard
Qwen 0.5B,121,0.0,0.0,hard
Qwen 0.5B,122,0.0,0.0,hard
Qwen 0.5B,123,0.0,0.0,hard
Qwen 0.5B,124,0.0,0.0,hard
Qwen 0.5B,125,0.6666666666666666,1.0,easy
Qwen 0.5B,126,0.0,0.0,hard
Qwen 0.5B,127,0.0,0.0,hard
Qwen 0.5B,128,0.0,0.0,hard
Qwen 0.5B,129,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,130,0.0,0.0,hard
Qwen 0.5B,131,0.0,0.0,hard
Qwen 0.5B,132,0.0,0.0,hard
Qwen 0.5B,133,0.0,0.0,hard
Qwen 0.5B,134,0.0,0.0,hard
Qwen 0.5B,135,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,136,0.0,0.6666666666666666,medium
Qwen 0.5B,137,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,138,0.0,0.0,hard
Qwen 0.5B,139,0.0,0.0,hard
Qwen 0.5B,140,0.0,0.0,hard
Qwen 0.5B,141,0.0,0.0,hard
Qwen 0.5B,142,0.0,0.0,hard
Qwen 0.5B,143,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,144,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,145,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,146,0.0,0.0,hard
Qwen 0.5B,147,0.0,0.0,hard
Qwen 0.5B,148,0.0,0.0,hard
Qwen 0.5B,149,0.0,0.0,hard
Qwen 0.5B,150,0.0,0.0,hard
Qwen 0.5B,151,0.6666666666666666,0.6666666666666666,easy
Qwen 0.5B,152,0.0,0.0,hard
Qwen 0.5B,153,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,154,0.0,0.0,hard
Qwen 0.5B,155,0.0,0.0,hard
Qwen 0.5B,156,0.0,0.0,hard
Qwen 0.5B,157,0.0,0.0,hard
Qwen 0.5B,158,0.0,0.0,hard
Qwen 0.5B,159,0.0,0.0,hard
Qwen 0.5B,160,0.0,0.0,hard
Qwen 0.5B,161,0.0,0.0,hard
Qwen 0.5B,162,0.0,0.0,hard
Qwen 0.5B,163,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,164,0.0,0.0,hard
Qwen 0.5B,165,0.0,0.0,hard
Qwen 0.5B,166,0.0,0.0,hard
Qwen 0.5B,167,0.0,0.0,hard
Qwen 0.5B,168,0.0,0.0,hard
Qwen 0.5B,169,0.0,0.0,hard
Qwen 0.5B,170,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,171,0.0,0.0,hard
Qwen 0.5B,172,0.3333333333333333,0.6666666666666666,medium
Qwen 0.5B,173,0.0,0.0,hard
Qwen 0.5B,174,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,175,0.3333333333333333,0.3333333333333333,medium
Qwen 0.5B,176,0.6666666666666666,0.6666666666666666,easy
Qwen 0.5B,177,0.0,0.0,hard
Qwen 0.5B,178,0.0,0.0,hard
Qwen 0.5B,179,0.6666666666666666,1.0,easy
Qwen 0.5B,180,0.0,0.0,hard
Qwen 0.5B,181,0.0,0.0,hard
Qwen 0.5B,182,0.0,0.0,hard
Qwen 0.5B,183,0.0,0.0,hard
Qwen 0.5B,184,0.0,0.0,hard
Qwen 0.5B,185,0.0,0.0,hard
Qwen 0.5B,186,0.0,0.0,hard
Qwen 0.5B,187,0.0,0.0,hard
Qwen 0.5B,188,0.0,0.0,hard
Qwen 0.5B,189,0.0,0.0,hard
Qwen 0.5B,190,0.0,0.0,hard
Qwen 0.5B,191,0.0,0.0,hard
Qwen 0.5B,192,0.0,0.0,hard
Qwen 0.5B,193,0.0,0.0,hard
