term,q_weight,alpha_weight,beta_weight
confidence,0.5673014513310908,-0.7823715051568751,-1.0287510594473677
confidence thought_token_count,-0.03691767297411786,-0.30375908001153357,-0.07444806717135566
confidence^2,0.6949658999594677,-0.8967437184814478,0.8510781335763835
entropy_mean,-0.32693962994113607,0.4542231298588601,0.7213375689133084
entropy_mean confidence,-0.26212630236148887,0.3510800033370288,0.35335509817307603
entropy_mean entropy_std,0.27326874090466385,-0.7023006721984449,-0.5987673193925164
entropy_mean thought_token_count,-0.03412108061975997,-0.5383687520031566,-0.43049643854725
entropy_mean^2,-0.34175305077456536,0.24372454288019393,0.20420354741972288
entropy_std,0.07967158764098888,-0.3266456004942323,-0.5048436528327362
entropy_std confidence,0.09719881692182024,-0.28712117955398825,-0.15056324206450974
entropy_std thought_token_count,0.08370611241564657,0.48259839742340543,0.3954036069119934
entropy_std^2,0.009852897935018529,0.38257290037235137,0.11215711274108357
intercept,-0.05410595746039599,-0.2178132781932025,-0.26931686239571506
thought_token_count,-0.3352102407167175,0.15040963895158982,0.5178527612861045
thought_token_count^2,0.21749525293459682,-0.09988298724316533,-0.2584311157335837
