variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,holdout_family,mean_train_auc,mean_test_auc,generalization_gap,q_train_auc,q_test_auc,alpha_train_auc,alpha_test_auc,beta_train_auc,beta_test_auc,drift_train_auc,drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility
hazard_linear_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with linear logistic heads over the current top-4 observables.,DeepSeek 1.5B,0.7421905775112402,0.5718347854773259,0.17035579203391427,0.6790458772643855,0.6318583908803435,0.7308836507898115,0.5111926145612156,0.8166422044795238,0.5724533509904188,,,0.2047860240433048,0.19697945167740086,0.52,0.4317222222222222,0.18455555555555556
hazard_linear_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with linear logistic heads over the current top-4 observables.,Mistral 7B,0.6562563909112439,0.6993623320055221,-0.04310594109427823,0.6783040287515003,0.6449740424912612,0.627247560075416,0.6992070255840074,0.6632175839068151,0.7539059279412977,,,0.23379027256068155,0.3254580924456814,0.3333333333333333,0.2808333333333333,0.15761111111111112
hazard_linear_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with linear logistic heads over the current top-4 observables.,Qwen 0.5B,0.6594789136420935,0.5611891688664147,0.09828974477567887,0.6869456434172362,0.5285519791011644,0.6014624868878413,0.5950791205028493,0.6900286106212032,0.5599364069952306,,,0.22995787322190506,0.45585610428705836,0.7266666666666667,0.08538888888888892,0.0029999999999999897
hazard_linear_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with linear logistic heads over the current top-4 observables.,Qwen 7B,0.6248386702074639,0.7120921756845003,-0.08725350547703647,0.6472253442636813,0.7448729943910428,0.6044500398691263,0.583185170169598,0.6228406264895842,0.80821836249286,,,0.23981629419638031,0.27548629564372257,0.4111111111111111,0.48183333333333334,0.2787777777777778
hazard_quadratic_top4,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with quadratic logistic heads over the current top-4 observables.,DeepSeek 1.5B,0.7810076073080174,0.5783944187495065,0.20261318855851096,0.7134845933194676,0.6368731036944494,0.761381297076378,0.5206729577969481,0.8681569315282067,0.577637194757122,,,0.1896740052583145,0.20601949134249142,0.38555555555555554,0.43833333333333335,0.17794444444444443
hazard_quadratic_top4,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with quadratic logistic heads over the current top-4 observables.,Mistral 7B,0.6952829909494628,0.7165947295900112,-0.021311738640548472,0.6982537859271785,0.6506411650433465,0.6505137344829792,0.7089033248486012,0.7370814524382308,0.7902396988780863,,,0.22305795327382147,0.3115048493189122,0.27666666666666667,0.28833333333333333,0.15011111111111108
hazard_quadratic_top4,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with quadratic logistic heads over the current top-4 observables.,Qwen 0.5B,0.6886143518307097,0.5911882208283891,0.09742613100232067,0.6974658365768774,0.5291178344889872,0.6076603856799001,0.6457186880915694,0.7607168332353518,0.5987281399046105,,,0.2214119131405623,0.43019062565912164,0.5366666666666666,0.10155555555555557,-0.01316666666666668
hazard_quadratic_top4,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with quadratic logistic heads over the current top-4 observables.,Qwen 7B,0.6957731459095386,0.7052607133879497,-0.009487567478411063,0.6638089836227822,0.7574901840096162,0.6883761231223313,0.5528353116203976,0.7351343309835023,0.8054566445338355,,,0.2285690720827481,0.2551668651364419,0.39555555555555555,0.4866666666666667,0.27394444444444443
hazard_cubic_top4,hazard,cubic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with cubic logistic heads over the current top-4 observables.,DeepSeek 1.5B,0.8352360040107416,0.5110292020729578,0.32420680193778384,0.778674613312091,0.6377519369202396,0.8324286812736208,0.4691683471392575,0.8946047174465129,0.42616732215937647,,,0.16607350063268653,0.35227561623847664,0.6766666666666666,0.4003333333333333,0.21594444444444447
hazard_cubic_top4,hazard,cubic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with cubic logistic heads over the current top-4 observables.,Mistral 7B,0.7809111577610534,0.7079962259382256,0.07291493182282771,0.7287372159524886,0.6195081061653027,0.7600079852900208,0.6577646587388039,0.8539882720406504,0.8467159129105705,,,0.19144584655196958,0.2619128389254701,0.1322222222222222,0.33916666666666667,0.09927777777777777
