cell,model,dataset,n_runs,stop_mismatches,delta_full_DEPLOY,fold_delta_min,fold_delta_max,oof_dU,oof_win,oof_tie,oof_loss,base_win,base_tie,base_loss,base_loss_pct,oof_loss_pct,cal_full_dU_INSAMPLE,cal_full_loss_INSAMPLE
deepseek_r1_distill_1p5b__arc,deepseek_r1_distill_1p5b,arc,1500,0,0.11,0.105,0.11,9.2,1309,0,191,1307,3,190,12.67,12.73,9.25,191
deepseek_r1_distill_1p5b__gpqa,deepseek_r1_distill_1p5b,gpqa,1344,0,0.02,0.0,0.115,-1.9,1225,0,119,1227,0,117,8.71,8.85,0.65,119
deepseek_r1_distill_1p5b__gsm8k,deepseek_r1_distill_1p5b,gsm8k,1500,0,0.06,0.06,0.06,57.35,1285,17,198,1240,98,162,10.8,13.2,57.35,198
deepseek_r1_distill_1p5b__math,deepseek_r1_distill_1p5b,math,1500,0,0.075,0.065,0.075,25.4,1441,0,59,1433,10,57,3.8,3.93,25.6,59
deepseek_r1_distill_7b__arc,deepseek_r1_distill_7b,arc,1500,0,0.08,-0.055,0.08,-14.65,1276,13,211,1285,34,181,12.07,14.07,6.65,193
deepseek_r1_distill_7b__gpqa,deepseek_r1_distill_7b,gpqa,1344,0,0.055,0.0,0.055,-5.65,1213,0,131,1215,0,129,9.6,9.75,1.25,128
deepseek_r1_distill_7b__gsm8k,deepseek_r1_distill_7b,gsm8k,1500,0,0.075,0.05,0.12,-7.75,1339,19,142,1322,55,123,8.2,9.47,8.0,135
deepseek_r1_distill_7b__math,deepseek_r1_distill_7b,math,1500,0,0.1,0.095,0.14,75.7,1426,0,74,1425,10,65,4.33,4.93,80.95,73
internlm3_8b_instruct__arc,internlm3_8b_instruct,arc,1500,0,0.15,0.15,0.15,31.05,1485,1,14,1459,32,9,0.6,0.93,31.05,14
internlm3_8b_instruct__gpqa,internlm3_8b_instruct,gpqa,1344,0,0.15,0.085,0.15,14.85,1279,0,65,1294,3,47,3.5,4.84,19.1,65
internlm3_8b_instruct__gsm8k,internlm3_8b_instruct,gsm8k,1500,0,0.05,0.05,0.09,1.55,1328,4,168,1380,4,116,7.73,11.2,6.7,151
internlm3_8b_instruct__math,internlm3_8b_instruct,math,1500,0,0.15,0.14,0.15,59.85,1354,24,122,1359,44,97,6.47,8.13,61.45,122
llama_3p1_8b_instruct__arc,llama_3p1_8b_instruct,arc,1500,0,0.02,-0.02,0.12,-9.65,1381,6,113,1387,21,92,6.13,7.53,2.55,105
llama_3p1_8b_instruct__gpqa,llama_3p1_8b_instruct,gpqa,1342,0,0.135,0.095,0.135,31.9,1079,0,263,1107,4,231,17.21,19.6,35.4,266
llama_3p1_8b_instruct__gsm8k,llama_3p1_8b_instruct,gsm8k,1500,0,-0.11,-0.15,-0.11,1.9,1312,59,129,1302,14,184,12.27,8.6,8.7,129
llama_3p1_8b_instruct__math,llama_3p1_8b_instruct,math,1500,0,0.15,0.15,0.15,55.3,1301,2,197,1307,47,146,9.73,13.13,55.3,197
mistral_7b_instruct_v0p3__arc,mistral_7b_instruct_v0p3,arc,1500,0,0.13,0.12,0.13,6.5,1448,1,51,1445,7,48,3.2,3.4,6.55,51
mistral_7b_instruct_v0p3__gpqa,mistral_7b_instruct_v0p3,gpqa,1344,0,0.025,0.025,0.14,7.05,1222,0,122,1229,0,115,8.56,9.08,14.95,116
mistral_7b_instruct_v0p3__gsm8k,mistral_7b_instruct_v0p3,gsm8k,1500,0,0.15,0.15,0.15,46.65,1420,3,77,1424,20,56,3.73,5.13,46.65,77
mistral_7b_instruct_v0p3__math,mistral_7b_instruct_v0p3,math,1500,0,0.15,0.15,0.15,65.7,1456,22,22,1392,92,16,1.07,1.47,65.7,22
mistral_small_24b_2409__arc,mistral_small_24b_2409,arc,1500,0,0.0,0.0,0.0,-0.0,1418,1,81,1418,3,79,5.27,5.4,-0.0,81
mistral_small_24b_2409__gpqa,mistral_small_24b_2409,gpqa,1344,0,0.12,0.105,0.12,31.3,1103,10,231,1138,34,172,12.8,17.19,33.7,232
mistral_small_24b_2409__gsm8k,mistral_small_24b_2409,gsm8k,1500,0,-0.145,-0.145,-0.145,122.65,932,358,210,1003,43,454,30.27,14.0,122.65,210
mistral_small_24b_2409__math,mistral_small_24b_2409,math,1500,0,0.15,0.15,0.15,145.0,1085,8,407,1082,163,255,17.0,27.13,145.0,407
phi_4_mini_instruct__arc,phi_4_mini_instruct,arc,1500,0,-0.115,-0.13,-0.115,11.55,1366,16,118,1350,6,144,9.6,7.87,16.15,118
phi_4_mini_instruct__gpqa,phi_4_mini_instruct,gpqa,1344,0,0.125,0.05,0.15,-1.3,1187,0,157,1209,5,130,9.67,11.68,12.75,158
phi_4_mini_instruct__gsm8k,phi_4_mini_instruct,gsm8k,1500,0,0.09,0.06,0.125,-7.25,1306,16,178,1325,31,144,9.6,11.87,8.1,166
phi_4_mini_instruct__math,phi_4_mini_instruct,math,1500,0,0.15,0.15,0.15,64.85,1394,5,101,1330,95,75,5.0,6.73,64.85,101
qwen2p5_0p5b__arc,qwen2p5_0p5b,arc,1500,0,0.1,0.09,0.11,24.9,1425,0,75,1427,2,71,4.73,5.0,27.95,74
qwen2p5_0p5b__gpqa,qwen2p5_0p5b,gpqa,1342,0,0.15,0.15,0.15,14.2,1303,0,39,1297,8,37,2.76,2.91,14.2,39
qwen2p5_0p5b__gsm8k,qwen2p5_0p5b,gsm8k,1500,0,0.15,0.15,0.15,44.4,1491,0,9,1460,32,8,0.53,0.6,44.4,9
