dataset,detector,n_models,mean_oracle_gap,false_late_rate,false_early_rate,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_false_late_severity
gsm8k,oracle,13,0.00000,0.00000,0.00000,2.97041,0.54266,0.54266,0.00000
gsm8k,verifier_first_correct,13,0.10512,0.34149,0.17621,5.41954,0.43754,0.54266,2.73190
gsm8k,hazard_drift,13,0.23924,0.59082,0.13338,3.98179,0.30342,0.54266,1.32846
gsm8k,entropy_plateau,13,0.27184,0.69415,0.13097,4.39287,0.27082,0.54266,1.77903
gsm8k,e_process,13,0.28399,0.78687,0.07308,5.09231,0.25867,0.54266,2.29410
gsm8k,answer_stability,13,0.31571,0.76877,0.08344,5.31841,0.22695,0.54266,2.55897
gsm8k,first_answer,13,0.36645,0.00000,1.00000,1.00000,0.17621,0.54266,0.00000
gsm8k,empirical_bernstein,13,0.42881,0.90559,0.00697,8.46154,0.11385,0.54266,5.49903
gsm8k,never_stop,13,0.50286,0.99405,0.00000,10.00000,0.03979,0.54266,7.02959
math,oracle,13,0.00000,0.00000,0.00000,2.87710,0.20452,0.20452,0.00000
math,first_answer,13,0.14164,0.00000,1.00000,1.00000,0.06288,0.20452,0.00000
math,e_process,13,0.20272,0.51236,0.11626,4.18462,0.00180,0.20452,1.79508
math,hazard_drift,13,0.22522,0.56387,0.09985,5.00295,-0.02070,0.20452,2.48079
math,entropy_plateau,13,0.33775,0.76152,0.09057,6.73672,-0.13324,0.20452,4.23004
math,answer_stability,13,0.38811,0.80901,0.05903,8.22276,-0.18359,0.20452,5.58336
math,verifier_first_correct,13,0.40148,0.69286,0.06288,11.08217,-0.19697,0.20452,8.31431
math,empirical_bernstein,13,0.52117,0.90800,0.00887,11.49231,-0.31666,0.20452,8.63393
math,never_stop,13,0.64082,0.99426,0.00000,14.00000,-0.43630,0.20452,11.12290
arc,verifier_first_correct,13,-0.00941,0.14749,0.66000,2.43292,0.78087,0.77146,0.88492
arc,oracle,13,0.00000,0.00000,0.00000,2.28154,0.77146,0.77146,0.00000
arc,first_answer,13,0.11146,0.00000,1.00000,1.00000,0.66000,0.77146,0.00000
arc,hazard_drift,13,0.11759,0.32913,0.07913,2.64256,0.65387,0.77146,0.54128
arc,entropy_plateau,13,0.13554,0.39749,0.05733,3.01390,0.63592,0.77146,0.85677
arc,answer_stability,13,0.14714,0.38605,0.02800,3.37810,0.62433,0.77146,1.15800
arc,e_process,13,0.15413,0.32790,0.05708,3.06154,0.61733,0.77146,0.90231
arc,empirical_bernstein,13,0.23218,0.61697,0.01979,4.73846,0.53928,0.77146,2.49241
arc,never_stop,13,0.39321,0.99462,0.00000,8.00000,0.37826,0.77146,5.71846
gpqa,oracle,13,0.00000,0.00000,0.00000,2.47179,0.35758,0.35758,0.00000
gpqa,first_answer,13,0.10946,0.00000,1.00000,1.00000,0.24812,0.35758,0.00000
gpqa,hazard_drift,13,0.15828,0.24470,0.13175,2.55016,0.19930,0.35758,0.44491
gpqa,verifier_first_correct,13,0.16536,0.53545,0.24812,6.44662,0.19222,0.35758,4.28358
gpqa,e_process,13,0.17361,0.39026,0.10883,2.89228,0.18398,0.35758,0.71521
gpqa,entropy_plateau,13,0.21242,0.56259,0.08336,3.78076,0.14516,0.35758,1.55150
gpqa,answer_stability,13,0.25326,0.59616,0.05549,4.69138,0.10432,0.35758,2.37134
gpqa,empirical_bernstein,13,0.44671,0.92463,0.01609,8.53860,-0.08913,0.35758,6.10049
gpqa,never_stop,13,0.51383,0.99227,0.00000,10.00000,-0.15624,0.35758,7.52821
