detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
oracle,3.091333333333333,0.7197666666666667,0.7197666666666667,0.0,0.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,1
verifier_first_correct,3.715,0.69725,0.7197666666666667,0.02251666666666665,0.3946666666666666,0.16699999999999993,1.3359999999999999,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,2
first_answer,1.0,0.3946666666666666,0.7197666666666667,0.32509999999999994,1.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,3
hazard_drift,3.9496666666666664,0.3855166666666667,0.7197666666666667,0.33425,0.18366666666666664,0.5026666666666666,1.3436666666666666,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,4
entropy_plateau,5.1353333333333335,0.3345666666666666,0.7197666666666667,0.3852,0.13066666666666665,0.6910000000000001,2.389333333333333,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,5
e_process,5.9,0.17233333333333326,0.7197666666666667,0.5474333333333333,0.1273333333333333,0.7916666666666667,3.17,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,6
empirical_bernstein,9.0,0.029999999999999947,0.7197666666666667,0.6897666666666666,0.009333333333333301,0.9760000000000001,5.918,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,7
answer_stability,9.424,0.025800000000000003,0.7197666666666667,0.6939666666666666,0.0003333333333333,0.9633333333333333,6.333333333333334,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,8
never_stop,10.0,-0.03566666666666665,0.7197666666666667,0.7554333333333332,0.0,0.9906666666666666,6.908666666666667,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,9
oracle,2.523333333333333,0.6398333333333334,0.6398333333333334,0.0,0.0,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,1
verifier_first_correct,4.417333333333334,0.5564666666666667,0.6398333333333334,0.0833666666666666,0.2706666666666666,0.2726666666666666,2.1813333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,2
answer_stability,3.08,0.492,0.6398333333333334,0.1478333333333333,0.1046666666666666,0.544,0.7826666666666666,family,InternLM3,,InternLM3,InternLM3,family-average,3
entropy_plateau,3.474,0.4882999999999999,0.6398333333333334,0.1515333333333333,0.086,0.6186666666666667,1.143333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,4
hazard_drift,3.6346666666666665,0.4829333333333333,0.6398333333333334,0.1568999999999999,0.0813333333333333,0.6733333333333333,1.298,family,InternLM3,,InternLM3,InternLM3,family-average,5
