run_name,run_label,model_alias,model_name,family,parameter_count,backend,device,quantization,device_map,task_source,dataset_split,dataset_shuffle_seed,max_tasks,max_steps,max_new_tokens,temperatures,seeds,step_cost,prompt_mode,system_prompt_mode,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,pooled_proxy_boundary_step,fitted_boundary_step,repair_rate_overall,corruption_rate_overall,hazard_rule_gap,e_process_gap,never_stop_gap,probe_brier,probe_auc,runs_ever_correct,capability_gate_met,total_repairs,total_corruptions,best_detector,strongest_correctness_signal,strongest_correctness_feature,strongest_corruption_signal,strongest_corruption_feature,legacy_proxy_mismatch,late_boundary_assessment,task_alignment_ok,task_alignment_note
deepseek_r1_distill_1p5b__gsm8k,DeepSeek 1.5B,deepseek_r1_distill_1p5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1 distill,1.5B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.31133333333333335,0.36,9,2.0,2.0,2.0,2.0,0.2230625224062088,0.4306933143994432,0.3869666666666667,0.4604333333333333,0.7337666666666666,0.2143758885612467,0.7016584671505549,1136,True,2002,1945,verifier_first_correct,"answer revision flag (answer_changed, coeff=-0.720)",answer_changed,"entropy volatility (entropy_std, coeff=0.363)",entropy_std,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
deepseek_r1_distill_7b__gsm8k,DeepSeek 7B,deepseek_r1_distill_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1 distill,7B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.478,0.546,6,2.0,2.0,2.0,4.0,0.3636361833867449,0.3499408911673017,0.2815333333333333,0.6344333333333333,0.7770999999999999,0.1976194476837566,0.7535027265047751,1363,True,2405,2403,verifier_first_correct,"answer revision flag (answer_changed, coeff=-0.925)",answer_changed,"answer revision flag (answer_changed, coeff=0.240)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_0p5b__gsm8k,Qwen 0.5B,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 instruct,0.5B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.074,0.08133333333333333,5,2.0,2.0,2.0,2.0,0.0044909591764806,0.040427368936917,0.0493,0.0120666666666666,0.4067333333333333,0.2413349889677843,0.5787045752194593,140,False,53,42,first_answer,"token entropy (entropy_mean, coeff=-0.368)",entropy_mean,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=0.625)",verbose_confidence_proxy,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_3b__gsm8k,Qwen 3B,qwen2p5_3b,Qwen/Qwen2.5-3B-Instruct,Qwen2.5 instruct,3B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.05333333333333334,0.504,10,4.0,4.0,4.0,4.0,0.0907285295293372,0.0830497375065064,0.2380333333333333,0.2368999999999999,0.4608999999999999,0.2166120425618869,0.7086537371719103,902,True,896,220,verifier_first_correct,"self-reported confidence (confidence, coeff=0.717)",confidence,"answer revision flag (answer_changed, coeff=0.443)",answer_changed,False,Weakened late-boundary support,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_7b__gsm8k,Qwen 7B,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5 instruct,7B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.274,0.7053333333333334,10,5.0,5.0,5.0,5.0,0.1213540334291769,0.0634224213554613,0.1672333333333333,0.1978,0.3878,0.1959656975250955,0.752502941201943,1142,True,911,264,verifier_first_correct,"self-reported confidence (confidence, coeff=0.740)",confidence,"token entropy (entropy_mean, coeff=1.431)",entropy_mean,False,Late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_14b__gsm8k,Qwen 14B,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5 instruct,14B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.03,0.47333333333333333,9,5.0,5.0,5.0,6.0,0.1427189824364064,0.257685179548099,0.3534666666666667,0.3989666666666667,0.5676333333333333,0.1025787514962102,0.9122001197510544,1081,True,1346,721,verifier_first_correct,"hidden-state L2 drift (hidden_l2_shift, coeff=1.755)",hidden_l2_shift,"answer revision flag (answer_changed, coeff=0.942)",answer_changed,False,Late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_32b__gsm8k,Qwen 32B,qwen2p5_32b,Qwen/Qwen2.5-32B-Instruct,Qwen2.5 instruct,32B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.04133333333333333,0.8786666666666667,10,5.0,5.0,5.0,5.0,0.2187990796850994,0.0610611410608964,0.1834666666666666,0.1889333333333333,0.3529333333333333,0.1499640983874785,0.8345604985914064,1332,True,1411,155,verifier_first_correct,"hidden-state L2 drift (hidden_l2_shift, coeff=1.152)",hidden_l2_shift,"hidden-state L2 drift (hidden_l2_shift, coeff=1.537)",hidden_l2_shift,False,Late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
mistral_7b_instruct_v0p3__gsm8k,Mistral instruct 7B,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,Mistral instruct,7B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.304,0.32066666666666666,10,3.0,3.0,3.0,4.0,0.0525694584500451,0.1339030342351708,0.1440333333333333,0.155,0.447,0.2316384664966027,0.6504274166193997,659,True,526,501,first_answer,"answer revision flag (answer_changed, coeff=-0.554)",answer_changed,"hidden-state L2 drift (hidden_l2_shift, coeff=0.908)",hidden_l2_shift,False,Weakened late-boundary support,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
phi_4_mini_instruct__gsm8k,Phi 4 4B,phi_4_mini_instruct,microsoft/Phi-4-mini-instruct,Phi 4,4B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.3333333333333333,0.3413333333333333,10,2.0,2.0,2.0,3.0,0.1589269274023559,0.3426736214184104,0.2935333333333333,0.3407333333333333,0.6594,0.2314430223625314,0.6521386690965323,1081,True,1468,1456,verifier_first_correct,"answer revision flag (answer_changed, coeff=-0.565)",answer_changed,"answer revision flag (answer_changed, coeff=0.355)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
internlm3_8b_instruct__gsm8k,InternLM3 8B,internlm3_8b_instruct,internlm/InternLM3-8B-Instruct,InternLM3,8B,transformers+torch(cuda),cuda,none,,gsm8k,train,17,500,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.27066666666666667,0.6806666666666666,9,4.0,4.0,4.0,4.0,0.1073310491444749,0.0243437310301122,0.1568999999999999,0.1725,0.4091666666666665,0.2169637238984094,0.6942456890587786,1081,True,763,148,verifier_first_correct,"hidden-state L2 drift (hidden_l2_shift, coeff=0.395)",hidden_l2_shift,"hidden-state L2 drift (hidden_l2_shift, coeff=1.309)",hidden_l2_shift,False,Weakened late-boundary support,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
