detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
oracle,2.811,0.1724499999999999,0.1724499999999999,0.0,0.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,1
first_answer,1.0,0.06499999999999995,0.1724499999999999,0.10744999999999996,1.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,2
e_process,2.5,0.0006666666666666496,0.1724499999999999,0.1717833333333333,0.15999999999999995,0.37966666666666665,0.37966666666666665,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,3
hazard_drift,3.0083333333333333,-0.01941666666666665,0.1724499999999999,0.19186666666666666,0.16099999999999995,0.3083333333333333,0.8659999999999999,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,4
verifier_first_correct,11.393666666666668,-0.24935000000000002,0.1724499999999999,0.42179999999999995,0.06499999999999995,0.7296666666666667,8.756,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,5
entropy_plateau,11.984666666666666,-0.4645666666666667,0.1724499999999999,0.6370166666666667,0.0126666666666666,0.9723333333333334,9.224666666666668,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,6
empirical_bernstein,12.0,-0.4813333333333334,0.1724499999999999,0.6537833333333334,0.01699999999999995,0.9753333333333333,9.252333333333333,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,7
answer_stability,13.969666666666667,-0.5801499999999999,0.1724499999999999,0.7525999999999999,0.0,0.994,11.158666666666667,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,8
never_stop,14.0,-0.5833333333333333,0.1724499999999999,0.7557833333333333,0.0,0.9946666666666666,11.189,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,9
oracle,2.4326666666666665,0.2157,0.2157,0.0,0.0,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,1
first_answer,1.0,0.112,0.2157,0.1036999999999999,1.0,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,2
e_process,3.0,0.0873333333333333,0.2157,0.1283666666666666,0.084,0.8693333333333333,0.8693333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,3
entropy_plateau,4.892,0.0307333333333333,0.2157,0.1849666666666666,0.042,0.7033333333333334,2.615333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,4
hazard_drift,4.4446666666666665,0.0264333333333333,0.2157,0.1892666666666666,0.076,0.5893333333333334,2.232,family,InternLM3,,InternLM3,InternLM3,family-average,5
answer_stability,7.237333333333333,-0.0738666666666666,0.2157,0.2895666666666666,0.0246666666666666,0.7753333333333333,4.887333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,6
verifier_first_correct,10.746666666666666,-0.1913333333333333,0.2157,0.4070333333333333,0.112,0.704,8.448,family,InternLM3,,InternLM3,InternLM3,family-average,7
empirical_bernstein,13.0,-0.3546666666666667,0.2157,0.5703666666666667,0.004,0.994,10.571333333333332,family,InternLM3,,InternLM3,InternLM3,family-average,8
never_stop,14.0,-0.396,0.2157,0.6117,0.0,0.996,11.567333333333334,family,InternLM3,,InternLM3,InternLM3,family-average,9
oracle,3.975333333333333,0.2092333333333333,0.2092333333333333,0.0,0.0,0.0,0.0,family,Mistral Small,,Mistral Small,Mistral Small,family-average,1
first_answer,1.0,0.02,0.2092333333333333,0.1892333333333333,1.0,0.0,0.0,family,Mistral Small,,Mistral Small,Mistral Small,family-average,2
e_process,2.0,-0.0193333333333333,0.2092333333333333,0.2285666666666666,0.3273333333333333,0.0,0.0,family,Mistral Small,,Mistral Small,Mistral Small,family-average,3
