run_name,run_label,model_alias,model_name,family,parameter_count,backend,device,quantization,device_map,task_source,dataset_split,dataset_shuffle_seed,max_tasks,max_steps,max_new_tokens,temperatures,seeds,step_cost,prompt_mode,system_prompt_mode,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,pooled_proxy_boundary_step,fitted_boundary_step,repair_rate_overall,corruption_rate_overall,hazard_rule_gap,e_process_gap,never_stop_gap,probe_brier,probe_auc,runs_ever_correct,capability_gate_met,total_repairs,total_corruptions,best_detector,strongest_correctness_signal,strongest_correctness_feature,strongest_corruption_signal,strongest_corruption_feature,legacy_proxy_mismatch,late_boundary_assessment,task_alignment_ok,task_alignment_note
deepseek_r1_distill_1p5b__math,DeepSeek 1.5B,deepseek_r1_distill_1p5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1 distill,1.5B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.043333333333333335,0.054,13,2.0,2.0,2.0,2.0,0.0317841719313506,0.6610654996349735,0.1358333333333333,0.1187666666666666,0.7041,0.2383313018078615,0.6079804709127079,298,True,592,576,first_answer,"hidden-state cosine drift (hidden_cosine_shift, coeff=-0.804)",hidden_cosine_shift,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=0.209)",verbose_confidence_proxy,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
deepseek_r1_distill_7b__math,DeepSeek 7B,deepseek_r1_distill_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1 distill,7B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.08666666666666667,0.11933333333333333,4,2.0,2.0,2.0,3.0,0.0581532936781887,0.5520479331097835,0.2479,0.2248,0.8074666666666667,0.2286117885571485,0.6057827105263158,513,True,1024,1035,first_answer,"entropy volatility (entropy_std, coeff=0.586)",entropy_std,"entropy volatility (entropy_std, coeff=0.664)",entropy_std,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_0p5b__math,Qwen 0.5B,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 instruct,0.5B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.051333333333333335,0.05733333333333333,4,2.0,2.0,2.0,3.0,0.0022223262389773,0.0328021564775182,0.0532,0.0072,0.6045333333333333,0.2360895653276709,0.6316573019426373,98,False,41,35,first_answer,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.591)",verbose_confidence_proxy,"hidden-state L2 drift (hidden_l2_shift, coeff=1.852)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_3b__math,Qwen 3B,qwen2p5_3b,Qwen/Qwen2.5-3B-Instruct,Qwen2.5 instruct,3B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.044,0.172,14,2.0,2.0,2.0,7.0,0.0207144747148383,0.0915098318739437,0.2464333333333333,0.1462999999999999,0.6249666666666667,0.2138254518031662,0.7281088836705701,349,True,360,168,first_answer,"self-reported confidence (confidence, coeff=1.093)",confidence,"token entropy (entropy_mean, coeff=0.636)",entropy_mean,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_7b__math,Qwen 7B,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5 instruct,7B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.10933333333333334,0.3893333333333333,13,5.0,5.0,5.0,5.0,0.0424829837305445,0.0820377961271257,0.182,0.5093333333333334,0.5726666666666667,0.1760197146105526,0.8201989558346268,621,True,47,17,hazard_drift,"self-reported confidence (confidence, coeff=2.596)",confidence,"answer revision flag (answer_changed, coeff=0.993)",answer_changed,False,Late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_14b__math,Qwen 14B,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5 instruct,14B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.06466666666666666,0.31,14,2.0,2.0,2.0,,0.0488353704364498,0.1419749877885495,0.3824333333333333,0.348,0.622,0.1318724287321546,0.8964863837626391,639,True,769,401,first_answer,"self-reported confidence (confidence, coeff=1.855)",confidence,"hidden-state L2 drift (hidden_l2_shift, coeff=1.010)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_32b__math,Qwen 32B,qwen2p5_32b,Qwen/Qwen2.5-32B-Instruct,Qwen2.5 instruct,32B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.088,0.5853333333333334,14,6.0,6.0,6.0,6.0,0.0657435420058624,0.0210041731456611,0.2615666666666666,0.2865333333333333,0.5345333333333333,0.1753728687208256,0.8185510284267692,907,True,838,92,verifier_first_correct,"self-reported confidence (confidence, coeff=1.810)",confidence,"answer revision flag (answer_changed, coeff=0.663)",answer_changed,False,Late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
mistral_7b_instruct_v0p3__math,Mistral instruct 7B,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,Mistral instruct,7B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.07333333333333333,0.07333333333333333,1,2.0,2.0,2.0,5.0,0.0087499035046873,0.1422820731975716,0.1489666666666666,0.0523333333333333,0.6256666666666667,0.220917255093536,0.7097276584888599,183,False,161,174,first_answer,"self-reported confidence (confidence, coeff=0.790)",confidence,"lexical echo (lexical_echo, coeff=0.664)",lexical_echo,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
phi_4_mini_instruct__math,Phi 4 4B,phi_4_mini_instruct,microsoft/Phi-4-mini-instruct,Phi 4,4B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.08866666666666667,0.13733333333333334,10,2.0,2.0,2.0,6.0,0.0593624842097944,0.4521030717657044,0.2536,0.2105333333333333,0.7398666666666667,0.2001534522714703,0.7356490122096889,492,True,1029,974,first_answer,"self-reported confidence (confidence, coeff=0.884)",confidence,"hidden-state L2 drift (hidden_l2_shift, coeff=0.513)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
internlm3_8b_instruct__math,InternLM3 8B,internlm3_8b_instruct,internlm/InternLM3-8B-Instruct,InternLM3,8B,transformers+torch(cuda),cuda,none,,math,test,17,500,14,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.112,0.254,14,2.0,2.0,2.0,6.0,0.0272061622022927,0.0588373332372412,0.1892666666666666,0.1283666666666666,0.6117,0.2071685102728002,0.7463157624959211,444,True,430,217,first_answer,"entropy volatility (entropy_std, coeff=0.527)",entropy_std,"hidden-state L2 drift (hidden_l2_shift, coeff=0.870)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
