model_alias,dataset,parameter_count,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,fitted_boundary_step,max_steps,repair_rate_overall,corruption_rate_overall,probe_auc,late_boundary_assessment,capability_gate_met
deepseek_r1_distill_1p5b,gsm8k,1.5B,0.3113333333333333,0.36,9,2.0,2.0,2.0,10,0.2230625224062088,0.4306933143994432,0.7016584671505549,No late-boundary replication,True
deepseek_r1_distill_7b,gsm8k,7B,0.478,0.546,6,2.0,2.0,4.0,10,0.3636361833867449,0.3499408911673017,0.7535027265047751,No late-boundary replication,True
qwen2p5_0p5b,gsm8k,0.5B,0.074,0.0813333333333333,5,2.0,2.0,2.0,10,0.0044909591764806,0.040427368936917,0.5787045752194593,No late-boundary replication,False
qwen2p5_3b,gsm8k,3B,0.0533333333333333,0.504,10,4.0,4.0,4.0,10,0.0907285295293372,0.0830497375065064,0.7086537371719103,Weakened late-boundary support,True
qwen2p5_7b,gsm8k,7B,0.274,0.7053333333333334,10,5.0,5.0,5.0,10,0.1213540334291769,0.0634224213554613,0.752502941201943,Late-boundary replication,True
qwen2p5_14b,gsm8k,14B,0.03,0.4733333333333333,9,5.0,5.0,6.0,10,0.1427189824364064,0.257685179548099,0.9122001197510544,Late-boundary replication,True
qwen2p5_32b,gsm8k,32B,0.0413333333333333,0.8786666666666667,10,5.0,5.0,5.0,10,0.2187990796850994,0.0610611410608964,0.8345604985914064,Late-boundary replication,True
mistral_7b_instruct_v0p3,gsm8k,7B,0.304,0.3206666666666666,10,3.0,3.0,4.0,10,0.0525694584500451,0.1339030342351708,0.6504274166193997,Weakened late-boundary support,True
phi_4_mini_instruct,gsm8k,4B,0.3333333333333333,0.3413333333333333,10,2.0,2.0,3.0,10,0.1589269274023559,0.3426736214184104,0.6521386690965323,No late-boundary replication,True
internlm3_8b_instruct,gsm8k,8B,0.2706666666666666,0.6806666666666666,9,4.0,4.0,4.0,10,0.1073310491444749,0.0243437310301122,0.6942456890587786,Weakened late-boundary support,True
yi_1p5_9b_chat,gsm8k,9B,0.0953333333333333,0.3806666666666666,10,3.0,3.0,4.0,10,0.1000842708137827,0.1549920134120285,0.6922575375149184,Weakened late-boundary support,True
mistral_small_24b_2409,gsm8k,22B,0.014,0.7246666666666667,10,6.0,6.0,5.0,10,0.2024856706971179,0.2266178146563522,0.8245684748927261,Late-boundary replication,True
llama_3p1_8b_instruct,gsm8k,8B,0.0113333333333333,0.4746666666666667,10,5.0,5.0,4.0,10,0.1162423906689906,0.181692170790015,0.7434667723230657,Late-boundary replication,True
deepseek_r1_distill_1p5b,math,1.5B,0.0433333333333333,0.054,13,2.0,2.0,2.0,14,0.0317841719313506,0.6610654996349735,0.6079804709127079,No late-boundary replication,True
deepseek_r1_distill_7b,math,7B,0.0866666666666666,0.1193333333333333,4,2.0,2.0,3.0,14,0.0581532936781887,0.5520479331097835,0.6057827105263158,No late-boundary replication,True
qwen2p5_0p5b,math,0.5B,0.0513333333333333,0.0573333333333333,4,2.0,2.0,3.0,14,0.0022223262389773,0.0328021564775182,0.6316573019426373,No late-boundary replication,False
