model,dataset,boundary,maxstep,alpha2,beta2,ab_ratio,q1,qpeak,headroom,late
deepseek_r1_distill_1p5b,gsm8k,2,9,0.2337536372453928,0.4434968017057569,0.5270694993658136,0.3113333333333333,0.36,0.04866666666666669,False
deepseek_r1_distill_1p5b,math,2,13,0.0367800138792505,0.711864406779661,0.051667162354185225,0.0433333333333333,0.054,0.0106666666666667,False
deepseek_r1_distill_1p5b,arc,2,7,0.1739130434782608,0.441527446300716,0.3938895417156285,0.2606666666666666,0.2813333333333333,0.020666666666666722,False
deepseek_r1_distill_1p5b,gpqa,2,9,0.0946073793755913,0.3484320557491289,0.2715231788079471,0.206845238095238,0.222470238095238,0.015625,False
deepseek_r1_distill_7b,gsm8k,2,9,0.4061728395061728,0.3884057971014493,1.0457435046987285,0.478,0.546,0.06800000000000006,False
deepseek_r1_distill_7b,math,2,13,0.0829053558327219,0.5985401459854015,0.13851260669613294,0.0866666666666666,0.1193333333333333,0.032666666666666705,False
deepseek_r1_distill_7b,arc,2,7,0.3221649484536082,0.3328729281767956,0.9678316293793043,0.356,0.5446666666666666,0.18866666666666665,False
deepseek_r1_distill_7b,gpqa,2,9,0.1200369344413665,0.4674329501915709,0.2568003269606283,0.2135416666666666,0.2142857142857142,0.0007440476190475886,False
qwen2p5_0p5b,gsm8k,2,9,0.0093795093795093,0.0526315789473684,0.1782106782106768,0.074,0.0813333333333333,0.007333333333333303,False
qwen2p5_0p5b,math,2,13,0.004222378606615,0.0253164556962025,0.16678395496129272,0.0513333333333333,0.0573333333333333,0.005999999999999998,False
qwen2p5_0p5b,arc,2,7,0.0544069640914037,0.0757314974182444,0.7184192303887624,0.3873333333333333,0.3986666666666666,0.011333333333333306,False
qwen2p5_0p5b,gpqa,2,9,0.0310786106032906,0.1290322580645161,0.24085923217550223,0.2034277198211624,0.2034277198211624,0.0,False
qwen2p5_3b,gsm8k,4,9,0.2377428307123034,0.1813842482100238,1.3107137640586206,0.0533333333333333,0.5026666666666667,0.4493333333333334,True
qwen2p5_3b,math,2,13,0.0585714285714285,0.19,0.3082706766917289,0.044,0.1666666666666666,0.1226666666666666,False
qwen2p5_3b,arc,2,7,0.1461864406779661,0.0651750972762646,2.2429800151783454,0.71,0.71,0.0,False
qwen2p5_3b,gpqa,2,9,0.0881261595547309,0.2113207547169811,0.4170255764643516,0.1690245718540581,0.2271034996276991,0.058078927773641015,False
qwen2p5_7b,gsm8k,5,9,0.2799616490891659,0.1444201312910284,1.9385223277840733,0.274,0.7026666666666667,0.42866666666666664,True
qwen2p5_7b,math,5,13,0.1285714285714285,0.2,0.6428571428571425,0.0,0.4133333333333333,0.4133333333333333,True
qwen2p5_7b,arc,2,7,0.0955414012738853,0.0089352196574832,10.69267515923572,0.872,0.904,0.03200000000000003,False
qwen2p5_7b,gpqa,2,9,0.058252427184466,0.0959232613908872,0.6072815533980587,0.3117559523809524,0.3296130952380952,0.017857142857142794,False
qwen2p5_14b,gsm8k,5,9,0.1516272189349112,0.4391891891891892,0.3452435138825671,0.03,0.4733333333333333,0.44333333333333325,True
qwen2p5_14b,math,2,13,0.0537249283667621,0.3269230769230769,0.1643350750042135,0.0646666666666666,0.2953333333333333,0.2306666666666667,False
qwen2p5_14b,arc,2,7,0.1022727272727272,0.0042492917847025,24.068181818182083,0.934,0.9433333333333334,0.009333333333333305,False
qwen2p5_14b,gpqa,2,9,0.0361173814898419,0.0611353711790393,0.5907771686552711,0.3325892857142857,0.3578869047619047,0.025297619047619013,False
qwen2p5_32b,gsm8k,5,9,0.3618307426597582,0.0906432748538011,3.9918101286979804,0.0413333333333333,0.8726666666666667,0.8313333333333334,True
qwen2p5_32b,math,6,13,0.0997697620874904,0.0558375634517766,1.7867857392032387,0.088,0.5806666666666667,0.4926666666666667,True
qwen2p5_32b,arc,2,7,0.2093023255813953,0.0014144271570014,147.976744186048,0.9053333333333332,0.9566666666666668,0.051333333333333564,False
qwen2p5_32b,gpqa,2,9,0.0680570801317233,0.0554272517321016,1.227863154043175,0.2827380952380952,0.3705357142857143,0.08779761904761912,False
mistral_7b_instruct_v0p3,gsm8k,3,9,0.1639871382636656,0.1953125,0.8396141479099678,0.304,0.3166666666666666,0.012666666666666604,True
mistral_7b_instruct_v0p3,math,2,13,0.0318780318780318,0.2807017543859649,0.1135654885654883,0.0733333333333333,0.0733333333333333,0.0,False
mistral_7b_instruct_v0p3,arc,2,7,0.1188340807174887,0.0768500948766603,1.5463101367436194,0.7233333333333334,0.7233333333333334,0.0,False
mistral_7b_instruct_v0p3,gpqa,2,9,0.1053169734151329,0.2841530054644808,0.3706347333647947,0.2775297619047619,0.2879464285714285,0.010416666666666574,False
phi_4_mini_instruct,gsm8k,2,9,0.2228464419475655,0.474537037037037,0.4696081118114552,0.3333333333333333,0.3393333333333333,0.006000000000000005,False
phi_4_mini_instruct,math,2,13,0.0632267441860465,0.4919354838709677,0.12852649637819288,0.0886666666666666,0.1373333333333333,0.048666666666666705,False
phi_4_mini_instruct,arc,2,7,0.4397810218978102,0.2121848739495798,2.0726313507263137,0.6146666666666667,0.7086666666666667,0.09399999999999997,False
phi_4_mini_instruct,gpqa,2,9,0.1290322580645161,0.2897727272727273,0.44528779253636924,0.2641369047619047,0.2864583333333333,0.022321428571428603,False
internlm3_8b_instruct,gsm8k,4,9,0.2358845671267252,0.0469416785206258,5.025056081517822,0.2706666666666666,0.6806666666666666,0.41000000000000003,True
internlm3_8b_instruct,math,2,13,0.0553359683794466,0.102127659574468,0.5418313570487484,0.112,0.246,0.134,False
internlm3_8b_instruct,arc,2,7,0.0823529411764705,0.0060150375939849,13.691176470588363,0.8833333333333333,0.896,0.012666666666666715,False
internlm3_8b_instruct,gpqa,2,9,0.0595794392523364,0.0737704918032786,0.8076323987538944,0.3519345238095238,0.3742559523809524,0.022321428571428603,False
yi_1p5_9b_chat,gsm8k,3,9,0.1759014951627089,0.1900826446280991,0.9253948223777297,0.0953333333333333,0.3666666666666666,0.2713333333333333,True
yi_1p5_9b_chat,math,2,13,0.0416982562547384,0.2055555555555555,0.2028563817798085,0.1167444963308872,0.1541027351567711,0.03735823882588389,False
yi_1p5_9b_chat,arc,2,7,0.0909090909090909,0.0506122448979591,1.7961876832844603,0.814,0.8166666666666667,0.002666666666666706,False
yi_1p5_9b_chat,gpqa,2,9,0.0385416666666666,0.1488250652741514,0.25897295321637387,0.2695457930007446,0.2948622486969471,0.0253164556962025,False
mistral_small_24b_2409,gsm8k,6,9,0.1648590021691974,0.3247863247863248,0.5075921908893709,0.014,0.6833333333333333,0.6693333333333333,True
mistral_small_24b_2409,math,2,13,0.030261348005502,0.1521739130434782,0.19886028689329893,0.02,0.2826666666666667,0.26266666666666666,False
mistral_small_24b_2409,arc,3,7,0.3898305084745763,0.0285188592456301,13.669218151995663,0.536,0.89,0.354,True
mistral_small_24b_2409,gpqa,2,9,0.0919651500484027,0.1639871382636656,0.5608070914716321,0.1703869047619047,0.3370535714285714,0.16666666666666669,False
llama_3p1_8b_instruct,gsm8k,5,9,0.2492469879518072,0.3197674418604651,0.7794633077765608,0.0113333333333333,0.4673333333333333,0.456,True
llama_3p1_8b_instruct,math,2,13,0.0672389127324749,0.2941176470588235,0.22861230329041468,0.0286666666666666,0.2046666666666666,0.17600000000000002,False
llama_3p1_8b_instruct,arc,2,7,0.4147582697201017,0.1147244805781391,3.6152551541744304,0.5833333333333334,0.772,0.18866666666666665,False
llama_3p1_8b_instruct,gpqa,2,9,0.1391650099403578,0.3571428571428571,0.3896620278330019,0.1721311475409836,0.319672131147541,0.1475409836065574,False
