run_id,brier,auc,n,scope
deepseek_r1_distill_1p5b__arc_test_00000_398537ec__temp0.10__seed7,0.248695759680448,0.625,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00000_398537ec__temp0.60__seed7,0.2187702149106322,0.75,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00000_398537ec__temp1.00__seed7,0.23198467522573263,0.875,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00001_d4bf1bf9__temp0.10__seed7,0.24096381576051132,0.7142857142857143,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,0.2515365842452161,0.5,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00001_d4bf1bf9__temp1.00__seed7,0.23818913037254402,0.2857142857142857,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00002_eef48f5d__temp0.10__seed7,0.22167897623309415,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00002_eef48f5d__temp0.60__seed7,0.21414686713659406,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00002_eef48f5d__temp1.00__seed7,0.21557982214564825,0.8571428571428572,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00003_c16c54fb__temp0.10__seed7,0.2628623227259384,0.39999999999999997,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00003_c16c54fb__temp0.60__seed7,0.28215276412270196,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00003_c16c54fb__temp1.00__seed7,0.3043914751506117,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00004_89613a4b__temp0.10__seed7,0.39806912113138737,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00004_89613a4b__temp0.60__seed7,0.23717991826524382,0.3333333333333333,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00004_89613a4b__temp1.00__seed7,0.2171704637835039,0.8125,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00005_2943784f__temp0.10__seed7,0.2216884526636596,0.8333333333333333,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00005_2943784f__temp0.60__seed7,0.23160151265673176,0.75,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00005_2943784f__temp1.00__seed7,0.22348130176566977,0.9166666666666667,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00006_73fea8aa__temp0.10__seed7,0.22805176728632717,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00006_73fea8aa__temp0.60__seed7,0.2293595566161796,1.0,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00006_73fea8aa__temp1.00__seed7,0.23788254391756802,0.8333333333333334,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00007_55ae159f__temp0.10__seed7,0.23561664544161337,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00007_55ae159f__temp0.60__seed7,0.24487047698348308,1.0,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00007_55ae159f__temp1.00__seed7,0.23760754158864184,0.9333333333333333,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00008_3926edfe__temp0.10__seed7,0.275348235559585,0.0,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00008_3926edfe__temp0.60__seed7,0.30820807976218656,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00008_3926edfe__temp1.00__seed7,0.29449579870285886,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00009_0cb3f159__temp0.10__seed7,0.4123513543688592,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00009_0cb3f159__temp0.60__seed7,0.24356965798491523,0.8333333333333333,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00009_0cb3f159__temp1.00__seed7,0.2507408854064114,,8,per_run_oof
deepseek_r1_distill_1p5b__arc_test_00010_38aa3c95__temp0.10__seed7,0.2554272983243034,0.5333333333333333,8,per_run_oof
