run_id,brier,auc,n,scope
deepseek_r1_distill_1p5b__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.2511468836998911,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.2866635539673372,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.27769466109487995,0.11111111111111116,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00001_eadb944e__temp0.10__seed7,0.2351572241713577,0.4444444444444444,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00001_eadb944e__temp0.60__seed7,0.26506327086078935,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00001_eadb944e__temp1.00__seed7,0.22617828098232037,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00002_1250771f__temp0.10__seed7,0.28263389947555556,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00002_1250771f__temp0.60__seed7,0.2655127488635967,0.11111111111111116,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00002_1250771f__temp1.00__seed7,0.20743113080710973,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.22581334457511248,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.22680318227528612,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.22028505677557816,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00004_265cc24d__temp0.10__seed7,0.25988193744259996,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00004_265cc24d__temp0.60__seed7,0.2806824954426361,,10,per_run_oof
deepseek_r1_distill_1p5b__gpqa_main_00004_265cc24d__temp1.00__seed7,0.19252882864158738,,10,per_run_oof
