model,feature,coefficient
correctness_probe,step,0.027219906831492394
correctness_probe,entropy_mean,0.014763203041772964
correctness_probe,entropy_std,-0.04523291869796534
correctness_probe,confidence,-0.038610191921904534
correctness_probe,answer_changed,-0.18842175010046033
correctness_probe,thought_token_count,-0.05973088188651377
correctness_probe,hidden_l2_shift,0.06998683829769249
correctness_probe,hidden_cosine_shift,-0.04109356801667346
correctness_probe,lexical_echo,0.009214528708763155
correctness_probe,verbose_confidence_proxy,0.0018467897778390002
repair_hazard,step,0.0879409652179392
repair_hazard,entropy_mean,-0.014358224648511766
repair_hazard,entropy_std,0.01779169123090881
repair_hazard,confidence,-0.04665408481084628
repair_hazard,answer_changed,0.458461905545149
repair_hazard,thought_token_count,-0.09204761413790309
repair_hazard,hidden_l2_shift,0.027266240656894914
repair_hazard,hidden_cosine_shift,0.01724595827099947
repair_hazard,lexical_echo,-0.09754529635813078
repair_hazard,verbose_confidence_proxy,-0.017302989862040295
corruption_hazard,step,0.03734624285821881
corruption_hazard,entropy_mean,0.04185438712299434
corruption_hazard,entropy_std,-0.038381966932083934
corruption_hazard,confidence,0.0
corruption_hazard,answer_changed,0.6594086459052335
corruption_hazard,thought_token_count,0.0330064652570483
corruption_hazard,hidden_l2_shift,0.17573148609260822
corruption_hazard,hidden_cosine_shift,-0.135668510816331
corruption_hazard,lexical_echo,-0.0892737812041785
corruption_hazard,verbose_confidence_proxy,0.13014278443632837
