run_id,brier,auc,n,scope
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.23891152262376295,0.7142857142857143,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.13579286161428616,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.20359502857350376,0.75,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.25411963006211014,0.4375,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.2694982050654541,0.375,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.25216585044154055,0.44,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.3807454621277338,0.33333333333333337,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.3302026677193203,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.27777181279553587,0.33333333333333337,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.1905961544622824,0.8571428571428571,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.15932184317332174,1.0,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.10682873430067988,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.32965401734808686,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.2875085969288679,0.3125,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.08199180418838166,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.15756436713352612,0.9523809523809524,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.16404759448428488,0.875,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.13507340076975985,0.8888888888888888,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.21566978892257166,0.625,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.2053652713819687,0.761904761904762,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.13661057747814273,1.0,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.23386404944437408,0.375,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.20742259390179968,0.7916666666666667,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.23791439317697421,0.4444444444444444,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.2611193077072537,0.56,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.20315963865692313,0.7083333333333334,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.20098817085007853,0.72,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.14860502613843163,0.875,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.21788622566174304,0.5416666666666667,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.34796829700209353,0.125,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.18907391280005234,0.625,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.2669025881512269,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.14893214445193262,0.9047619047619048,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.1848299459539141,0.8095238095238095,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.14848188242798757,0.8888888888888888,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.16096466010725877,0.9375,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.44545576793794756,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.2864959614965512,0.2857142857142857,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.1346453452110505,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.0916931918432761,,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.1653666904509385,0.8125,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.11014265932253846,1.0,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.30481123545757144,0.38095238095238093,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.22962029584560875,0.48000000000000004,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.2523570340185144,0.6875,10,per_run_oof
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.2008753546320566,0.875,10,per_run_oof
