model,feature,coefficient
correctness_probe,step,0.023212585548582458
correctness_probe,entropy_mean,-0.09891027054309788
correctness_probe,entropy_std,-0.17541756230506134
correctness_probe,confidence,0.37812314917207984
correctness_probe,answer_changed,-0.7204169589690691
correctness_probe,thought_token_count,0.0319642853883298
correctness_probe,hidden_l2_shift,0.40935987752525255
correctness_probe,hidden_cosine_shift,-0.17862163425667812
correctness_probe,lexical_echo,0.08368221676419306
correctness_probe,verbose_confidence_proxy,-0.2593078221812478
repair_hazard,step,-0.0173001703042623
repair_hazard,entropy_mean,0.34309759898818254
repair_hazard,entropy_std,-0.4363693428029086
repair_hazard,confidence,-0.00017922204401292177
repair_hazard,answer_changed,0.1928990395575116
repair_hazard,thought_token_count,0.006364337468278544
repair_hazard,hidden_l2_shift,-0.0658190968271096
repair_hazard,hidden_cosine_shift,0.04050083246291247
repair_hazard,lexical_echo,-0.03211876432896263
repair_hazard,verbose_confidence_proxy,-0.05223015361205461
corruption_hazard,step,-0.028861651161130746
corruption_hazard,entropy_mean,-0.2405070223901637
corruption_hazard,entropy_std,0.2950452910581798
corruption_hazard,confidence,-0.2441761713995486
corruption_hazard,answer_changed,0.3549654303609831
corruption_hazard,thought_token_count,-0.01510733169676538
corruption_hazard,hidden_l2_shift,0.033220044299336025
corruption_hazard,hidden_cosine_shift,-0.08375420443446985
corruption_hazard,lexical_echo,-0.1732431180187673
corruption_hazard,verbose_confidence_proxy,0.12681514778443997
