phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,48,48,12113,12288,32.45417785085738,1.4790083489584356,378.6261373333595,0.028827705420553684,24.76041828794405,2.171935135964304,3.0457591102458537,0.0,3.341643810272217,3.36328125,13.869235515594482,14.1484375,1,0
generate,0.1,7,2,48,48,17124,12288,34.33201112924144,1.398112094840759,357.9166962792343,0.02519117807969451,25.66263445885852,2.562526216264814,3.636137394234538,0.0,3.3417468070983887,3.36328125,13.889216899871826,14.20703125,1,0
generate,0.1,7,3,48,48,22895,12288,41.53307494381443,1.1557054242897733,295.86058861818196,0.03243359597399831,32.73054720228538,2.1806846749968827,3.8802555417641997,0.0,3.3418612480163574,3.36328125,13.911418437957764,14.265625,1,0
generate,0.1,7,4,48,48,28446,12288,48.24872920010239,0.9948448548961605,254.68028285341708,0.03928826190531254,37.52570398990065,3.7565971622243524,4.3639511270448565,0.0,3.3419928550720215,3.36328125,13.936950206756592,14.345703125,1,0
generate,0.1,7,5,48,48,34110,12288,52.54842329071835,0.9134432014152984,233.8414595623164,0.045428548008203506,40.801966845057905,4.6827426459640265,4.445925866719335,0.0,3.3421130180358887,3.36328125,13.960261821746826,14.501953125,1,0
generate,0.1,7,6,48,48,39565,12288,57.03993712505326,0.8415156541068011,215.42800745134107,0.05275422986596823,45.21745529118925,5.290270939003676,3.9650221378542483,0.0,3.342233180999756,3.36328125,13.98357343673706,14.580078125,1,0
generate,0.1,7,7,48,48,45399,12288,63.244060535915196,0.7589645508725936,194.29492502338397,0.05859227059409022,51.049180610105395,6.438515857793391,3.1797892530448735,0.0,3.3423590660095215,3.36328125,14.007995128631592,14.658203125,1,0
generate,0.1,7,8,48,48,51198,12288,68.6690786597319,0.6990045729002563,178.9451706624656,0.06699176086112857,55.81856971792877,6.474083187058568,3.795076477807015,0.0,3.3424735069274902,3.36328125,14.03019666671753,14.775390625,1,0
generate,0.1,7,9,48,48,56876,12288,73.80789013998583,0.6503369749353631,166.48626558345296,0.07559797214344144,59.39619451016188,7.636005290783942,4.160881284158677,0.0,3.3426051139831543,3.36328125,14.055728435516357,14.89453125,1,0
generate,0.1,7,10,48,48,62542,12288,79.15219438821077,0.6064266489514951,155.24522213158275,0.08012918615713716,63.78359276615083,8.645250134170055,4.0645895400084555,0.0,3.3427252769470215,3.36328125,14.079040050506592,14.9921875,1,0
generate,0.1,7,11,48,48,68155,12288,85.3694424382411,0.5622620767931651,143.93909165905026,0.09071388933807611,69.27812067000195,9.467217629775405,3.947654565796256,0.0,3.3428568840026855,3.36328125,14.10457181930542,15.0703125,1,0
generate,0.1,7,12,48,48,74016,12288,89.38334682164714,0.5370127848958013,137.47527293332513,0.09293290926143527,73.2395191132091,10.097880723886192,3.364807518199086,0.0,3.3429884910583496,3.36328125,14.130103588104248,15.736328125,1,0
generate,0.1,7,13,48,48,79831,12288,90.71477010380477,0.5291310328524635,135.45754441023067,0.10028690099716187,73.80957335885614,10.676017851568758,3.50086183892563,0.0,3.343108654022217,3.365234375,14.177708625793457,16.615234375,1,0
generate,0.1,7,14,48,48,85498,12288,96.08052361477166,0.499580957660605,127.89272516111488,0.10695256292819977,77.5332699669525,11.234643701929599,4.527649615891278,0.0,3.343228816986084,3.365234375,14.9316725730896,16.009765625,1,0
hidden_state_write,0.1,7,0,48,48,0,0,0.007745964918285608,,,0.0,0.0,0.0,0.0,0.007745964918285608,3.341334819793701,3.365234375,14.9316725730896,16.009765625,0,0
generate,0.1,7,1,48,48,12478,12288,42.05872251279652,1.1412614823333216,292.1629394773303,0.021930540911853313,32.24345617601648,2.965587376151234,4.294405524153262,0.0,3.3417983055114746,3.36328125,13.899207592010498,14.2265625,1,0
generate,0.1,7,2,48,48,17032,12288,45.18587744422257,1.0622788073386686,271.9433746786992,0.02735474519431591,35.13044221512973,3.5578827098943293,4.008405417203903,0.0,3.341907024383545,3.36328125,13.920299053192139,14.3046875,1,0
generate,0.1,7,3,48,48,22088,12288,49.383159978780895,0.9719912622162046,248.82976312734837,0.03385685523971915,38.300803699065,4.264816809911281,4.215597266796976,0.0,3.3420042991638184,3.36328125,13.939170360565186,14.345703125,1,0
generate,0.1,7,4,48,48,26840,12288,55.10479795979336,0.8710675254634397,222.99328651864056,0.03904796112328768,43.03240199899301,4.819967406336218,4.380876471288502,0.0,3.3421072959899902,3.36328125,13.95915174484253,14.501953125,1,0
generate,0.1,7,5,48,48,32183,12288,59.9067536839284,0.8012452194163425,205.1187761705837,0.05087454617023468,47.920235524885356,5.074069129768759,4.212710395921022,0.0,3.3422160148620605,3.36328125,13.98024320602417,14.580078125,1,0
generate,0.1,7,6,48,48,37419,12288,72.26887937774882,0.6641863055479857,170.03169422028435,0.05548167508095503,59.49741802038625,5.456666325684637,4.513020174577832,0.0,3.341844081878662,3.36328125,8.674109935760498,8.9921875,2,1
generate,0.1,7,7,48,48,42670,12288,71.38906024489552,0.6723719269498594,172.127213299164,0.05841323593631387,57.69231793098152,6.201101541053504,4.834900175221264,0.0,3.342456340789795,3.36328125,14.026866436004639,14.068359375,1,0
generate,0.1,7,8,48,48,47957,12288,71.87761206598952,0.6678018178446451,170.95726536822914,0.06426090514287353,57.930385030806065,6.743357953149825,4.60152622917667,0.0,3.3425650596618652,3.36328125,14.04795789718628,14.85546875,1,0
generate,0.1,7,9,48,48,53273,12288,73.76605417020619,0.6507058096024202,166.58068725821957,0.0712360218167305,59.14517410984263,7.62061081873253,4.231194328982383,0.0,3.3426623344421387,3.36328125,14.066829204559326,14.93359375,1,0
generate,0.1,7,10,48,48,58699,12288,75.74300570692867,0.633721880350586,162.23280136975,0.08052326273173094,60.039221700746566,8.273196241818368,4.750040071085095,0.0,3.342759609222412,3.36328125,14.085700511932373,15.01171875,1,0
generate,0.1,7,11,48,48,63621,12288,79.05422995705158,0.6071781361487848,155.4376028540889,0.08266389789059758,63.18393696565181,8.88843394862488,4.268609182909131,0.0,3.3428683280944824,3.36328125,14.106791973114014,15.0703125,1,0
generate,0.1,7,12,48,48,69039,12288,84.00947101181373,0.571364150040298,146.26922241031627,0.08919269731268287,68.02081922907382,8.567846909631044,4.6787149822339416,0.0,3.3429713249206543,3.36328125,14.126773357391357,15.169921875,1,0
generate,0.1,7,13,48,48,74379,12279,91.53995913313702,0.5243611692046761,134.13814159717123,0.09520073514431715,74.11308245221153,9.845225806813687,4.801887067966163,0.0,3.3430914878845215,3.365234375,14.150084972381592,15.267578125,1,0
generate,0.1,7,14,48,48,79708,12288,97.03915116470307,0.49464571179657507,126.62930221992322,0.10507783899083734,78.09358041873202,11.489369758870453,4.6893244669772685,0.0,3.343177318572998,3.365234375,14.608236312866211,17.279296875,1,0
hidden_state_write,0.1,7,0,48,48,0,0,0.005605679005384445,,,0.0,0.0,0.0,0.0,0.005605679005384445,3.341334819793701,3.365234375,14.608236312866211,17.279296875,0,0
generate,0.1,7,1,48,48,12151,12288,38.870861785952,1.2348581378081842,316.12368327889516,0.021576337981969118,29.15483147604391,2.733873592223972,4.4389578038826585,0.0,3.3417181968688965,3.36328125,13.883666515350342,14.1875,1,0
generate,0.1,7,2,48,48,16861,12288,44.85093870991841,1.0702117141950744,273.97419883393906,0.026413933839648962,34.5463155368343,3.047220245935023,4.653430989943445,0.0,3.341826915740967,3.36328125,13.904757976531982,14.24609375,1,0
generate,0.1,7,3,48,48,22272,12288,48.71676014736295,0.9852871959220025,252.23352215603265,0.03304235218092799,38.42262367904186,3.7319365446455777,3.9665075400844216,0.0,3.3419299125671387,3.36328125,13.924739360809326,14.3046875,1,0
generate,0.1,7,4,48,48,27502,12288,50.74572002980858,0.9458925791535578,242.1485002633108,0.038412345107644796,40.30831875372678,3.889218400232494,3.9905222742818296,0.0,3.342038631439209,3.36328125,13.945830821990967,14.365234375,1,0
generate,0.1,7,5,48,48,32820,12288,55.748885409440845,0.8610037608370086,220.4169627742742,0.06182980025187135,44.4775681020692,4.755260929930955,3.948353876825422,0.0,3.342141628265381,3.36328125,13.96581220626831,14.521484375,1,0
generate,0.1,7,6,48,48,38141,12288,59.10312425438315,0.812139808268093,207.9077909166318,0.05135653307661414,46.852085284888744,5.319590477738529,4.285386835690588,0.0,3.3422446250915527,3.36328125,13.985793590545654,14.580078125,1,0
generate,0.1,7,7,48,48,43640,12288,63.45541270170361,0.7564366530187476,193.6477831727994,0.0586859411559999,51.73307214817032,5.403312800452113,3.6074078008532524,0.0,3.3423476219177246,3.36328125,14.005774974822998,14.658203125,1,0
generate,0.1,7,8,48,48,48799,12288,70.51109443278983,0.680743936626213,174.27044777631053,0.06502050906419754,56.246025785338134,6.878343232907355,4.767699302174151,0.0,3.342467784881592,3.36328125,14.029086589813232,14.775390625,1,0
generate,0.1,7,9,48,48,54172,12288,73.83896940201521,0.6500632442290017,166.41619052262445,0.07106431387364864,59.353073763195425,7.386834958102554,4.450396039057523,0.0,3.3425936698913574,3.36328125,14.053508281707764,14.875,1,0
generate,0.1,7,10,48,48,59463,12288,79.13789370376617,0.6065362338259412,155.27327585944096,0.07798953214660287,63.67025731317699,7.971678074914962,4.749276938382536,0.0,3.3427252769470215,3.36328125,14.079040050506592,14.9921875,1,0
generate,0.1,7,11,48,48,64859,12288,83.93359505105764,0.5718806631695107,146.40144977139474,0.084610884077847,67.62434847513214,9.211744443047792,4.395689791068435,0.0,3.342851161956787,3.36328125,14.103461742401123,15.05078125,1,0
generate,0.1,7,12,48,48,70556,12288,88.8871462540701,0.5400105867140729,138.24271019880265,0.09116826904937625,71.95352820120752,10.102538265753537,4.133958104997873,0.0,3.3429770469665527,3.36328125,14.127883434295654,15.169921875,1,0
generate,0.1,7,13,48,48,76036,12288,93.45941851334646,0.5135918964993921,131.47952550384437,0.09706300869584084,75.76934975199401,10.548257431015372,4.26027031801641,0.0,3.3431200981140137,3.365234375,14.249405860900879,14.935546875,1,0
generate,0.1,7,14,48,48,81517,12288,101.51399557618424,0.47284120507282124,121.04734849864224,0.10481954086571932,82.70693234307691,11.987547083757818,3.9741698410362005,0.0,3.34328031539917,3.365234375,15.255572319030762,16.517578125,1,0
hidden_state_write,0.1,7,0,48,48,0,0,0.003473744262009859,,,0.0,0.0,0.0,0.0,0.003473744262009859,3.341334819793701,3.365234375,15.255572319030762,16.517578125,0,0
generate,0.1,7,1,48,48,11534,12288,34.672501175198704,1.3843823887252322,354.40189151365945,0.018297059927135706,25.97854682803154,1.91371463611722,4.138705967925489,0.0,3.3416152000427246,3.36328125,13.863685131072998,14.12890625,1,0
generate,0.1,7,2,48,48,16238,12288,38.458329441957176,1.2481041349558224,319.51465854869053,0.02523632673546672,28.8572636609897,2.330727716907859,4.738911486230791,0.0,3.341683864593506,3.36328125,13.87700605392456,14.16796875,1,0
generate,0.1,7,3,48,48,21834,12288,41.464811836835,1.1576080506256998,296.34766096017916,0.0319524803198874,31.421004556119442,2.8509252038784325,4.628531679045409,0.0,3.3417868614196777,3.36328125,13.896987438201904,14.2265625,1,0
generate,0.1,7,4,48,48,27273,12288,45.43101479206234,1.0565469474916178,270.47601855785416,0.04007411887869239,34.99285095836967,3.557392260991037,4.188555806875229,0.0,3.3418898582458496,3.36328125,13.916968822479248,14.28515625,1,0
generate,0.1,7,5,48,48,32822,12288,47.87743762740865,1.0025599192159185,256.65533931927513,0.044353699777275324,37.327730105258524,3.653182841837406,4.302613721229136,0.0,3.3420157432556152,3.36328125,13.94139051437378,14.404296875,1,0
generate,0.1,7,6,48,48,38331,12288,53.039391323924065,0.9049877610180834,231.67686682062936,0.05203314498066902,41.8495794092305,4.125966201070696,4.375252630095929,0.0,3.3421359062194824,3.36328125,13.964702129364014,14.521484375,1,0
generate,0.1,7,7,48,48,43882,12288,58.703650613781065,0.8176663546156308,209.32258678160147,0.05945176864042878,46.66941177891567,5.472078727092594,3.9229557728394866,0.0,3.3422789573669434,3.36328125,13.992454051971436,14.599609375,1,0
generate,0.1,7,8,48,48,49363,12288,65.12702855467796,0.7370211886713238,188.6774242998589,0.06691505992785096,52.186042877845466,5.782142444979399,4.475332295987755,0.0,3.342416286468506,3.36328125,14.01909589767456,14.736328125,1,0
