model,feature,coefficient
correctness_probe,step,0.06926959021289687
correctness_probe,entropy_mean,0.5750457637795969
correctness_probe,entropy_std,-0.6790870305103109
correctness_probe,confidence,0.10607769104326195
correctness_probe,answer_changed,-0.2759614669036002
correctness_probe,thought_token_count,-0.0551212095134754
correctness_probe,hidden_l2_shift,0.7830606851096552
correctness_probe,hidden_cosine_shift,-0.8044757996534395
correctness_probe,lexical_echo,0.0050135785312137165
correctness_probe,verbose_confidence_proxy,-0.12053832185399281
repair_hazard,step,0.07529181209033362
repair_hazard,entropy_mean,0.8161134436546021
repair_hazard,entropy_std,-0.774347764335305
repair_hazard,confidence,0.0
repair_hazard,answer_changed,0.21239858092491296
repair_hazard,thought_token_count,-0.05323640793156126
repair_hazard,hidden_l2_shift,0.5881593682731426
repair_hazard,hidden_cosine_shift,-0.701159103734057
repair_hazard,lexical_echo,0.023737874165423157
repair_hazard,verbose_confidence_proxy,-0.05658846457890057
corruption_hazard,step,0.0573078699039535
corruption_hazard,entropy_mean,0.08495578536845087
corruption_hazard,entropy_std,0.18168869761516412
corruption_hazard,confidence,-0.16337428721542174
corruption_hazard,answer_changed,0.12261992412279774
corruption_hazard,thought_token_count,-0.0016560006539006386
corruption_hazard,hidden_l2_shift,0.17637659864114194
corruption_hazard,hidden_cosine_shift,0.047473830779248286
corruption_hazard,lexical_echo,-0.2039620510536337
corruption_hazard,verbose_confidence_proxy,0.2085674990587732
