step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.043333333333333335,1500,65,1435,47,53,0.03133333333333333,0.035333333333333335,-0.054000000000000006,0.032752613240418116,0.8153846153846154,-0.054000000000000006,-0.054000000000000006,-0.054000000000000006,-0.054000000000000006,0.06665066666666786,0.0,0.47228527127579256,0.13151212455986333,0.4325417018460227,-0.18506394326560088,0.36819170726835726,0.0,0.0,50.0,1500,173197504571.1485,0.03039635509270134,-0.015430736359266947,1,32.89868133696452,1
2,0.03933333333333333,1500,59,1441,53,42,0.035333333333333335,0.028,-0.04266666666666667,0.03678001387925052,0.711864406779661,-0.042666666666666665,-0.042666666666666665,-0.042666666666666665,-0.042666666666666665,0.0632795555555568,0.0,0.4419135884757099,0.4596158140559831,0.5871716429138598,-0.06446953807722394,0.3624442992806435,0.9893333333333333,13.66131884320577,50.0,1500,16796897.551868238,0.007599088773175335,0.003705738870925599,0,131.5947253478581,1
3,0.04666666666666667,1500,70,1430,37,46,0.024666666666666667,0.030666666666666665,-0.056,0.025874125874125874,0.6571428571428571,-0.056,-0.05600000000000001,-0.05600000000000001,-0.056,0.05529733333333342,-6.938893903907228e-18,0.46362022912324535,0.47330645216771283,0.5494700373257463,-0.05753702550477575,0.3494491389642159,0.9786666666666667,11.810981019496918,50.0,1500,76135379248059.05,0.0033773727880779263,-0.006469470838898771,1,296.08813203268073,1
4,0.04066666666666666,1500,61,1439,44,37,0.029333333333333333,0.024666666666666667,-0.04533333333333334,0.030576789437109102,0.6065573770491803,-0.045333333333333364,-0.04533333333333334,-0.04533333333333334,-0.045333333333333364,0.05397822222222089,2.7755575615628914e-17,0.46410501820183087,0.46832545182352986,0.5441323036738661,-0.05756205017099803,0.3408758705953757,0.972,11.714974314371744,50.03333333333333,1500,1713140816.1176786,0.0018997721932938337,0.007147793638185372,0,526.3789013914324,1
5,0.04533333333333334,1500,68,1432,42,48,0.028,0.032,-0.054000000000000006,0.029329608938547486,0.7058823529411765,-0.054,-0.054000000000000006,-0.054000000000000006,-0.054,0.05998400000000136,-6.938893903907228e-18,0.4703833527803831,0.47068557126003596,0.5295362816147943,-0.055425620431585644,0.3290740534514189,0.9666666666666667,11.246475817600887,50.0,1500,1479549359576.3625,0.0012158542037080534,0.0022378225151989603,0,822.4670334241131,1
6,0.04133333333333333,1500,62,1438,37,42,0.024666666666666667,0.028,-0.05333333333333334,0.02573018080667594,0.6774193548387096,-0.05333333333333334,-0.05333333333333333,-0.05333333333333333,-0.05333333333333334,0.05265555555555568,6.938893903907228e-18,0.47312827512847533,0.4746287241527206,0.5217598438230975,-0.052629456184164494,0.3271927718867858,0.9673333333333334,10.848825694322587,50.06,1500,10636425566622.191,0.0008443431970194816,0.003326908829608153,0,1184.352528130723,1
7,0.038,1500,57,1443,49,37,0.03266666666666666,0.024666666666666667,-0.04200000000000001,0.03395703395703396,0.6491228070175439,-0.041999999999999996,-0.04200000000000001,-0.04200000000000001,-0.041999999999999996,0.057269333333332555,-1.3877787807814457e-17,0.47731125593123747,0.47438894733293674,0.5150130444384191,-0.05307324082772765,0.32125565042098364,0.9566666666666667,10.683460911393166,50.0,1500,36551592.76842933,0.0006203337774020681,0.017387776903731784,0,1612.0353855112617,1
8,0.046,1500,69,1431,41,40,0.027333333333333334,0.02666666666666667,-0.04933333333333334,0.0286512928022362,0.5797101449275363,-0.04933333333333337,-0.04933333333333334,-0.04933333333333334,-0.04933333333333337,0.05399955555555493,2.7755575615628914e-17,0.47944024614970704,0.47691659464371466,0.514853223981324,-0.052637246559312185,0.3190620716512203,0.9546666666666667,10.594397816618283,50.0,1500,88547497112.26216,0.00047494304832345843,0.010771406854635582,0,2105.5156055657294,1
9,0.04666666666666667,1500,70,1430,43,44,0.028666666666666667,0.029333333333333333,-0.050666666666666665,0.03006993006993007,0.6285714285714286,-0.050666666666666665,-0.050666666666666665,-0.050666666666666665,-0.050666666666666665,0.057999555555554194,0.0,0.48262882518984995,0.4760975303033853,0.5122420903609187,-0.05409369303818382,0.3135646769454082,0.9473333333333334,10.46945342795054,50.0,1500,93507124954.99821,0.0003752636431197696,0.011641217766749597,0,2664.793188294126,1
10,0.046,1500,69,1431,45,44,0.03,0.029333333333333333,-0.04933333333333334,0.031446540880503145,0.6376811594202898,-0.04933333333333333,-0.04933333333333333,-0.04933333333333333,-0.04933333333333333,0.05933288888888773,0.0,0.4895592995960869,0.48239222884551924,0.5114762019202748,-0.05736380901145662,0.31149718481798966,0.9446666666666667,10.357347330530484,50.0,1500,16668752288.278147,0.00030396355092701335,0.014429522709563544,0,3289.8681336964523,1
11,0.04666666666666667,1500,70,1430,49,47,0.03266666666666666,0.03133333333333333,-0.04866666666666667,0.03426573426573427,0.6714285714285714,-0.048666666666666705,-0.048666666666666664,-0.048666666666666664,-0.048666666666666705,0.06399822222222407,4.163336342344337e-17,0.49562954872576104,0.4895722516319688,0.5095666778783376,-0.05956882138216622,0.30664583095908166,0.95,10.244379723389944,50.03333333333333,1500,2432042420.595083,0.0002512095462206722,0.017187908635998162,0,3980.740441772707,1
12,0.048,1500,72,1428,53,44,0.035333333333333335,0.029333333333333333,-0.044,0.03711484593837535,0.6111111111111112,-0.044000000000000046,-0.044000000000000004,-0.044000000000000004,-0.044000000000000046,0.06463066666666586,4.163336342344337e-17,0.4996824486660857,0.4899839254676927,0.513340405861605,-0.06401020826846057,0.30633948343992234,0.9386666666666666,10.304755589286486,50.0,1500,37250757.234046824,0.0002110857992548704,0.022952583593885672,0,4737.410112522892,1
13,0.054,1500,81,1419,52,52,0.034666666666666665,0.034666666666666665,-0.05,0.036645525017618044,0.6419753086419753,-0.049999999999999926,-0.05,-0.05,-0.049999999999999926,0.06933333333333333,-7.632783294297951e-17,0.5029830399671755,0.49666414544950155,0.5137821945418091,-0.06605127393235602,0.3008486161579688,0.9486666666666667,10.29798501074314,50.0,1500,2047692992.2031236,0.00017986008930592507,0.01886676151179347,0,5559.8771459470045,1
