run_id,brier,auc,n,scope
deepseek_r1_distill_7b__arc_test_00000_398537ec__temp0.10__seed7,0.0971953123936608,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00000_398537ec__temp0.60__seed7,0.4903955653209552,0.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00000_398537ec__temp1.00__seed7,0.15207907872640802,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00001_d4bf1bf9__temp0.10__seed7,0.2271239529952426,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00001_d4bf1bf9__temp0.60__seed7,0.18012091061431418,0.9375,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00001_d4bf1bf9__temp1.00__seed7,0.22505104189450134,0.7333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00002_eef48f5d__temp0.10__seed7,0.07145812447773803,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00002_eef48f5d__temp0.60__seed7,0.11706073183206844,0.8333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00002_eef48f5d__temp1.00__seed7,0.24522134540410553,0.6666666666666666,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00003_c16c54fb__temp0.10__seed7,0.20792729728184328,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00003_c16c54fb__temp0.60__seed7,0.24290142608664017,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00003_c16c54fb__temp1.00__seed7,0.31479470197236026,0.3333333333333333,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00004_89613a4b__temp0.10__seed7,0.15404909154248536,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00004_89613a4b__temp0.60__seed7,0.16698669201174576,0.8,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00004_89613a4b__temp1.00__seed7,0.13066511496645633,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00005_2943784f__temp0.10__seed7,0.20624787059149732,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00005_2943784f__temp0.60__seed7,0.21222948551629922,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00005_2943784f__temp1.00__seed7,0.17028651815284196,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00006_73fea8aa__temp0.10__seed7,0.1123085728138529,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00006_73fea8aa__temp0.60__seed7,0.24222568349326823,0.75,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00006_73fea8aa__temp1.00__seed7,0.2603100596010196,0.7142857142857143,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00007_55ae159f__temp0.10__seed7,0.29189218441798803,0.4166666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00007_55ae159f__temp0.60__seed7,0.36018772636559787,0.16666666666666669,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00007_55ae159f__temp1.00__seed7,0.29357741769202017,0.19999999999999998,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00008_3926edfe__temp0.10__seed7,0.24606510581465035,0.6875,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00008_3926edfe__temp0.60__seed7,0.33064585271471403,0.1428571428571429,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00008_3926edfe__temp1.00__seed7,0.18406806118907584,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00009_0cb3f159__temp0.10__seed7,0.05818255565830298,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00009_0cb3f159__temp0.60__seed7,0.26646871682693934,0.9166666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00009_0cb3f159__temp1.00__seed7,0.1706357142926424,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00010_38aa3c95__temp0.10__seed7,0.12266607087331849,0.9333333333333333,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00010_38aa3c95__temp0.60__seed7,0.16895174991213566,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00010_38aa3c95__temp1.00__seed7,0.21604747231812343,0.7333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00011_0a8e7a55__temp0.10__seed7,0.2255833891261203,0.6666666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00011_0a8e7a55__temp0.60__seed7,0.24293480674398027,0.4166666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00011_0a8e7a55__temp1.00__seed7,0.22165762314104648,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00012_90d98cc0__temp0.10__seed7,0.23434982777262872,0.41666666666666663,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00012_90d98cc0__temp0.60__seed7,0.21526402395049787,0.2857142857142857,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00012_90d98cc0__temp1.00__seed7,0.17259282721860617,0.75,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00013_6647a8fe__temp0.10__seed7,0.5914979759523931,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00013_6647a8fe__temp0.60__seed7,0.2846464990373473,0.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00013_6647a8fe__temp1.00__seed7,0.3974431110421358,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00014_7f872561__temp0.10__seed7,0.26796301820081436,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00014_7f872561__temp0.60__seed7,0.21862364935476952,0.5714285714285714,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00014_7f872561__temp1.00__seed7,0.1697062888185343,0.4285714285714286,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00015_495befc7__temp0.10__seed7,0.13788902987863924,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00015_495befc7__temp0.60__seed7,0.16842264875842744,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00015_495befc7__temp1.00__seed7,0.2367525135428424,0.6666666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00016_75d83e3f__temp0.10__seed7,0.28499294578551115,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00016_75d83e3f__temp0.60__seed7,0.23999769248357222,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00016_75d83e3f__temp1.00__seed7,0.15011878104865453,0.9166666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00017_dac51f3a__temp0.10__seed7,0.22492699298755647,0.6000000000000001,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00017_dac51f3a__temp0.60__seed7,0.14008654719929736,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00017_dac51f3a__temp1.00__seed7,0.19857131135879086,0.7333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00018_9925db26__temp0.10__seed7,0.17945518710022368,0.75,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00018_9925db26__temp0.60__seed7,0.20258291036645032,0.9333333333333333,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00018_9925db26__temp1.00__seed7,0.25715499039750966,0.1428571428571429,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00019_1a50b7f7__temp0.10__seed7,0.17573699309656327,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00019_1a50b7f7__temp0.60__seed7,0.2643086612745253,0.375,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00019_1a50b7f7__temp1.00__seed7,0.16673984195722938,0.8,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00020_d3e511bf__temp0.10__seed7,0.2798213584697401,0.16666666666666663,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00020_d3e511bf__temp0.60__seed7,0.20618051714856833,0.6666666666666666,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00020_d3e511bf__temp1.00__seed7,0.2241920501179064,0.5,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00021_ce0d3229__temp0.10__seed7,0.29577403986352097,0.5333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00021_ce0d3229__temp0.60__seed7,0.28463585418380055,0.8571428571428571,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00021_ce0d3229__temp1.00__seed7,0.25799480021232285,0.6666666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00022_51e7e2c1__temp0.10__seed7,0.21112522506644066,0.75,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00022_51e7e2c1__temp0.60__seed7,0.14111416988852066,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00022_51e7e2c1__temp1.00__seed7,0.2321133635597465,0.6666666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00023_56ce0db0__temp0.10__seed7,0.14434717796516375,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00023_56ce0db0__temp0.60__seed7,0.425712659841682,0.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00023_56ce0db0__temp1.00__seed7,0.2654659070804154,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00024_75e3f15b__temp0.10__seed7,0.25004077655586465,0.6875,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00024_75e3f15b__temp0.60__seed7,0.2832252807409057,0.6666666666666667,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00024_75e3f15b__temp1.00__seed7,0.23489397194588066,0.6666666666666666,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00025_aa1dfcf3__temp0.10__seed7,0.14593917667175127,0.8,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00025_aa1dfcf3__temp0.60__seed7,0.2013763556196486,0.5833333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00025_aa1dfcf3__temp1.00__seed7,0.1605379702411331,0.9375,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00026_653ac6a4__temp0.10__seed7,0.25742957252967347,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00026_653ac6a4__temp0.60__seed7,0.2182110599610364,,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00026_653ac6a4__temp1.00__seed7,0.2162554872751123,0.1428571428571429,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00027_4de7cd96__temp0.10__seed7,0.2693584978679474,0.8333333333333334,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00027_4de7cd96__temp0.60__seed7,0.2555137931265332,0.6666666666666666,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00027_4de7cd96__temp1.00__seed7,0.22279090995096457,0.39999999999999997,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00028_de472a7b__temp0.10__seed7,0.1640600798816207,0.875,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00028_de472a7b__temp0.60__seed7,0.10078845750249132,1.0,8,per_run_oof
deepseek_r1_distill_7b__arc_test_00028_de472a7b__temp1.00__seed7,0.12425677641320135,1.0,8,per_run_oof
