run_id,brier,auc,n,scope
deepseek_r1_distill_7b__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.2517297740895413,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.28491582881012956,0.0,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.2900358248247551,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00001_eadb944e__temp0.10__seed7,0.28117827749216806,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00001_eadb944e__temp0.60__seed7,0.25824578151760563,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2454244615327706,0.375,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00002_1250771f__temp0.10__seed7,0.23501675918301176,1.0,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00002_1250771f__temp0.60__seed7,0.25213894395931735,0.41666666666666663,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00002_1250771f__temp1.00__seed7,0.24893800101208444,0.5833333333333334,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.25318896938059726,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.20540791190368388,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.22321212211756322,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00004_265cc24d__temp0.10__seed7,0.219897594038086,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00004_265cc24d__temp0.60__seed7,0.24273335551283956,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00004_265cc24d__temp1.00__seed7,0.23826910302035423,0.0,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.23507333292279328,0.2222222222222222,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.26179194019844,0.11111111111111116,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.2167350955466497,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00006_3739a204__temp0.10__seed7,0.24129268897721548,0.375,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00006_3739a204__temp0.60__seed7,0.24354880924633626,0.125,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00006_3739a204__temp1.00__seed7,0.25461308362132995,0.11111111111111116,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00007_6c27f522__temp0.10__seed7,0.22949402307259475,0.8571428571428571,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00007_6c27f522__temp0.60__seed7,0.23017395696571916,0.9047619047619048,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00007_6c27f522__temp1.00__seed7,0.20466445443072737,1.0,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00008_726ae877__temp0.10__seed7,0.25758910190981443,0.4444444444444444,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00008_726ae877__temp0.60__seed7,0.2686776275651764,0.0625,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00008_726ae877__temp1.00__seed7,0.3312851734744736,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00009_a047a4da__temp0.10__seed7,0.22292115169508153,0.0,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00009_a047a4da__temp0.60__seed7,0.2278881197227895,0.6190476190476191,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00009_a047a4da__temp1.00__seed7,0.21537995445031383,0.6666666666666667,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00010_fa834623__temp0.10__seed7,0.23223569947894468,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00010_fa834623__temp0.60__seed7,0.2768291599799004,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00010_fa834623__temp1.00__seed7,0.2813205537415703,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00011_159b66c2__temp0.10__seed7,0.2770380580424509,0.11111111111111116,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00011_159b66c2__temp0.60__seed7,0.24114820383681995,0.2222222222222222,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00011_159b66c2__temp1.00__seed7,0.24274854162943965,0.47619047619047616,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00012_33e3f184__temp0.10__seed7,0.2868149475169407,,10,per_run_oof
deepseek_r1_distill_7b__gpqa_main_00012_33e3f184__temp0.60__seed7,0.2681782766864341,,10,per_run_oof
