model,feature,coefficient
correctness_probe,step,0.0041033459491066435
correctness_probe,entropy_mean,0.14767637791359514
correctness_probe,entropy_std,0.015803128472551515
correctness_probe,confidence,0.0914529275357303
correctness_probe,answer_changed,-0.12893160146189933
correctness_probe,thought_token_count,0.10834209180931355
correctness_probe,hidden_l2_shift,-0.06888896754831059
correctness_probe,hidden_cosine_shift,0.06749962527341435
correctness_probe,lexical_echo,0.07397926334355431
correctness_probe,verbose_confidence_proxy,-0.051724639680551764
repair_hazard,step,-0.003807910228970535
repair_hazard,entropy_mean,0.3353352084121861
repair_hazard,entropy_std,-0.18302268044856118
repair_hazard,confidence,0.0465367059676827
repair_hazard,answer_changed,0.44923088728628013
repair_hazard,thought_token_count,-0.0180424643909865
repair_hazard,hidden_l2_shift,-0.1254499131864948
repair_hazard,hidden_cosine_shift,0.1210118979608752
repair_hazard,lexical_echo,-0.0056175816030343525
repair_hazard,verbose_confidence_proxy,-0.02200471604777764
corruption_hazard,step,-0.004385585741296261
corruption_hazard,entropy_mean,0.18154164244184842
corruption_hazard,entropy_std,-0.15941078759966767
corruption_hazard,confidence,-0.039483083256975464
corruption_hazard,answer_changed,0.6916443442712693
corruption_hazard,thought_token_count,-0.015887547354055783
corruption_hazard,hidden_l2_shift,0.10607692742961376
corruption_hazard,hidden_cosine_shift,0.036347793373270286
corruption_hazard,lexical_echo,-0.03553414238733958
corruption_hazard,verbose_confidence_proxy,-0.009361039451307207
