run_id,brier,auc,n,scope
deepseek_r1_distill_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.22480755861149926,0.8571428571428571,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.2783078372996048,0.48,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.11861093824678201,0.875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.18118666795872945,0.8333333333333334,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.12950020053120045,1.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.18635731480059242,0.6799999999999999,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00002_ae407466__temp0.10__seed7,0.2269972803013302,0.6666666666666666,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00002_ae407466__temp0.60__seed7,0.25436033899079613,0.6190476190476191,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00002_ae407466__temp1.00__seed7,0.23521465745002254,0.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.13302123742742394,1.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.11998174611686034,0.875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.15121801644761185,0.9583333333333334,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.304646455270428,0.1875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.248047671437491,0.25,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.13314970775071422,0.8888888888888888,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00005_d0817615__temp0.10__seed7,0.09526680920552545,,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00005_d0817615__temp0.60__seed7,0.26989629242572366,0.64,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00005_d0817615__temp1.00__seed7,0.17521676036502307,0.92,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.13855098711725147,0.9166666666666666,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.27777372903291575,0.37500000000000006,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.24365314465903096,0.56,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.21321798555022062,0.75,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.21662946728485127,0.8400000000000001,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.2773255226789332,0.23809523809523814,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.18312373277873134,0.9583333333333334,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.15941297853002334,1.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.17096287082363976,0.8,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.1336546654491738,0.8888888888888888,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.28017045268416635,0.47619047619047616,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.24180478958643783,0.6666666666666666,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.16998145566773953,0.8888888888888888,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.1663522906840519,0.9583333333333334,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.24147955510148603,0.75,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00011_127045f3__temp0.10__seed7,0.07841197819132607,,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00011_127045f3__temp0.60__seed7,0.1739289162360407,0.625,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00011_127045f3__temp1.00__seed7,0.15855434849046535,0.875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.15556665582055218,0.6875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.18526119554534876,0.8,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.26940563168640996,0.45833333333333337,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.060863889983037656,,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.13181061435462404,0.92,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.12494448860741847,0.875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.1755167193947835,0.8571428571428571,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.19282148668774537,0.875,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.12452269151756956,1.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.14032811376476154,1.0,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.19767877710568438,0.7142857142857144,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.17481988942097443,0.8333333333333334,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.21136106755273806,0.8125,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.20658673872659122,0.7142857142857142,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.21940271485543406,0.7083333333333333,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.1865905458768788,0.76,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.12697402416915454,0.9375,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.2225871268777265,0.625,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.1688676394692255,0.9375,10,per_run_oof
deepseek_r1_distill_7b__gsm8k_train_00018_86b6a534__temp0.60__seed7,0.19007221372586167,0.875,10,per_run_oof
