phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,32,32,8207,8192,47.80932512972504,0.6693254906479379,171.3473256058721,0.0153908203355968,40.24649126967415,3.7952193613164127,1.6838131761178374,0.0,14.216647624969482,14.259765625,21.324885845184326,21.7421875,1,0
generate,0.1,7,2,32,32,11645,8183,54.40201428718865,0.5882135141370273,150.41722456822794,0.02439291262999177,44.98464207118377,5.441056116949767,1.9730714550241828,0.0,14.21672010421753,14.259765625,21.35750150680542,21.783203125,1,0
generate,0.1,7,3,32,32,15375,8192,60.45449161995202,0.5293237796319326,135.50688758577473,0.021953951101750135,49.54744384298101,6.712281806394458,2.2978652380406857,0.0,14.216796398162842,14.259765625,21.391833782196045,21.900390625,1,0
generate,0.1,7,4,32,32,19629,8192,76.41604853980243,0.41876020301327577,107.2026119713986,0.027269871905446053,63.10311989998445,9.29328516125679,2.127615178003907,0.0,14.21693754196167,14.259765625,21.4553484916687,22.115234375,1,0
generate,0.1,7,5,32,32,24282,8192,88.91633793292567,0.3598888656901199,92.1315496166707,0.033817159943282604,72.86622656416148,12.004012424964458,2.0340728699229658,0.0,14.217074871063232,14.259765625,22.193374633789062,22.7421875,1,0
generate,0.1,7,6,32,32,28234,8192,96.45893267728388,0.33174739873040304,84.92733407498318,0.038798619993031025,79.67699778592214,12.683231960050762,2.112324452959001,0.0,14.217135906219482,14.259765625,22.96778964996338,23.5625,1,0
generate,0.1,7,7,32,32,32402,8192,104.04436023021117,0.3075611203643907,78.73564681328402,0.04409797675907612,85.65915456367657,14.209872995037585,2.1377670210786164,0.0,14.217204570770264,14.259765625,23.840173721313477,24.48046875,1,0
generate,0.1,7,8,32,32,36859,8192,110.49960203794762,0.2895938031433869,74.13601360470705,0.04835691396147013,91.009856200777,15.335060871206224,1.9844867982901633,0.0,14.217265605926514,14.259765625,24.616663932800293,25.3203125,1,0
generate,0.1,7,9,32,32,41393,8192,120.79788619885221,0.26490529765829673,67.81575620052396,0.05383921414613724,99.0541664082557,17.744270838797092,1.8267461061477661,0.0,14.21739912033081,14.259765625,26.318641185760498,27.134765625,1,0
generate,0.1,7,10,32,32,45657,8192,124.44485502224416,0.2571420087578558,65.82835424201109,0.058826062362641096,100.75029875896871,19.719336156733334,1.7720193876884878,0.0,14.217517375946045,14.259765625,27.83000898361206,28.73828125,1,0
