step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.08666666666666667,90,83,0.06569343065693431,0.6384615384615384,-0.04533333333333333,0.2911918424566587,50.39,0.0,0.0,1500
2,0.09133333333333334,113,82,0.08290535583272193,0.5985401459854015,-0.02933333333333335,0.3019833684315284,50.276666666666664,0.9846666666666667,25.04821078236898,1500
3,0.112,86,75,0.06456456456456457,0.44642857142857145,-0.04266666666666667,0.28737061898907024,50.29666666666667,0.9693333333333334,22.59094276269277,1500
4,0.11933333333333333,83,97,0.06283118849356548,0.5418994413407822,-0.05933333333333335,0.26891403751075266,50.28,0.944,20.9076871937116,1500
5,0.11,83,93,0.062172284644194754,0.5636363636363636,-0.05666666666666667,0.25768148063868285,50.24,0.926,20.610152782440185,1500
6,0.10333333333333333,80,91,0.05947955390334572,0.5870967741935483,-0.057333333333333326,0.2501192828975618,50.16,0.902,20.18501900577545,1500
7,0.096,72,76,0.05309734513274336,0.5277777777777778,-0.052666666666666674,0.23856632795805732,50.126666666666665,0.898,19.805994694868723,1500
8,0.09333333333333334,81,74,0.05955882352941176,0.5285714285714286,-0.045333333333333344,0.23166325927401582,50.14333333333333,0.8893333333333333,18.835111034552256,1500
9,0.098,75,83,0.05543237250554324,0.564625850340136,-0.05533333333333333,0.22646856246391933,50.163333333333334,0.8873333333333333,18.23971499355634,1500
10,0.09266666666666666,61,67,0.04481998530492285,0.48201438848920863,-0.054000000000000006,0.21916769173865516,50.13,0.8613333333333333,17.882447117010752,1500
11,0.08866666666666667,58,77,0.04242867593269934,0.5789473684210527,-0.06266666666666668,0.2176676287042598,50.13,0.8606666666666667,17.329845828533173,1500
12,0.076,76,60,0.05483405483405483,0.5263157894736842,-0.03933333333333333,0.21313648951798678,50.06666666666667,0.8666666666666667,17.42292944661776,1500
13,0.08666666666666667,66,77,0.04817518248175182,0.5923076923076923,-0.05733333333333334,0.2111714811262985,50.03333333333333,0.8533333333333334,16.94533002312978,1500
