phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,64,64,28024,16384,97.49291787995026,0.6564579396301136,168.05323254530907,0.05016262223944068,76.41154043888673,12.505838071927428,5.327244039159268,0.0,16.431519031524658,16.466796875,37.418925762176514,39.287109375,1,0
generate,0.1,7,2,64,64,34036,16384,104.7341019702144,0.6110712632853923,156.43424340106043,0.05854667583480477,80.47081508114934,13.471442515961826,7.555696335155517,0.0,16.431602954864502,16.466796875,39.06801986694336,41.123046875,1,0
generate,0.1,7,3,64,64,40771,16384,110.12182226590812,0.5811745454544056,148.78068363632784,0.0669192923232913,85.44468962168321,14.63288342161104,6.7612187610939145,0.0,16.431694507598877,16.46875,40.867032051086426,42.607421875,1,0
generate,0.1,7,4,64,64,47899,16384,116.07473734533414,0.5513688978644293,141.1504378532939,0.07465321104973555,89.6930845589377,15.465743704233319,7.612990344874561,0.0,16.43177843093872,16.46875,42.51612615585327,44.931640625,1,0
generate,0.1,7,5,64,64,55027,16384,117.75670324312523,0.5434934762725399,139.1343299257702,0.08397585339844227,91.20312541769817,16.102389991283417,7.159343562088907,0.0,16.431854724884033,16.46875,44.015302658081055,44.169921875,1,0
generate,0.1,7,6,64,64,62058,16384,123.55620850715786,0.5179828741369346,132.60361577905525,0.09402676671743393,95.67531866300851,17.230444808956236,7.287232649046928,0.0,16.431931018829346,16.46875,45.514479637145996,47.646484375,1,0
generate,0.1,7,7,64,64,69071,16384,129.0695160026662,0.495856821828308,126.93934638804684,0.1019110712222755,99.82274971809238,18.280006255954504,7.50135976402089,0.0,16.432007312774658,16.46875,47.01365613937378,49.951171875,1,0
generate,0.1,7,8,64,64,76235,16384,141.38063953304663,0.45267867093669845,115.8857397597948,0.11789041478186846,109.97867434564978,20.37738148216158,7.483017219230533,0.0,16.432167530059814,16.46875,50.161927223205566,53.33203125,1,0
generate,0.1,7,9,64,64,83459,16384,154.39538434892893,0.4145201637334049,106.11716191575165,0.12217697408050299,120.774229333736,22.606934797018766,7.362374511081725,0.0,16.432365894317627,16.46875,54.059786319732666,54.23046875,1,0
generate,0.1,7,10,64,64,90879,16384,170.0468723368831,0.37636681651638015,96.34990502819332,0.1351753775961697,136.8135637268424,22.022983686998487,7.2892007124610245,0.0,16.43150758743286,16.466796875,37.19405746459961,38.796875,2,1
hidden_state_write,0.1,7,0,64,64,0,0,0.01083448063582182,,,0.0,0.0,0.0,0.0,0.01083448063582182,16.430450916290283,16.466796875,34.49553871154785,35.8671875,0,0
generate,0.1,7,1,64,64,27273,16384,70.83814995503053,0.9034679765158813,231.2878019880656,0.04817262990400195,52.48923944495618,8.200857256073505,7.144122498109937,0.0,16.431084156036377,16.466796875,28.949500560760498,29.96875,1,0
generate,0.1,7,2,64,64,33667,16384,82.54675702704117,0.7753181627599797,198.4814496665548,0.0575295640155673,62.31980901770294,9.848831271752715,7.303472489118576,0.0,16.431267261505127,16.466796875,32.47164297103882,33.876953125,1,0
generate,0.1,7,3,64,64,40221,16384,91.51098603615537,0.6993695814261474,179.03861284509372,0.06700329203158617,69.5552996438928,11.305432363878936,7.535649374127388,0.0,16.43140459060669,16.466796875,35.17016077041626,36.845703125,1,0
generate,0.1,7,4,64,64,46906,16384,103.98996004322544,0.6154440291485559,157.5536714620303,0.07673864206299186,79.84604108333588,13.705100513063371,7.093262620270252,0.0,16.43159532546997,16.466796875,38.9181022644043,40.947265625,1,0
generate,0.1,7,5,64,64,53574,16384,117.48025972768664,0.5447723740852191,139.46172776581608,0.08674982516095042,90.93937266711146,15.873648540116847,7.297485386952758,0.0,16.431801319122314,16.46875,42.96587944030762,45.380859375,1,0
generate,0.1,7,6,64,64,60833,16384,130.72081512399018,0.48959303030122076,125.33581575711251,0.09707141341641545,101.89788365084678,18.335944953374565,7.008370439056307,0.0,16.432007312774658,16.46875,47.01365613937378,49.951171875,1,0
generate,0.1,7,7,64,64,68001,16384,143.98276526480913,0.44449764443885326,113.79139697634643,0.10895392205566168,114.92407552525401,18.93416459718719,6.277684630360454,0.0,16.431332111358643,16.466796875,33.74594974517822,34.98828125,2,1
generate,0.1,7,8,64,64,75125,16384,167.56895407335833,0.3819323236449998,97.77467485311995,0.1219845600426197,137.048028182704,19.968469952698797,6.516883226111531,0.0,16.431244373321533,16.466796875,32.02189588546753,33.5234375,3,2
generate,0.1,7,9,64,64,82386,16384,205.490779212676,0.3114494978568463,79.73107145135265,0.13131607370451093,177.48849392635748,16.711127553135157,6.674563753884286,0.0,16.43089532852173,16.466796875,25.163167476654053,25.8046875,5,4
generate,0.1,7,10,64,64,89711,16384,232.18499546963722,0.2756422733973319,70.56442198971696,0.13976047839969397,196.5199276781641,24.048609529156238,6.7889647097326815,0.0,16.430941104888916,16.466796875,26.062674522399902,26.80078125,6,5
hidden_state_write,0.1,7,0,64,64,0,0,0.00976670952513814,,,0.0,0.0,0.0,0.0,0.00976670952513814,16.430450916290283,16.466796875,20.87177610397339,21.3515625,0,0
generate,0.1,7,1,64,64,26471,16384,87.70433254726231,0.7297244975384943,186.80947136985455,0.0489600389264524,69.70134264370427,8.138352390378714,6.533442724030465,0.0,16.430778980255127,16.466796875,22.909006595611572,23.091796875,2,1
generate,0.1,7,2,64,64,32475,16384,92.90285601047799,0.6888916309826019,176.35625753154608,0.059904821682721376,73.61148080509156,8.89693467086181,7.092714115045965,0.0,16.430805683135986,16.466796875,23.42006015777588,24.029296875,2,1
