run_id,brier,auc,n,scope
internlm3_8b_instruct__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.2687947253679519,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.2627260351919206,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.24082988445352474,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,0.30050780300137203,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00001_eadb944e__temp0.60__seed7,0.29391966185615676,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2707218016941839,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00002_1250771f__temp0.10__seed7,0.2293473016667995,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00002_1250771f__temp0.60__seed7,0.24007178761323894,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,0.24665558217362768,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.2102321084399837,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.24382906669868457,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.213253164669356,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00004_265cc24d__temp0.10__seed7,0.26897041694222124,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00004_265cc24d__temp0.60__seed7,0.24799245235838838,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00004_265cc24d__temp1.00__seed7,0.25967848493764223,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.27341548499678725,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.2752106304032381,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.25066121053829876,0.875,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00006_3739a204__temp0.10__seed7,0.23229906199970088,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00006_3739a204__temp0.60__seed7,0.20939178194566907,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00006_3739a204__temp1.00__seed7,0.2369981504886852,0.11111111111111116,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00007_6c27f522__temp0.10__seed7,0.26617289597818083,0.1111111111111111,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00007_6c27f522__temp0.60__seed7,0.2230624631969378,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00007_6c27f522__temp1.00__seed7,0.23777872943178777,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00008_726ae877__temp0.10__seed7,0.30506699719740993,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00008_726ae877__temp0.60__seed7,0.23676364614583917,0.8571428571428571,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00008_726ae877__temp1.00__seed7,0.23849019989395268,0.375,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00009_a047a4da__temp0.10__seed7,0.2135609000415189,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00009_a047a4da__temp0.60__seed7,0.24404830448060144,0.375,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00009_a047a4da__temp1.00__seed7,0.22169580575105882,0.72,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00010_fa834623__temp0.10__seed7,0.2679816718344014,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00010_fa834623__temp0.60__seed7,0.26085205873719775,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00010_fa834623__temp1.00__seed7,0.2534635825781394,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00011_159b66c2__temp0.10__seed7,0.2653408034933696,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00011_159b66c2__temp0.60__seed7,0.28235113755642616,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00011_159b66c2__temp1.00__seed7,0.2593011105166695,0.5625,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00012_33e3f184__temp0.10__seed7,0.22561302210419756,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00012_33e3f184__temp0.60__seed7,0.27658307305550134,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00012_33e3f184__temp1.00__seed7,0.22007862245172333,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00013_c6091900__temp0.10__seed7,0.3053064551515446,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00013_c6091900__temp0.60__seed7,0.24621920811063572,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00013_c6091900__temp1.00__seed7,0.2494740053167674,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00014_cc7b0408__temp0.10__seed7,0.2789297000717794,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00014_cc7b0408__temp0.60__seed7,0.2833947858978557,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00014_cc7b0408__temp1.00__seed7,0.21809864463533013,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00015_c0c657da__temp0.10__seed7,0.28850506302597007,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00015_c0c657da__temp0.60__seed7,0.23289505631343102,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00015_c0c657da__temp1.00__seed7,0.24815487144419,0.11111111111111116,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00016_fc851e3b__temp0.10__seed7,0.24071270886410967,0.5555555555555556,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00016_fc851e3b__temp0.60__seed7,0.2816746470555461,,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00016_fc851e3b__temp1.00__seed7,0.23945559702876648,0.11111111111111116,10,per_run_oof
internlm3_8b_instruct__gpqa_main_00017_2e9ec04d__temp0.10__seed7,0.2421590646641784,,10,per_run_oof
