model,feature,coefficient
correctness_probe,step,-0.05070301896664389
correctness_probe,entropy_mean,0.00467718772784848
correctness_probe,entropy_std,-0.044975421755976616
correctness_probe,confidence,0.042411850527918266
correctness_probe,answer_changed,-0.10018366371622318
correctness_probe,thought_token_count,-0.09290608875941775
correctness_probe,hidden_l2_shift,0.037618060501836165
correctness_probe,hidden_cosine_shift,-0.06221077878768611
correctness_probe,lexical_echo,0.04264814117218062
correctness_probe,verbose_confidence_proxy,0.042411850527914095
repair_hazard,step,-0.22475717323375083
repair_hazard,entropy_mean,0.6928049071055796
repair_hazard,entropy_std,-0.5444911592748997
repair_hazard,confidence,-0.08949720651986431
repair_hazard,answer_changed,0.5021143364330224
repair_hazard,thought_token_count,-0.08541190050672748
repair_hazard,hidden_l2_shift,0.5648076913879413
repair_hazard,hidden_cosine_shift,-0.7719864245905101
repair_hazard,lexical_echo,-0.7983274936411673
repair_hazard,verbose_confidence_proxy,-0.08949720651986544
corruption_hazard,step,-0.1056620393576861
corruption_hazard,entropy_mean,0.6748955254327241
corruption_hazard,entropy_std,-0.400406655473868
corruption_hazard,confidence,-0.13366284648458182
corruption_hazard,answer_changed,0.472316079754554
corruption_hazard,thought_token_count,-0.012854355402195938
corruption_hazard,hidden_l2_shift,0.9957748674553369
corruption_hazard,hidden_cosine_shift,-0.6789477622367076
corruption_hazard,lexical_echo,-0.6622108271708904
corruption_hazard,verbose_confidence_proxy,-0.1336628464845979
