step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.112,98,31,0.07357357357357357,0.18452380952380953,-0.005333333333333343,0.48757355637848376,62.708666666666666,0.0,0.0,1500
2,0.15666666666666668,70,24,0.05533596837944664,0.10212765957446808,-0.01933333333333334,0.4435687738259633,67.78466666666667,0.6606666666666666,9.112462492148081,1500
3,0.18733333333333332,44,14,0.03609515996718622,0.0498220640569395,-0.03,0.4228831908404827,70.81066666666666,0.5086666666666667,7.715720796028773,1500
4,0.20733333333333334,38,19,0.031959629941127,0.06109324758842444,-0.037333333333333336,0.40399551098048686,72.144,0.4126666666666667,6.895182693262895,1500
5,0.22,28,17,0.023931623931623933,0.051515151515151514,-0.042666666666666665,0.39517103193203607,74.00266666666667,0.36,6.549842191716035,1500
6,0.22733333333333333,23,17,0.01984469370146678,0.04985337243401759,-0.046000000000000006,0.3844666774918636,74.896,0.33,6.144885299146176,1500
7,0.23133333333333334,23,20,0.0199479618386817,0.05763688760806916,-0.048,0.36367195226748783,76.54933333333334,0.28933333333333333,5.918620550096035,1500
8,0.23333333333333334,20,15,0.017391304347826087,0.04285714285714286,-0.04666666666666667,0.3610018289983273,76.39,0.27266666666666667,5.508874066193899,1500
9,0.23666666666666666,17,15,0.014847161572052401,0.04225352112676056,-0.04866666666666667,0.3460833173270027,77.27133333333333,0.24733333333333332,5.40908614552021,1500
10,0.238,22,10,0.019247594050743656,0.028011204481792718,-0.042,0.3303731782945494,77.696,0.23666666666666666,5.377098603049914,1500
11,0.246,12,15,0.010610079575596816,0.04065040650406504,-0.052000000000000005,0.32045516241093475,78.114,0.22666666666666666,5.071847622931004,1500
12,0.244,15,13,0.013227513227513227,0.03551912568306011,-0.04866666666666667,0.31361454549307627,78.94533333333334,0.21066666666666667,4.84417183860143,1500
13,0.24533333333333332,20,7,0.0176678445229682,0.019021739130434784,-0.04133333333333333,0.3108409260151287,78.99533333333333,0.20666666666666667,4.730210756679376,1500
