run_id,brier,auc,n,scope
llama_3p1_8b_instruct__arc_test_00000_398537ec__temp0.10__seed7,0.11990183398161136,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00000_398537ec__temp0.60__seed7,0.11632311038308829,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00000_398537ec__temp1.00__seed7,0.24524398794734437,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00001_d4bf1bf9__temp0.10__seed7,0.11393074316596952,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00001_d4bf1bf9__temp0.60__seed7,0.16799985084597577,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00001_d4bf1bf9__temp1.00__seed7,0.20422971155348948,0.7142857142857143,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00002_eef48f5d__temp0.10__seed7,0.13515512816739883,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00002_eef48f5d__temp0.60__seed7,0.2033129809683411,0.7142857142857143,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00002_eef48f5d__temp1.00__seed7,0.12155697511596017,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00003_c16c54fb__temp0.10__seed7,0.21157041435226917,0.7333333333333333,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00003_c16c54fb__temp0.60__seed7,0.15161203828387904,0.8571428571428571,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00003_c16c54fb__temp1.00__seed7,0.21040577196234425,0.5,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00004_89613a4b__temp0.10__seed7,0.08659240488950139,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00004_89613a4b__temp0.60__seed7,0.08737951971704391,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00004_89613a4b__temp1.00__seed7,0.08967888196130758,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00005_2943784f__temp0.10__seed7,0.1447516910045218,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00005_2943784f__temp0.60__seed7,0.17507214527635934,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00005_2943784f__temp1.00__seed7,0.11259974090225135,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00006_73fea8aa__temp0.10__seed7,0.1961236911504646,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00006_73fea8aa__temp0.60__seed7,0.17293924149299836,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00006_73fea8aa__temp1.00__seed7,0.12131808470053823,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00007_55ae159f__temp0.10__seed7,0.4823538496296335,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00007_55ae159f__temp0.60__seed7,0.40610119916915777,0.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00007_55ae159f__temp1.00__seed7,0.3801394580288874,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00008_3926edfe__temp0.10__seed7,0.3150203868575571,0.1428571428571429,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00008_3926edfe__temp0.60__seed7,0.1192060602232553,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00008_3926edfe__temp1.00__seed7,0.14468473790059472,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00009_0cb3f159__temp0.10__seed7,0.19805119294714868,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00009_0cb3f159__temp0.60__seed7,0.1238386046435286,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00009_0cb3f159__temp1.00__seed7,0.3059017475773268,0.8,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00010_38aa3c95__temp0.10__seed7,0.134822762553433,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00010_38aa3c95__temp0.60__seed7,0.18114895610104584,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00010_38aa3c95__temp1.00__seed7,0.21590220336124277,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00011_0a8e7a55__temp0.10__seed7,0.42404190040615436,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00011_0a8e7a55__temp0.60__seed7,0.16499425390429798,0.8125,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00011_0a8e7a55__temp1.00__seed7,0.29483753161213655,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00012_90d98cc0__temp0.10__seed7,0.18227047834075988,0.9166666666666667,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00012_90d98cc0__temp0.60__seed7,0.13008749117252438,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00012_90d98cc0__temp1.00__seed7,0.13862139091618664,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00013_6647a8fe__temp0.10__seed7,0.21760124021891183,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00013_6647a8fe__temp0.60__seed7,0.18991577588767006,0.8571428571428571,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00013_6647a8fe__temp1.00__seed7,0.17721965611670665,1.0,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00014_7f872561__temp0.10__seed7,0.12164424265144937,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00014_7f872561__temp0.60__seed7,0.12696475425057052,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00014_7f872561__temp1.00__seed7,0.2173341951547927,0.5,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00015_495befc7__temp0.10__seed7,0.114108932741351,,8,per_run_oof
llama_3p1_8b_instruct__arc_test_00015_495befc7__temp0.60__seed7,0.1590624871423407,,8,per_run_oof
