phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,64,64,27592,4772,84.57105923630297,0.756760061632613,56.4259220954817,0.04613121459260583,70.30523264594376,10.561129771638662,0.6698644733987749,0.0,14.989059925079346,15.001953125,19.427478790283203,19.669921875,7,6
generate,0.1,7,2,64,64,31456,4855,77.03330717328936,0.8308094556557147,63.024686050132736,0.07226103218272328,63.71812316495925,8.787057215813547,0.8123209620825946,0.0,14.988926410675049,15.001953125,17.328693866729736,17.525390625,7,6
generate,0.1,7,3,64,64,35466,5365,94.29836388677359,0.6786968231691316,56.893882129724865,0.05366011196747422,78.36524919094518,10.940805633552372,1.6674213740043342,0.0,14.989065647125244,15.001953125,19.517884254455566,19.810546875,5,4
generate,0.1,7,4,64,64,39996,5221,89.69757840503007,0.7135086714493845,58.20669958808181,0.08205442223697901,69.96325179375708,15.839651725720614,1.2628640462644398,0.0,14.990044116973877,15.001953125,34.91431140899658,36.064453125,1,0
generate,0.1,7,5,64,64,44498,5447,96.20717878360301,0.6652310233933165,56.61739663161555,0.060609723906964064,75.29787766793743,16.7108331262134,1.4901070739142597,0.0,14.990089893341064,15.001953125,35.6384482383728,36.826171875,1,0
generate,0.1,7,6,64,64,49224,5353,110.84054852509871,0.5774060201940254,48.29460040779091,0.0638710018247366,88.49103277269751,17.696073030121624,1.576467182021588,0.0,14.99012804031372,15.001953125,36.24210548400879,37.451171875,1,0
generate,0.1,7,7,64,64,53719,5683,122.21302513219416,0.5236757696716297,46.50077186006049,0.06960783433169127,103.56184045877308,13.665797327645123,1.5362281389534473,0.0,14.990166187286377,15.001953125,36.8459529876709,38.095703125,1,0
generate,0.1,7,8,64,64,58656,5546,109.31621898105368,0.5854574974925931,50.73355126709253,0.0756515059620142,86.77271934784949,17.988806548994035,1.6297933692112565,0.0,14.990234851837158,15.00390625,37.93335962295532,39.384765625,1,0
generate,0.1,7,9,64,64,63476,5321,125.80355197517201,0.5087296741242309,42.296103062734886,0.09419770259410143,103.24685361236334,17.670280043501407,1.5262009049765766,0.0,14.989506244659424,15.001953125,26.46107530593872,27.3125,3,2
generate,0.1,7,10,64,64,67968,5068,100.30587292090058,0.6380483827748477,50.525456310983245,0.08470881590619683,80.47279751487076,15.279950693249702,1.5080872909165919,0.0,14.990440845489502,15.00390625,41.19928789138794,41.49609375,1,0
hidden_state_write,0.1,7,0,64,64,0,0,0.013122947420924902,,,0.0,0.0,0.0,0.0,0.013122947420924902,14.98877763748169,15.00390625,41.19928789138794,41.49609375,0,0
