run_id,brier,auc,n,scope
llama_3p1_8b_instruct__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.29137085028962556,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.20991408387889607,0.7916666666666667,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.27263808490306474,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,0.24159078971781675,0.72,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00001_eadb944e__temp0.60__seed7,0.21526061115492734,0.7777777777777778,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2875259137488165,0.09523809523809526,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00002_1250771f__temp0.10__seed7,0.20721085953621926,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00002_1250771f__temp0.60__seed7,0.183758620350442,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,0.2118938724038662,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.2675872753933405,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.24545726627747028,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.24049679214563446,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00004_265cc24d__temp0.10__seed7,0.2228214208314523,0.6,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00004_265cc24d__temp0.60__seed7,0.2284247923644113,0.3333333333333333,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00004_265cc24d__temp1.00__seed7,0.21138569805594426,0.9375,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.24747477781119018,0.625,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.2841329859303652,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.26049566471648106,0.25,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00006_3739a204__temp0.10__seed7,0.25083334362136034,0.4444444444444444,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00006_3739a204__temp0.60__seed7,0.1997756972640226,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00006_3739a204__temp1.00__seed7,0.2232618299569462,0.5555555555555556,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00007_6c27f522__temp0.10__seed7,0.3078288522007544,0.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00007_6c27f522__temp0.60__seed7,0.27189999514594676,0.5238095238095237,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00007_6c27f522__temp1.00__seed7,0.26448624052879327,0.0625,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00008_726ae877__temp0.10__seed7,0.20857555755338408,0.9166666666666667,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00008_726ae877__temp0.60__seed7,0.21607590685670974,0.33333333333333337,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00008_726ae877__temp1.00__seed7,0.2763090029987469,0.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00009_a047a4da__temp0.10__seed7,0.24677637617537268,0.5625,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00009_a047a4da__temp0.60__seed7,0.27443282570570376,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00009_a047a4da__temp1.00__seed7,0.27055070688558513,0.125,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00010_fa834623__temp0.10__seed7,0.21617650550300663,0.9523809523809524,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00010_fa834623__temp0.60__seed7,0.2657647595624855,0.23809523809523808,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00010_fa834623__temp1.00__seed7,0.26060786515529955,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00011_159b66c2__temp0.10__seed7,0.19887954940201033,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00011_159b66c2__temp0.60__seed7,0.17359033018221265,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00011_159b66c2__temp1.00__seed7,0.22154585158858042,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00012_33e3f184__temp0.10__seed7,0.28865511099108937,0.33333333333333337,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00012_33e3f184__temp0.60__seed7,0.27067350171943855,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00012_33e3f184__temp1.00__seed7,0.25669184444674364,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00013_c6091900__temp0.10__seed7,0.19629957675458257,1.0,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00013_c6091900__temp0.60__seed7,0.2796862683432553,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00013_c6091900__temp1.00__seed7,0.22122759281454257,0.625,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00014_cc7b0408__temp0.10__seed7,0.20448539264871504,,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00014_cc7b0408__temp0.60__seed7,0.21816806088547577,0.11111111111111116,10,per_run_oof
llama_3p1_8b_instruct__gpqa_main_00014_cc7b0408__temp1.00__seed7,0.16538083606060305,1.0,10,per_run_oof
