run_id,brier,auc,n,scope
llama_3p1_8b_instruct__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.15131680606044323,0.6875,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.15726641483201903,0.92,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.20339157073891,0.8095238095238095,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.28236744162491756,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.28643639882123656,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.2811592493358169,0.5238095238095238,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00002_ae407466__temp0.10__seed7,0.3159339832634974,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00002_ae407466__temp0.60__seed7,0.1489107756820925,0.92,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00002_ae407466__temp1.00__seed7,0.1098720813233827,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.10799352969200451,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.12075278173124918,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.19960244165170896,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.28037964077312183,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.16924083291931286,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.05362932037598023,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00005_d0817615__temp0.10__seed7,0.3523565853543305,0.2222222222222222,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00005_d0817615__temp0.60__seed7,0.34505763237933157,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00005_d0817615__temp1.00__seed7,0.21055457958078155,0.76,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.3593230575509205,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.3476401812977235,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.24212868205267432,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.19961764650976513,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.3446746459709033,0.11111111111111116,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.23473630952600807,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.29547569296156095,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.3755836561590703,0.2222222222222222,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.13603438361798462,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.3039430046330372,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.11721878411844602,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.10846208290930488,0.9583333333333334,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.174366503293467,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.32591873093287627,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.23199086728861693,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00011_127045f3__temp0.10__seed7,0.1582427088493967,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00011_127045f3__temp0.60__seed7,0.15221859550628514,0.92,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00011_127045f3__temp1.00__seed7,0.17694998621849445,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.24942581332006192,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.15616070451401184,0.8571428571428572,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.09641447992605842,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.12243730042135673,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.22618652875236495,0.75,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.17408653268664934,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.33429272001202254,0.11111111111111116,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.24070279638313838,0.75,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.24247671053531855,0.6666666666666667,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.11524486812236537,0.9600000000000001,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.25908703482838835,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.26680584372056587,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.11690421427863354,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.13748411773082023,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.14861761829379913,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.22437095117269573,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.15368890606122715,0.8333333333333334,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.26967571223649633,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00018_86b6a534__temp0.10__seed7,0.29660301089544605,0.33333333333333337,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00018_86b6a534__temp0.60__seed7,0.3409010071522463,0.28571428571428575,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00018_86b6a534__temp1.00__seed7,0.19352815637434687,0.76,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00019_fe91f244__temp0.10__seed7,0.10889247735387193,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00019_fe91f244__temp0.60__seed7,0.19712399792455135,0.7083333333333334,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00019_fe91f244__temp1.00__seed7,0.1930639657749423,0.5625,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00020_7d8a849a__temp0.10__seed7,0.12563526335014508,0.2222222222222222,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00020_7d8a849a__temp0.60__seed7,0.07887192316189406,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00020_7d8a849a__temp1.00__seed7,0.07420547678376901,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00021_8849281d__temp0.10__seed7,0.1214731081954246,1.0,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00021_8849281d__temp0.60__seed7,0.11091458716764328,0.9600000000000001,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00021_8849281d__temp1.00__seed7,0.22671529194035042,,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00022_80c4da46__temp0.10__seed7,0.3164668574782247,0.9375,10,per_run_oof
llama_3p1_8b_instruct__gsm8k_train_00022_80c4da46__temp0.60__seed7,0.15627465953275688,0.9166666666666666,10,per_run_oof
