model,feature,coefficient
correctness_probe,step,-0.21297233107106367
correctness_probe,entropy_mean,0.0967783013751313
correctness_probe,entropy_std,-0.14000810608256373
correctness_probe,confidence,1.2991318221977253
correctness_probe,answer_changed,-0.4084166285011406
correctness_probe,thought_token_count,-0.06677717780157819
correctness_probe,hidden_l2_shift,0.4317810270111205
correctness_probe,hidden_cosine_shift,-0.27058791925090037
correctness_probe,lexical_echo,0.16559163420154727
correctness_probe,verbose_confidence_proxy,-0.3942587115174438
repair_hazard,step,-0.3640829231106597
repair_hazard,entropy_mean,0.3290323606431151
repair_hazard,entropy_std,-0.4521835807516465
repair_hazard,confidence,0.003305006894443856
repair_hazard,answer_changed,0.3187386878942457
repair_hazard,thought_token_count,0.09306442066186608
repair_hazard,hidden_l2_shift,0.6699100616521905
repair_hazard,hidden_cosine_shift,-0.6035869528698807
repair_hazard,lexical_echo,-0.04875470901843016
repair_hazard,verbose_confidence_proxy,-0.24044568342984526
corruption_hazard,step,-0.43772776491156673
corruption_hazard,entropy_mean,0.11407102460270467
corruption_hazard,entropy_std,0.10709682796701842
corruption_hazard,confidence,-0.3148752704703811
corruption_hazard,answer_changed,0.5748148582889866
corruption_hazard,thought_token_count,0.18796183053955548
corruption_hazard,hidden_l2_shift,0.25765056789691965
corruption_hazard,hidden_cosine_shift,-0.31270110422358577
corruption_hazard,lexical_echo,-0.3295114992973384
corruption_hazard,verbose_confidence_proxy,0.10209300140732389
