step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.028666666666666667,1500,43,1457,67,8,0.04466666666666667,0.005333333333333333,-0.010666666666666672,0.04598490048043926,0.18604651162790697,-0.010666666666666673,-0.010666666666666672,-0.010666666666666672,-0.010666666666666673,0.04845288888888737,1.734723475976807e-18,0.1574083826071404,0.4167202895224313,0.8266670619664122,0.18792652527606696,0.36413981263836226,0.0,0.0,29.994,1500,1.275437196645651,0.03039635509270134,0.02492544341596826,0,32.89868133696452,0
2,0.068,1500,102,1398,94,30,0.06266666666666666,0.02,-0.0073333333333333445,0.06723891273247497,0.29411764705882354,-0.007333333333333335,-0.0073333333333333445,-0.0073333333333333445,-0.007333333333333335,0.08084622222222429,-9.540979117872439e-18,0.26054140357864397,0.6089279186168367,0.8050310534887173,0.20538506990867517,0.34434726332624754,0.4246666666666667,30.832794097264607,44.879333333333335,1500,0.2958290803572613,0.007599088773175335,0.041965745057134185,0,131.5947253478581,0
3,0.11066666666666666,1500,166,1334,74,47,0.04933333333333333,0.03133333333333333,-0.032,0.05547226386806597,0.28313253012048195,-0.03200000000000001,-0.03200000000000001,-0.03200000000000001,-0.03200000000000001,0.0803426666666696,0.0,0.3091386827329621,0.6020453859928993,0.7939298259166204,0.14096694113921066,0.3495452769398689,0.6306666666666667,28.953956785202028,60.300666666666665,1500,1279.5468212413869,0.0033773727880779263,0.0221254051588697,0,296.08813203268073,1
4,0.12866666666666668,1500,193,1307,80,41,0.05333333333333334,0.027333333333333334,-0.024,0.061208875286916604,0.21243523316062177,-0.024000000000000018,-0.02400000000000001,-0.02400000000000001,-0.024000000000000018,0.07999066666666577,6.938893903907228e-18,0.36071829517516474,0.57960979468537,0.7600903084589624,0.08068984405590558,0.3711332192569971,0.692,28.620221392154694,70.35066666666667,1500,32.84147447823872,0.0018997721932938337,0.03348475898049088,0,526.3789013914324,0
5,0.15466666666666667,1500,232,1268,63,39,0.042,0.026,-0.034,0.04968454258675079,0.16810344827586207,-0.03400000000000001,-0.034,-0.034,-0.03400000000000001,0.06774399999999794,6.938893903907228e-18,0.40477090011589895,0.5459334578535934,0.7063907338747404,0.03705730199606239,0.3780760846907894,0.6693333333333333,28.37891878938675,76.57266666666666,1500,16014.935055297912,0.0012158542037080534,0.02380538479190177,0,822.4670334241131,1
6,0.17066666666666666,1500,256,1244,43,51,0.028666666666666667,0.034,-0.05533333333333334,0.03456591639871383,0.19921875,-0.05533333333333333,-0.05533333333333333,-0.05533333333333333,-0.05533333333333333,0.0626382222222218,0.0,0.4356041490849846,0.5045227830712729,0.6477547384823844,0.011266858881041626,0.3794433756967386,0.6046666666666667,27.989362092494964,80.04733333333333,1500,2393936694699.716,0.0008443431970194816,0.003499434880824402,0,1184.352528130723,1
7,0.16533333333333333,1500,248,1252,43,20,0.028666666666666667,0.013333333333333334,-0.03466666666666667,0.034345047923322686,0.08064516129032258,-0.034666666666666665,-0.034666666666666665,-0.034666666666666665,-0.034666666666666665,0.041764888888887915,0.0,0.47161669363925907,0.46065054689339735,0.5834825895546515,-0.02339799131214634,0.37449196265016993,0.5493333333333333,26.651457473516466,84.118,1500,2594991.431708726,0.0006203337774020681,0.02100440795096323,0,1612.0353855112617,1
8,0.18066666666666667,1500,271,1229,38,26,0.025333333333333333,0.017333333333333333,-0.042,0.030919446704637917,0.0959409594095941,-0.04200000000000002,-0.04200000000000001,-0.04200000000000001,-0.04200000000000002,0.04260266666666741,1.3877787807814457e-17,0.49544203465438114,0.41199872677867155,0.5134132424833697,-0.03271632148881724,0.36859577692548434,0.45066666666666666,25.044025003353756,86.494,1500,2047193349.8369498,0.00047494304832345843,0.015299088484696619,0,2105.5156055657294,1
9,0.18866666666666668,1500,283,1217,31,24,0.020666666666666667,0.016,-0.04533333333333334,0.025472473294987676,0.08480565371024736,-0.045333333333333316,-0.04533333333333334,-0.04533333333333334,-0.045333333333333316,0.036644888888887575,-2.0816681711721685e-17,0.5061834669884597,0.3752281043660158,0.4638292940609522,-0.038145423596695156,0.3597387872810165,0.414,23.4813262304465,88.146,1500,740700446596.0042,0.0003752636431197696,0.01156684915844294,0,2664.793188294126,1
10,0.19333333333333333,1500,290,1210,36,23,0.024,0.015333333333333332,-0.04133333333333333,0.02975206611570248,0.07931034482758621,-0.04133333333333334,-0.04133333333333333,-0.04133333333333333,-0.04133333333333334,0.039258222222221154,6.938893903907228e-18,0.5211236537351571,0.3337728071323534,0.40419834466914595,-0.044233254222786664,0.35444388368477425,0.358,21.921020944595337,89.92466666666667,1500,3125297915.2976036,0.00030396355092701335,0.017396852027948755,0,3289.8681336964523,1
11,0.202,1500,303,1197,19,25,0.012666666666666666,0.016666666666666666,-0.054000000000000006,0.015873015873015872,0.08250825082508251,-0.054000000000000055,-0.054000000000000006,-0.054000000000000006,-0.054000000000000055,0.029317333333333407,4.85722573273506e-17,0.5281751264727507,0.2994244087886623,0.35744104361817103,-0.042806319623146086,0.35112276082485916,0.30933333333333335,20.994871153354644,90.94133333333333,1500,7.080168342142454e+18,0.0002512095462206722,0.0027077609308526485,0,3980.740441772707,1
12,0.198,1500,297,1203,19,9,0.012666666666666666,0.006,-0.043333333333333335,0.015793848711554447,0.030303030303030304,-0.04333333333333337,-0.043333333333333335,-0.043333333333333335,-0.04333333333333337,0.01862222222222241,3.469446951953614e-17,0.5353355937961114,0.2658591902592349,0.3090903854545904,-0.045498701351873456,0.34304216568668683,0.25666666666666665,20.035798680941262,92.03466666666667,1500,757026921171247.8,0.0002110857992548704,0.010322454096067586,0,4737.410112522892,1
13,0.20466666666666666,1500,307,1193,19,9,0.012666666666666666,0.006,-0.043333333333333335,0.01592623637887678,0.029315960912052116,-0.04333333333333326,-0.043333333333333335,-0.043333333333333335,-0.04333333333333326,0.018622222222222425,-7.632783294297951e-17,0.5355074453601877,0.23816255563681724,0.2736189041697653,-0.04232896945674777,0.33678629050403835,0.22933333333333333,19.445816612641018,92.51066666666667,1500,757026921171007.1,0.00017986008930592507,0.011091244335949456,0,5559.8771459470045,1
