run_id,brier,auc,n,scope
mistral_7b_instruct_v0p3__arc_test_00000_398537ec__temp0.10__seed7,0.19769993344352832,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00000_398537ec__temp0.60__seed7,0.19091216756934845,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00000_398537ec__temp1.00__seed7,0.1482469739829571,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00001_d4bf1bf9__temp0.10__seed7,0.14089329477920604,1.0,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00001_d4bf1bf9__temp0.60__seed7,0.13949225982749636,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00001_d4bf1bf9__temp1.00__seed7,0.21214588654287397,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00002_eef48f5d__temp0.10__seed7,0.14839785778728953,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00002_eef48f5d__temp0.60__seed7,0.14962674540539014,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00002_eef48f5d__temp1.00__seed7,0.24921970533442175,0.8571428571428571,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00003_c16c54fb__temp0.10__seed7,0.23701662273487684,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00003_c16c54fb__temp0.60__seed7,0.1724851121197013,0.8571428571428572,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00003_c16c54fb__temp1.00__seed7,0.15235215695777155,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00004_89613a4b__temp0.10__seed7,0.19267713401447856,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00004_89613a4b__temp0.60__seed7,0.14497227208759972,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00004_89613a4b__temp1.00__seed7,0.24226911506313098,0.5833333333333334,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00005_2943784f__temp0.10__seed7,0.16116150692702505,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00005_2943784f__temp0.60__seed7,0.2085041273571373,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00005_2943784f__temp1.00__seed7,0.20409847424519373,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00006_73fea8aa__temp0.10__seed7,0.18643340859277924,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00006_73fea8aa__temp0.60__seed7,0.17700081111851745,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00006_73fea8aa__temp1.00__seed7,0.26176590722099846,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00007_55ae159f__temp0.10__seed7,0.33101674665267145,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00007_55ae159f__temp0.60__seed7,0.35489578180525216,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00007_55ae159f__temp1.00__seed7,0.2647070219954104,0.6,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00008_3926edfe__temp0.10__seed7,0.2451035413637676,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00008_3926edfe__temp0.60__seed7,0.24462871393534277,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00008_3926edfe__temp1.00__seed7,0.2242590113344867,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00009_0cb3f159__temp0.10__seed7,0.2975416678123586,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00009_0cb3f159__temp0.60__seed7,0.1226284483935236,1.0,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00009_0cb3f159__temp1.00__seed7,0.22576863767433306,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00010_38aa3c95__temp0.10__seed7,0.17239983390308317,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00010_38aa3c95__temp0.60__seed7,0.17588842834645835,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00010_38aa3c95__temp1.00__seed7,0.20175901460561566,1.0,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00011_0a8e7a55__temp0.10__seed7,0.3152684919691858,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00011_0a8e7a55__temp0.60__seed7,0.23752906796297596,0.1428571428571429,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00011_0a8e7a55__temp1.00__seed7,0.23910523082829943,0.8571428571428571,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00012_90d98cc0__temp0.10__seed7,0.20536149334061474,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00012_90d98cc0__temp0.60__seed7,0.300470766568008,0.0,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00012_90d98cc0__temp1.00__seed7,0.25115802024409384,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00013_6647a8fe__temp0.10__seed7,0.25422041132160084,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00013_6647a8fe__temp0.60__seed7,0.3370671571278827,0.0,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00013_6647a8fe__temp1.00__seed7,0.22732948592998006,0.2857142857142857,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00014_7f872561__temp0.10__seed7,0.24929299122691478,0.16666666666666663,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00014_7f872561__temp0.60__seed7,0.23516768592343942,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00014_7f872561__temp1.00__seed7,0.25352371119689593,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00015_495befc7__temp0.10__seed7,0.14786144921895586,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00015_495befc7__temp0.60__seed7,0.1558576782408811,,8,per_run_oof
mistral_7b_instruct_v0p3__arc_test_00015_495befc7__temp1.00__seed7,0.14184427543104744,,8,per_run_oof
