model,feature,coefficient
correctness_probe,step,-0.06199387686747148
correctness_probe,entropy_mean,-0.2350260140651536
correctness_probe,entropy_std,0.3354847091523567
correctness_probe,confidence,0.35255008098518587
correctness_probe,answer_changed,-0.4189775414955054
correctness_probe,thought_token_count,-0.0365733673953687
correctness_probe,hidden_l2_shift,0.10796729291356744
correctness_probe,hidden_cosine_shift,-0.14380630617445148
correctness_probe,lexical_echo,0.04138914499620224
correctness_probe,verbose_confidence_proxy,-0.4473770238082437
repair_hazard,step,-0.1130817962890662
repair_hazard,entropy_mean,0.30641483888202414
repair_hazard,entropy_std,0.10720926239085378
repair_hazard,confidence,-0.2118175448777163
repair_hazard,answer_changed,0.7091415641164523
repair_hazard,thought_token_count,-0.27421662742950603
repair_hazard,hidden_l2_shift,0.4662577160912326
repair_hazard,hidden_cosine_shift,-0.2703649774948871
repair_hazard,lexical_echo,0.16849945076843445
repair_hazard,verbose_confidence_proxy,0.07652427025072074
corruption_hazard,step,-0.4415121773824816
corruption_hazard,entropy_mean,-0.07744043712478844
corruption_hazard,entropy_std,0.42228223736728965
corruption_hazard,confidence,-0.48341361092712143
corruption_hazard,answer_changed,0.5017956474395318
corruption_hazard,thought_token_count,-0.10718978710108508
corruption_hazard,hidden_l2_shift,0.8650959691296782
corruption_hazard,hidden_cosine_shift,-0.6916914720959787
corruption_hazard,lexical_echo,-0.02964645842313001
corruption_hazard,verbose_confidence_proxy,0.4428767954567109
