phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,32,32,8698,4384,25.289126037620008,1.265365989809095,173.35514060384602,0.009579557925462723,21.755065576173365,2.844856104813516,0.0797658059746027,0.0,13.531906604766846,13.576171875,16.14236879348755,16.490234375,1,0
generate,0.1,7,2,32,32,12265,3280,23.735237445216626,1.3482064409028685,138.19116019254403,0.012071227189153433,19.705006272066385,3.404786996077746,0.05347708985209465,0.0,13.531979084014893,13.576171875,17.18055009841919,17.466796875,1,0
generate,0.1,7,3,32,32,15633,3252,39.8124559847638,0.8037685495274739,81.68297884572954,0.015087931882590055,36.022294651251286,2.9916834821924567,0.06452448386698961,0.0,13.532047748565674,13.576171875,18.259957790374756,18.541015625,1,0
generate,0.1,7,4,32,32,18117,3337,38.825702039990574,0.8241963008689429,85.94822049998945,0.017221155110746622,33.110352743417025,4.9426852483302355,0.07301560370251536,0.0,13.53211259841919,13.576171875,19.28053331375122,19.63671875,1,0
generate,0.1,7,5,32,32,21022,2992,42.88159402506426,0.7462409158879687,69.77352563552508,0.02074488904327154,35.97492600698024,6.131318677216768,0.056019695941358805,0.0,13.532211780548096,13.576171875,20.843546390533447,21.2578125,1,0
generate,0.1,7,6,32,32,23197,2992,47.6778563009575,0.671171115538543,62.75449930285377,0.02258108789101243,42.15094971982762,4.689413893036544,0.05777024058625102,0.0,13.532261371612549,13.576171875,21.62601947784424,22.13671875,1,0
generate,0.1,7,7,32,32,25326,3021,47.24347169697285,0.6773422623395058,63.94534295398897,0.02446462819352746,39.273815530352294,7.1662787310779095,0.05825622286647558,0.0,13.532318592071533,13.576171875,22.529674530029297,23.09375,1,0
generate,0.1,7,8,32,32,27609,2900,53.128097283653915,0.6023178249571068,54.585052886737806,0.02719693910330534,46.47237827209756,5.762648239731789,0.05565379885956645,0.0,13.532402515411377,13.576171875,23.856587886810303,24.5,1,0
generate,0.1,7,9,32,32,29809,2836,57.986643756739795,0.5518512182605954,48.90781421834526,0.02964859828352928,48.65596478898078,8.391796611715108,0.05833651218563318,0.0,13.532490253448486,13.576171875,25.245789527893066,25.96484375,1,0
generate,0.1,7,10,32,32,31941,2777,62.374343955889344,0.5130314480362335,44.52151034989439,0.03203375777229667,50.847038824576885,10.612095476593822,0.06429970683529973,0.0,13.532570362091064,13.576171875,26.515953063964844,27.3125,1,0
