run_id,brier,auc,n,scope
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.15467020616500052,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.15230557277379558,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.2310576729181056,0.6190476190476191,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.3618173459343282,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.2219900403664785,0.8888888888888888,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.27177697507692367,0.4375,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp0.10__seed7,0.3343458667036462,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp0.60__seed7,0.27403907043274855,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00002_ae407466__temp1.00__seed7,0.22483063870714365,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.2658955425280862,0.375,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.35889574584556894,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.28269033620096157,0.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.2155740428475868,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.1638392171892432,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.23841119979545425,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp0.10__seed7,0.19541935325123533,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp0.60__seed7,0.12151847552926036,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00005_d0817615__temp1.00__seed7,0.15979935325430233,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.19993343556255444,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp0.60__seed7,0.3300397089766288,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00006_4cf43e2d__temp1.00__seed7,0.17546723900772737,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp0.10__seed7,0.1838248389857336,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp0.60__seed7,0.2944515026791973,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00007_40d1aba4__temp1.00__seed7,0.20983481591790074,0.4444444444444444,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,0.2509205801963267,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp0.60__seed7,0.2620591085163443,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00008_cd4fe6cf__temp1.00__seed7,0.15018579061130938,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,0.19597453029445894,1.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp0.60__seed7,0.17937527279848048,1.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00009_a1cbbbd0__temp1.00__seed7,0.17001360826577966,1.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp0.10__seed7,0.1781073926915417,0.9375,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp0.60__seed7,0.1684976676897501,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00010_8c587dfb__temp1.00__seed7,0.22754407735158239,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp0.10__seed7,0.225068665792925,0.5,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp0.60__seed7,0.14902138687676708,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00011_127045f3__temp1.00__seed7,0.15411865400975594,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,0.21192312370102329,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp0.60__seed7,0.26494026720992686,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00012_6cf7f4b8__temp1.00__seed7,0.2085351358585931,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,0.1876007607882376,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp0.60__seed7,0.3695595827158105,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00013_6f2b17c2__temp1.00__seed7,0.1655792997179236,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp0.10__seed7,0.22269664152926483,0.5625,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp0.60__seed7,0.24801141459843806,1.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00014_f0103a9f__temp1.00__seed7,0.24284408995304124,1.0,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp0.10__seed7,0.34366730933417744,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp0.60__seed7,0.2958437243880311,0.25,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00015_20b7f79a__temp1.00__seed7,0.17055084879309648,0.75,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,0.3517328387745294,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp0.60__seed7,0.2357042371074396,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00016_0cef7ca3__temp1.00__seed7,0.14390790413540328,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00017_89d492f6__temp0.10__seed7,0.2444007304932582,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00017_89d492f6__temp0.60__seed7,0.2683688806525143,,10,per_run_oof
mistral_7b_instruct_v0p3__gsm8k_train_00017_89d492f6__temp1.00__seed7,0.3204507409009046,,10,per_run_oof
