model,feature,coefficient
correctness_probe,step,-0.02609962902288592
correctness_probe,entropy_mean,-0.27546968574512287
correctness_probe,entropy_std,0.14055554064136924
correctness_probe,confidence,0.3097359161746678
correctness_probe,answer_changed,-0.5536292101120139
correctness_probe,thought_token_count,-0.09212616221086824
correctness_probe,hidden_l2_shift,0.15994173738503237
correctness_probe,hidden_cosine_shift,-0.07347477646460647
correctness_probe,lexical_echo,-0.14478644817922168
correctness_probe,verbose_confidence_proxy,-0.22095768636834956
repair_hazard,step,-0.1439848688232926
repair_hazard,entropy_mean,0.044301647447152426
repair_hazard,entropy_std,0.13399087214596203
repair_hazard,confidence,-0.5477177681949501
repair_hazard,answer_changed,0.5882787082430972
repair_hazard,thought_token_count,0.1497412586216042
repair_hazard,hidden_l2_shift,1.0351851096613434
repair_hazard,hidden_cosine_shift,-0.5546786315202948
repair_hazard,lexical_echo,0.306546104091926
repair_hazard,verbose_confidence_proxy,-0.08599745267222758
corruption_hazard,step,-0.47374312973671295
corruption_hazard,entropy_mean,0.16996130402149448
corruption_hazard,entropy_std,0.38930564870232715
corruption_hazard,confidence,-0.5581974662557748
corruption_hazard,answer_changed,0.5420668429687155
corruption_hazard,thought_token_count,0.039994527059488055
corruption_hazard,hidden_l2_shift,0.908271086835311
corruption_hazard,hidden_cosine_shift,-0.7088879345179891
corruption_hazard,lexical_echo,-0.002306248490726002
corruption_hazard,verbose_confidence_proxy,0.5252763186310351
