phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,64,64,17229,9027,27.91960644070059,2.292295922434716,323.3211764346591,0.018461640924215317,19.877315974328667,6.757987956050783,0.18555625807493925,0.0,13.532188892364502,13.576171875,20.469786167144775,21.1015625,1,0
generate,0.1,7,2,64,64,24206,6793,68.35139954090118,0.9363378135615595,99.38348074255741,0.02321399375796318,58.13561837002635,8.663628167007118,0.1488710232079029,0.0,13.532318592071533,13.576171875,22.508212566375732,23.19140625,1,0
generate,0.1,7,3,64,64,32042,7080,72.10756756877527,0.8875628752690573,98.18664307663946,0.030015007127076387,60.048057347070426,10.596988795790821,0.17745658196508884,0.0,13.532524585723877,13.576171875,25.750245094299316,26.669921875,1,0
generate,0.1,7,4,64,64,39089,7298,98.86870828690007,0.6473231127313098,73.81506369864218,0.039220117032527924,91.79164647543803,5.307776966132224,0.1907225321047008,0.0,13.532944202423096,13.576171875,32.37159013748169,33.583984375,1,0
generate,0.1,7,5,64,64,46052,7937,121.40793142328039,0.5271484263813738,65.37464156545256,0.04523533396422863,100.53635452874005,19.009521152824163,0.22084186971187592,0.0,13.533173084259033,13.576171875,35.99296045303345,37.412109375,1,0
generate,0.1,7,6,64,64,52609,7551,128.66497481707484,0.4974158669909187,58.68730018200667,0.0715062003582716,108.97831178968772,17.828084606211632,0.1885935147292912,0.0,13.53333330154419,13.578125,38.532004833221436,40.05078125,1,0
generate,0.1,7,7,64,64,58290,7224,138.58740644110367,0.4618024223376925,52.12594842136704,0.06182091822847724,114.69724213704467,21.989119170233607,0.1884167231619358,0.0,13.53351640701294,13.578125,41.43789005279541,43.83984375,1,0
generate,0.1,7,8,64,64,64162,6993,164.98152269981802,0.3879222288210254,42.38656478352235,0.06312039634212852,137.77201116876677,25.11795573402196,0.19105603732168674,0.0,13.533752918243408,13.576171875,45.197829246520996,47.193359375,1,0
generate,0.1,7,9,64,64,69989,7086,180.64249813882634,0.35429093740065026,39.226649725328244,0.09539538016542792,150.70531359268352,27.646386805921793,0.1748072151094675,0.0,13.53401231765747,13.576171875,49.33006429672241,51.509765625,1,0
generate,0.1,7,10,64,64,76087,7068,215.5162270590663,0.29696139763276197,32.79567435106815,0.07908540824428201,190.25459014670923,21.592750295531005,0.26186392083764076,0.0,13.5324387550354,13.576171875,24.492987155914307,25.142578125,8,7
