model,feature,coefficient
correctness_probe,step,-0.05690671651999881
correctness_probe,entropy_mean,-0.3423480577716891
correctness_probe,entropy_std,0.386981498654777
correctness_probe,confidence,0.7896975300220804
correctness_probe,answer_changed,-0.364146075412584
correctness_probe,thought_token_count,0.20788474316727337
correctness_probe,hidden_l2_shift,0.10549223972908359
correctness_probe,hidden_cosine_shift,-0.17297036774905178
correctness_probe,lexical_echo,-0.15081481523555135
correctness_probe,verbose_confidence_proxy,-0.6481002258917701
repair_hazard,step,-0.16051061667960856
repair_hazard,entropy_mean,0.33944958229193645
repair_hazard,entropy_std,-0.24107896892087105
repair_hazard,confidence,-0.2874388209458402
repair_hazard,answer_changed,0.49068334949664755
repair_hazard,thought_token_count,0.37722831593043127
repair_hazard,hidden_l2_shift,0.9130447434268874
repair_hazard,hidden_cosine_shift,-0.6903598087012908
repair_hazard,lexical_echo,-0.2810524027585255
repair_hazard,verbose_confidence_proxy,-0.41567811760685974
corruption_hazard,step,-0.3460183303238913
corruption_hazard,entropy_mean,0.11415412061628649
corruption_hazard,entropy_std,0.3019719717913517
corruption_hazard,confidence,-0.3827451279406561
corruption_hazard,answer_changed,0.5494852874987698
corruption_hazard,thought_token_count,-0.18181160935892626
corruption_hazard,hidden_l2_shift,0.4730358289338802
corruption_hazard,hidden_cosine_shift,0.014050245703629439
corruption_hazard,lexical_echo,0.6638678333425742
corruption_hazard,verbose_confidence_proxy,0.40908256034057006
