step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.07333333333333333,20,73,0.014388489208633094,0.6636363636363637,-0.08533333333333334,0.3907785708109538,85.17866666666667,0.0,0.0,1500
2,0.038,46,16,0.03187803187803188,0.2807017543859649,-0.030000000000000006,0.41152159933249155,67.27866666666667,0.912,80.50039042663575,1500
3,0.058,20,14,0.014154281670205236,0.16091954022988506,-0.046000000000000006,0.36911357471098505,75.20466666666667,0.86,71.94412262598674,1500
4,0.062,12,12,0.008528784648187633,0.12903225806451613,-0.05,0.3337601407021284,77.30866666666667,0.724,61.80038272857666,1500
5,0.062,13,8,0.00923951670220327,0.08602150537634409,-0.04666666666666667,0.3011323700398207,79.87866666666666,0.6346666666666667,55.709236867586775,1500
6,0.06533333333333333,13,11,0.009272467902995721,0.11224489795918367,-0.048666666666666664,0.27015574813075366,80.968,0.5646666666666667,50.36894672997793,1500
7,0.06666666666666667,4,13,0.002857142857142857,0.13,-0.056,0.24540542412176727,81.98733333333334,0.506,45.6802210410436,1500
8,0.06066666666666667,7,5,0.0049680624556423,0.054945054945054944,-0.04866666666666667,0.21963022845300537,82.568,0.466,42.56135130818685,1500
9,0.062,6,2,0.0042643923240938165,0.021505376344086023,-0.04733333333333334,0.20527568401334187,83.726,0.42533333333333334,39.36469575246175,1500
10,0.06466666666666666,3,12,0.0021382751247327157,0.12371134020618557,-0.056,0.18810344314264754,84.552,0.38666666666666666,36.591677651087444,1500
11,0.058666666666666666,10,3,0.007082152974504249,0.03409090909090909,-0.04533333333333334,0.17509486013806114,85.23066666666666,0.36133333333333334,34.53436653963725,1500
12,0.06333333333333334,2,4,0.0014234875444839859,0.042105263157894736,-0.051333333333333335,0.1617295789110164,86.224,0.3393333333333333,32.602465388774874,1500
13,0.062,5,1,0.0035536602700781805,0.010752688172043012,-0.04733333333333334,0.15574437306572994,86.18333333333334,0.29933333333333334,31.07037448231379,1500
