step,q_t,n_transitions,n_correct_states,n_incorrect_states,n_repairs,n_corruptions,pooled_repair_frequency,pooled_corruption_frequency,pooled_proxy_drift,repair_rate,corruption_rate,empirical_utility_drift,conditional_hazard_drift,hazard_mu,empirical_mu,empirical_variance,conditional_empirical_gap,fitted_q_t,fitted_repair_hazard,fitted_corruption_hazard,fitted_hazard_drift,entropy_mean,answer_changed_rate,hidden_shift_mean,confidence_mean,n_examples,e_process_value,delta_t,eb_upper_bound,eb_stop_signal,e_process_threshold,e_process_stop_signal
1,0.07333333333333333,1500,110,1390,20,73,0.013333333333333334,0.048666666666666664,-0.08533333333333333,0.014388489208633094,0.6636363636363637,-0.08533333333333333,-0.08533333333333334,-0.08533333333333334,-0.08533333333333333,0.06075155555555473,-1.3877787807814457e-17,0.5075141635517432,0.16072757823316833,0.29472902254088984,-0.08811443011174672,0.3907785708109538,0.0,0.0,85.17866666666667,1500,2.6590276289998616e+30,0.03039635509270134,-0.04767875560320718,1,32.89868133696452,1
2,0.038,1500,57,1443,46,16,0.030666666666666665,0.010666666666666666,-0.030000000000000006,0.03187803187803188,0.2807017543859649,-0.03,-0.030000000000000006,-0.030000000000000006,-0.03,0.04093333333333268,-6.938893903907228e-18,0.32463698296116295,0.6694702504990286,0.8353189881025022,0.16260206558756396,0.41152159933249155,0.912,80.50039042663575,67.27866666666667,1500,68212.7316445546,0.007599088773175335,0.011976702931785484,0,131.5947253478581,1
3,0.058,1500,87,1413,20,14,0.013333333333333334,0.009333333333333334,-0.046,0.014154281670205236,0.16091954022988506,-0.046,-0.046000000000000006,-0.046000000000000006,-0.046,0.02265066666666629,-6.938893903907228e-18,0.3667504407099975,0.5803421736545588,0.7840144299491825,0.07307034344367562,0.36911357471098505,0.86,71.94412262598674,75.20466666666667,1500,2996504216566710.0,0.0033773727880779263,-0.00452363551586869,1,296.08813203268073,1
4,0.062,1500,93,1407,12,12,0.008,0.008,-0.05,0.008528784648187633,0.12903225806451613,-0.05000000000000002,-0.05,-0.05,-0.05000000000000002,0.016000000000000007,1.3877787807814457e-17,0.39663175191712563,0.4942333491153002,0.6996985053421418,0.032535624578452285,0.3337601407021284,0.724,61.80038272857666,77.30866666666667,1500,4.376971294912554e+20,0.0018997721932938337,-0.008007025768976116,1,526.3789013914324,1
5,0.062,1500,93,1407,13,8,0.008666666666666666,0.005333333333333333,-0.04666666666666667,0.00923951670220327,0.08602150537634409,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,-0.04666666666666667,0.013988888888888443,0.0,0.4209511483111311,0.42948288287906233,0.6314181104702147,-0.0022674887446690805,0.3011323700398207,0.6346666666666667,55.709236867586775,79.87866666666666,1500,6.490051080780648e+18,0.0012158542037080534,-0.0033528498773417806,1,822.4670334241131,1
6,0.06533333333333333,1500,98,1402,13,11,0.008666666666666666,0.007333333333333333,-0.04866666666666667,0.009272467902995721,0.11224489795918367,-0.04866666666666666,-0.048666666666666664,-0.048666666666666664,-0.04866666666666666,0.015998222222222584,-6.938893903907228e-18,0.433384862657878,0.3800522320014949,0.5710466122283786,-0.017942675152931888,0.27015574813075366,0.5646666666666667,50.36894672997793,80.968,1500,3.944922173176753e+19,0.0008443431970194816,-0.0027586305727175867,1,1184.352528130723,1
7,0.06666666666666667,1500,100,1400,4,13,0.0026666666666666666,0.008666666666666666,-0.056,0.002857142857142857,0.13,-0.05599999999999999,-0.056,-0.056,-0.05599999999999999,0.01129733333333314,-1.3877787807814457e-17,0.4457642244209758,0.34074154297583065,0.5134297499303935,-0.027703411364432357,0.24540542412176727,0.506,45.6802210410436,81.98733333333334,1500,4.0842056746720414e+27,0.0006203337774020681,-0.010759964894212798,1,1612.0353855112617,1
8,0.06066666666666667,1500,91,1409,7,5,0.004666666666666667,0.0033333333333333335,-0.04866666666666667,0.0049680624556423,0.054945054945054944,-0.048666666666666705,-0.04866666666666667,-0.04866666666666667,-0.048666666666666705,0.007998222222222049,3.469446951953614e-17,0.44900996352331934,0.31019616756288054,0.4677233200343057,-0.02758482093938778,0.21963022845300537,0.466,42.56135130818685,82.568,1500,7.763553677914861e+22,0.00047494304832345843,-0.004002598333129076,1,2105.5156055657294,1
9,0.062,1500,93,1407,6,2,0.004,0.0013333333333333333,-0.04733333333333334,0.0042643923240938165,0.021505376344086023,-0.04733333333333332,-0.04733333333333334,-0.04733333333333334,-0.04733333333333332,0.0053262222222224135,-2.0816681711721685e-17,0.45679585724951344,0.2787281432013989,0.42456779096298897,-0.03582120546493571,0.20527568401334187,0.42533333333333334,39.36469575246175,83.726,1500,8.544249700284959e+22,0.0003752636431197696,-0.003398693275304697,1,2664.793188294126,1
10,0.06466666666666666,1500,97,1403,3,12,0.002,0.008,-0.056,0.0021382751247327157,0.12371134020618557,-0.05599999999999999,-0.056,-0.056,-0.05599999999999999,0.00996399999999983,-1.3877787807814457e-17,0.45909688135286314,0.25149477229414646,0.38475996140933116,-0.03722050620399503,0.18810344314264754,0.38666666666666666,36.591677651087444,84.552,1500,1.6010376905159169e+28,0.00030396355092701335,-0.008157268634346737,1,3289.8681336964523,1
