phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,16,16,4442,1005,16.631354763172567,0.9620382841829218,60.428029725239774,0.005479584913700819,14.137358649168164,2.1313195200636983,0.02373721683397889,0.0,41.47012376785278,41.505859375,43.361173152923584,43.462890625,1,0
generate,0.1,7,2,16,16,5139,1029,17.35668778140098,0.9218348685827734,59.28550498572962,0.006227156147360802,15.719385818112642,1.245421854313463,0.02456736098974943,0.0,41.470139026641846,41.505859375,43.72176933288574,43.853515625,1,0
generate,0.1,7,3,16,16,5937,1046,8.802428985014558,1.8176801002585468,118.8308365544025,0.006779513321816921,7.120154940057546,1.295932766981423,0.01734122820198536,0.0,41.470152378082275,41.505859375,44.0373911857605,44.205078125,1,0
generate,0.1,7,4,16,16,6747,1103,20.892983936239034,0.7658073183241138,52.79284200696859,0.00791520718485117,17.408234586007893,3.0840371614322066,0.022724528796970844,0.0,41.47016763687134,41.505859375,44.398216247558594,44.556640625,1,0
generate,0.1,7,5,16,16,7609,1052,17.823347039986402,0.8976989543043878,59.0237062455135,0.008639933075755835,14.13079369906336,3.310643807053566,0.021185230929404497,0.0,41.4701771736145,41.505859375,44.623793601989746,44.810546875,1,0
generate,0.1,7,6,16,16,8423,1084,9.808301284909248,1.6312712604594548,110.51862789612807,0.009566632099449635,7.716938845813274,1.7152639557607472,0.01873607002198696,0.0,41.470192432403564,41.505859375,44.984817028045654,45.181640625,1,0
generate,0.1,7,7,16,16,9268,1076,16.891321940347552,0.9472319606780751,63.70134935560055,0.010078819934278727,12.55860868608579,3.9128157030791044,0.021884960122406483,0.0,41.47020769119263,41.505859375,45.34596252441406,45.552734375,1,0
generate,0.1,7,8,16,16,10106,1079,25.289839762263,0.6326651394555249,42.66535534203196,0.011117377784103155,20.45453110197559,4.405205490067601,0.020375348161906004,0.0,41.47022867202759,41.505859375,45.84273719787598,46.080078125,1,0
hidden_state_write,0.1,7,0,16,16,0,0,0.004847588948905468,,,0.0,0.0,0.0,0.0,0.004847588948905468,41.470043659210205,41.505859375,45.84273719787598,46.080078125,0,0
generate,0.1,7,1,16,16,4410,954,10.293952382169664,1.5543106676609348,92.67577355928323,0.005457242019474506,8.984875040128827,0.9610584559850395,0.01732567511498928,0.0,41.470118045806885,41.505859375,43.22598075866699,43.326171875,1,0
