run_id,brier,auc,n,scope
mistral_small_24b_2409__arc_test_00000_398537ec__temp0.10__seed7,0.12432008220288757,,8,per_run_oof
mistral_small_24b_2409__arc_test_00000_398537ec__temp0.60__seed7,0.20597481014991406,,8,per_run_oof
mistral_small_24b_2409__arc_test_00000_398537ec__temp1.00__seed7,0.1863335268667169,,8,per_run_oof
mistral_small_24b_2409__arc_test_00001_d4bf1bf9__temp0.10__seed7,0.12618433694475914,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00001_d4bf1bf9__temp0.60__seed7,0.2905901759297979,0.9166666666666667,8,per_run_oof
mistral_small_24b_2409__arc_test_00001_d4bf1bf9__temp1.00__seed7,0.08517338870014939,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00002_eef48f5d__temp0.10__seed7,0.15669688480350563,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00002_eef48f5d__temp0.60__seed7,0.17176618693330914,0.8666666666666667,8,per_run_oof
mistral_small_24b_2409__arc_test_00002_eef48f5d__temp1.00__seed7,0.06804550113902377,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00003_c16c54fb__temp0.10__seed7,0.11615627461052513,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00003_c16c54fb__temp0.60__seed7,0.16442406131530657,0.8571428571428571,8,per_run_oof
mistral_small_24b_2409__arc_test_00003_c16c54fb__temp1.00__seed7,0.1487737199496399,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00004_89613a4b__temp0.10__seed7,0.08942171788741238,,8,per_run_oof
mistral_small_24b_2409__arc_test_00004_89613a4b__temp0.60__seed7,0.10021399181146917,,8,per_run_oof
mistral_small_24b_2409__arc_test_00004_89613a4b__temp1.00__seed7,0.11791890242808789,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00005_2943784f__temp0.10__seed7,0.1696342202661853,,8,per_run_oof
mistral_small_24b_2409__arc_test_00005_2943784f__temp0.60__seed7,0.21457673993900375,,8,per_run_oof
mistral_small_24b_2409__arc_test_00005_2943784f__temp1.00__seed7,0.12174379186269006,,8,per_run_oof
mistral_small_24b_2409__arc_test_00006_73fea8aa__temp0.10__seed7,0.18991057742023199,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00006_73fea8aa__temp0.60__seed7,0.32063997934997124,,8,per_run_oof
mistral_small_24b_2409__arc_test_00006_73fea8aa__temp1.00__seed7,0.1757887826482408,1.0,8,per_run_oof
mistral_small_24b_2409__arc_test_00007_55ae159f__temp0.10__seed7,0.43625989320861586,,8,per_run_oof
mistral_small_24b_2409__arc_test_00007_55ae159f__temp0.60__seed7,0.27731474905701203,,8,per_run_oof
mistral_small_24b_2409__arc_test_00007_55ae159f__temp1.00__seed7,0.23273786210163105,,8,per_run_oof
mistral_small_24b_2409__arc_test_00008_3926edfe__temp0.10__seed7,0.2630939280444679,,8,per_run_oof
mistral_small_24b_2409__arc_test_00008_3926edfe__temp0.60__seed7,0.22256112159266286,0.8,8,per_run_oof
mistral_small_24b_2409__arc_test_00008_3926edfe__temp1.00__seed7,0.34572796765710073,,8,per_run_oof
mistral_small_24b_2409__arc_test_00009_0cb3f159__temp0.10__seed7,0.14317402791125217,,8,per_run_oof
mistral_small_24b_2409__arc_test_00009_0cb3f159__temp0.60__seed7,0.2720616652500037,,8,per_run_oof
mistral_small_24b_2409__arc_test_00009_0cb3f159__temp1.00__seed7,0.24753429268154387,,8,per_run_oof
mistral_small_24b_2409__arc_test_00010_38aa3c95__temp0.10__seed7,0.12902353168455297,,8,per_run_oof
mistral_small_24b_2409__arc_test_00010_38aa3c95__temp0.60__seed7,0.16913418028520583,,8,per_run_oof
mistral_small_24b_2409__arc_test_00010_38aa3c95__temp1.00__seed7,0.1734808081415251,,8,per_run_oof
