model,feature,coefficient
correctness_probe,step,-0.18771389079652973
correctness_probe,entropy_mean,-0.5573983957952948
correctness_probe,entropy_std,0.6189140018610806
correctness_probe,confidence,1.849532507676685
correctness_probe,answer_changed,-0.20070663017717927
correctness_probe,thought_token_count,0.427397846033539
correctness_probe,hidden_l2_shift,0.2896870712245053
correctness_probe,hidden_cosine_shift,-0.10344920370249497
correctness_probe,lexical_echo,-0.08854615708620005
correctness_probe,verbose_confidence_proxy,-0.90325074638619
repair_hazard,step,-0.7409280272713124
repair_hazard,entropy_mean,0.24335012986164534
repair_hazard,entropy_std,-0.43378773454252173
repair_hazard,confidence,-0.2799633826289117
repair_hazard,answer_changed,0.4132361196909499
repair_hazard,thought_token_count,-0.14874000139340826
repair_hazard,hidden_l2_shift,0.3389741877971879
repair_hazard,hidden_cosine_shift,-0.5406311529019321
repair_hazard,lexical_echo,-0.02980047196436752
repair_hazard,verbose_confidence_proxy,-0.08162942502283015
corruption_hazard,step,-0.5733640537998097
corruption_hazard,entropy_mean,0.3621627479354192
corruption_hazard,entropy_std,0.04276437662425541
corruption_hazard,confidence,-0.7152299310466924
corruption_hazard,answer_changed,0.644869936410867
corruption_hazard,thought_token_count,-0.038267928560946206
corruption_hazard,hidden_l2_shift,0.3178097033731797
corruption_hazard,hidden_cosine_shift,-0.4678591448840874
corruption_hazard,lexical_echo,-0.23492427289363163
corruption_hazard,verbose_confidence_proxy,0.3045488164734031
