model,feature,coefficient
correctness_probe,step,0.08989467074900918
correctness_probe,entropy_mean,-0.16472266011054487
correctness_probe,entropy_std,0.3802015510189094
correctness_probe,confidence,0.2755355969751958
correctness_probe,answer_changed,0.07994066051444712
correctness_probe,thought_token_count,0.1686479190762926
correctness_probe,hidden_l2_shift,-0.04347716027916055
correctness_probe,hidden_cosine_shift,0.0005965088899967082
correctness_probe,lexical_echo,0.08789058380773386
correctness_probe,verbose_confidence_proxy,-0.12026266094705343
repair_hazard,step,-0.10369499403780419
repair_hazard,entropy_mean,0.35083240078393
repair_hazard,entropy_std,-0.53387505582653
repair_hazard,confidence,-0.4031910965205066
repair_hazard,answer_changed,0.25826545920151006
repair_hazard,thought_token_count,0.1060095911292629
repair_hazard,hidden_l2_shift,-0.11907062103877945
repair_hazard,hidden_cosine_shift,0.13245723985841315
repair_hazard,lexical_echo,-0.10126350702704881
repair_hazard,verbose_confidence_proxy,-0.021920444607304766
corruption_hazard,step,-0.2960558230074442
corruption_hazard,entropy_mean,0.5061457595251112
corruption_hazard,entropy_std,-0.9236399055034702
corruption_hazard,confidence,-0.28648050036821454
corruption_hazard,answer_changed,0.4479711612728218
corruption_hazard,thought_token_count,0.2990294829063374
corruption_hazard,hidden_l2_shift,0.8036265022962436
corruption_hazard,hidden_cosine_shift,-0.4842846482368625
corruption_hazard,lexical_echo,-0.24515136172434712
corruption_hazard,verbose_confidence_proxy,-0.20112932725060875
