phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,16,16,4455,1216,20.254596618004143,0.789944144618399,60.03575499099832,0.0053633940406143665,18.34291325090453,1.4344134773127735,0.05442813923582435,0.0,41.47015428543091,41.486328125,44.0824875831604,44.224609375,1,0
generate,0.1,7,2,16,16,5362,1170,18.97071701521054,0.8434051273429124,61.67399993695047,0.010503001976758242,15.240237154066563,3.247368400916457,0.038296626415103674,0.0,41.47016763687134,41.486328125,44.398216247558594,44.556640625,1,0
generate,0.1,7,3,16,16,6348,1193,33.04059300106019,0.4842528098538244,36.10710013472578,0.007538456004112959,28.54348599119112,3.9673101641237736,0.033894303254783154,0.0,41.4701886177063,41.486328125,44.89454984664917,45.103515625,1,0
generate,0.1,7,4,16,16,7285,1257,25.13697929540649,0.6365124389836223,50.006008487650824,0.008427838794887066,22.30025286693126,2.1744616832584143,0.040010565891861916,0.0,41.47022485733032,41.486328125,45.75239706039429,45.982421875,1,0
generate,0.1,7,5,16,16,8222,1194,20.877855735830963,0.7663622262002943,57.18978113019696,0.01691437792032957,15.967706744093448,4.246249735355377,0.04181864997372031,0.0,41.470253467559814,41.486328125,46.43013143539429,46.685546875,1,0
generate,0.1,7,6,16,16,9120,1246,31.702519333921373,0.5046917511972041,39.302870124482276,0.010973031166940928,25.642178159207106,5.432312721852213,0.04293259419500828,0.0,41.47027254104614,41.486328125,46.882192611694336,47.193359375,1,0
generate,0.1,7,7,16,16,10052,1229,27.829546764027327,0.5749285152096589,44.16169657454193,0.012442121747881174,21.2938355631195,5.934477757662535,0.038311764132231474,0.0,41.47029733657837,41.486328125,47.470157623291016,47.818359375,1,0
generate,0.1,7,8,16,16,10992,1286,34.763428023085,0.46025380435367425,36.99289952492657,0.014442547224462032,27.46695703268051,6.70143955713138,0.0374541562050581,0.0,41.47032022476196,41.486328125,48.01318073272705,48.384765625,1,0
generate,0.1,7,9,16,16,11975,1277,34.29957403568551,0.4664780962980325,37.23078306078672,0.0127457189373672,28.69583144132048,5.025261219125241,0.03375859884545207,0.0,41.47035074234009,41.486328125,48.73763847351074,49.126953125,1,0
generate,0.1,7,10,16,16,12975,1210,41.89959248295054,0.381865289179378,28.87856249419046,0.013620611280202866,37.36076261429116,3.9641789910383523,0.028530936688184738,0.0,41.47037935256958,41.486328125,49.41726064682007,49.830078125,1,0
generate,0.1,7,11,16,16,13908,1183,43.2961522070691,0.36954785089164643,27.32344422530111,0.014089676085859537,33.9842296410352,8.674050108063966,0.03570464439690113,0.0,41.470409870147705,41.486328125,50.142664432525635,50.61328125,1,0
generate,0.1,7,12,16,16,14831,1183,37.229921128135175,0.4297618559258396,31.775517222516765,0.015293169766664505,27.46647607907653,9.183960107155144,0.022960012778639793,0.0,41.47043466567993,41.486328125,50.73241472244263,51.23828125,1,0
generate,0.1,7,13,16,16,15787,1143,35.98995822202414,0.4445684516023906,31.758858761345778,0.01560817426070571,25.530276460107416,9.84573529381305,0.031865152064710855,0.0,41.470457553863525,41.486328125,51.27708578109741,51.8046875,1,0
generate,0.1,7,14,16,16,16704,1230,45.53311228565872,0.35139262828382195,27.013308299318812,0.016627061646431684,34.40842049382627,10.485945126973093,0.02628327626734972,0.0,41.47047662734985,41.486328125,51.73118782043457,52.2734375,1,0
hidden_state_write,0.1,7,0,16,16,0,0,0.007409846875816584,,,0.0,0.0,0.0,0.0,0.007409846875816584,41.470043659210205,41.486328125,51.73118782043457,52.2734375,0,0
generate,0.1,7,1,16,16,4297,1090,18.340328013990074,0.8723944297940112,59.43187052971701,0.005450734402984381,15.368226001039147,2.5760365682654083,0.02058791695162654,0.0,41.47014665603638,41.486328125,43.90211296081543,44.048828125,1,0
generate,0.1,7,2,16,16,4987,1298,20.81811639200896,0.7685613673550987,62.34954092668238,0.006182890851050615,17.123149908147752,3.2535811932757497,0.021305442787706852,0.0,41.47015428543091,41.486328125,44.0824875831604,44.224609375,1,0
generate,0.1,7,3,16,16,5870,1169,25.00394894881174,0.639898922876355,46.75261505265368,0.006763981189578772,21.144627497997135,3.417225378099829,0.025453167036175728,0.0,41.4701771736145,41.486328125,44.623793601989746,44.888671875,1,0
generate,0.1,7,4,16,16,6693,1201,23.491141467820853,0.6811078134247954,51.12565524519871,0.00801365403458476,21.11024918127805,1.9409722667187452,0.018323088064789772,0.0,41.47020387649536,41.486328125,45.25566482543945,45.455078125,1,0
generate,0.1,7,5,16,16,7524,1207,30.560563235078007,0.5235505601426511,39.49534538076124,0.008015446830540895,25.901344269979745,4.2030667290091515,0.019750798121094704,0.0,41.47020959854126,41.486328125,45.391114234924316,45.611328125,1,0
generate,0.1,7,6,16,16,8316,1254,30.629714072681963,0.5223685719701211,40.94063682815824,0.008640603628009558,25.57431340077892,4.576734458096325,0.019771739840507507,0.0,41.47022294998169,41.486328125,45.70723009109497,45.943359375,1,0
generate,0.1,7,7,16,16,9203,1193,29.435057923663408,0.5435695095791638,40.5299015579964,0.009520262945443392,26.32781476015225,2.5657425010576844,0.016708963084965944,0.0,41.470261096954346,41.486328125,46.61093330383301,46.900390625,1,0
generate,0.1,7,8,16,16,10017,1349,52.654482590034604,0.30386776610408023,25.619851029650263,0.01068268483504653,47.25151220662519,4.718956782948226,0.02973824692890048,0.0,41.47028970718384,41.486328125,47.28921127319336,47.583984375,1,0
generate,0.1,7,9,16,16,10994,1310,49.940819152630866,0.3203792062581161,26.231047512383256,0.013472356367856264,45.18715398525819,3.810278921853751,0.028423947747796774,0.0,41.47013807296753,41.486328125,43.70156812667847,43.83984375,3,2
generate,0.1,7,10,16,16,12043,1389,55.2863927106373,0.28940213342806037,25.12372270822349,0.013116464018821716,47.57482889201492,7.0069099916145205,0.03877875814214349,0.0,41.47035455703735,41.486328125,48.828229904174805,49.24609375,1,0
generate,0.1,7,11,16,16,12930,1306,64.4972259667702,0.24807268468016602,20.24893288701855,0.01910648075863719,54.69775305502117,9.069773642811924,0.025302086025476456,0.0,41.47039461135864,41.486328125,49.7799015045166,51.31640625,1,0
generate,0.1,7,12,16,16,13725,1203,44.41761881392449,0.3602174188361524,27.083847178743206,0.013931076042354107,34.570735125336796,9.25929325306788,0.02079773787409067,0.0,41.470423221588135,41.486328125,50.460182189941406,51.119140625,1,0
