step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.02,22,6,0.014965986394557823,0.2,-0.03933333333333334,0.24004906555016836,84.13333333333334,0.0,0.0,1500
2,0.030666666666666665,44,7,0.030261348005502064,0.15217391304347827,-0.025333333333333333,0.2099929169366757,82.944,0.49733333333333335,75.25088147608439,1500
3,0.05533333333333333,50,13,0.035285815102328866,0.1566265060240964,-0.025333333333333336,0.20069837303459645,83.40333333333334,0.5573333333333333,66.33060108502706,1500
4,0.08,42,25,0.030434782608695653,0.20833333333333334,-0.03866666666666667,0.19928600313638647,83.89333333333333,0.5506666666666666,64.88456844584147,1500
5,0.09133333333333334,61,16,0.04475421863536317,0.11678832116788321,-0.020000000000000004,0.20159183969472846,84.84733333333334,0.5293333333333333,64.18197790114085,1500
6,0.12133333333333333,59,23,0.044764795144157814,0.12637362637362637,-0.026000000000000002,0.2096290376583735,85.69733333333333,0.5246666666666666,62.681212547302245,1500
7,0.14533333333333334,65,22,0.05070202808112324,0.10091743119266056,-0.021333333333333336,0.21530685305471223,86.64933333333333,0.516,62.45461569722494,1500
8,0.174,58,24,0.046811945117029866,0.09195402298850575,-0.027333333333333328,0.2208385997613271,87.342,0.48,61.792735938390095,1500
9,0.19666666666666666,48,12,0.03983402489626556,0.04067796610169491,-0.026000000000000002,0.2275832156278193,87.72666666666667,0.4646666666666667,61.90998551940918,1500
10,0.22066666666666668,49,19,0.041916167664670656,0.05740181268882175,-0.030000000000000006,0.23825566082447766,88.86666666666666,0.4093333333333333,60.178319115956626,1500
11,0.24066666666666667,45,20,0.03950834064969271,0.055401662049861494,-0.03333333333333334,0.24296473722035686,89.654,0.38666666666666666,58.11293097114563,1500
12,0.25733333333333336,47,9,0.0421903052064632,0.023316062176165803,-0.02466666666666667,0.25451228695735334,90.35533333333333,0.3626666666666667,57.17435638538996,1500
13,0.2826666666666667,56,13,0.05204460966542751,0.030660377358490566,-0.021333333333333333,0.2632084981389344,91.48133333333334,0.32666666666666666,55.45194860267639,1500
