model,feature,coefficient
correctness_probe,step,0.048966843773569815
correctness_probe,entropy_mean,-0.009735735583569976
correctness_probe,entropy_std,-0.025783203992526642
correctness_probe,confidence,0.7614566226861628
correctness_probe,answer_changed,-0.6418976175725923
correctness_probe,thought_token_count,-0.1549786620931475
correctness_probe,hidden_l2_shift,0.5876136758366531
correctness_probe,hidden_cosine_shift,-0.4510767939820465
correctness_probe,lexical_echo,-0.1485932715071091
correctness_probe,verbose_confidence_proxy,-0.14366627504307644
repair_hazard,step,0.00924003204486739
repair_hazard,entropy_mean,0.0896767541882945
repair_hazard,entropy_std,-0.1018621306495889
repair_hazard,confidence,-0.27335946673593153
repair_hazard,answer_changed,0.5408569795935126
repair_hazard,thought_token_count,-0.05706731875834861
repair_hazard,hidden_l2_shift,0.2680878987247456
repair_hazard,hidden_cosine_shift,-0.22936807006356763
repair_hazard,lexical_echo,-0.2472438399075102
repair_hazard,verbose_confidence_proxy,-0.3231150050253386
corruption_hazard,step,-0.03697491702033859
corruption_hazard,entropy_mean,-0.01959913158542263
corruption_hazard,entropy_std,0.006049891203442724
corruption_hazard,confidence,-0.6122526163830071
corruption_hazard,answer_changed,0.21619333708325397
corruption_hazard,thought_token_count,0.032697420977646836
corruption_hazard,hidden_l2_shift,-0.032567873277970685
corruption_hazard,hidden_cosine_shift,0.068876150964739
corruption_hazard,lexical_echo,-0.11458966818069956
corruption_hazard,verbose_confidence_proxy,0.4679372521865339
