phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,96,96,38095,24576,55.942484664265066,1.716048198004385,439.30833868912254,0.08541458379477262,36.02075408305973,4.14353223098442,9.16419651499018,0.0,7.178022861480713,7.2109375,56.539262771606445,57.66796875,1,0
generate,0.1,7,2,96,96,45775,24576,60.94131959602237,1.5752858755993513,403.27318415343393,0.07087597530335188,36.358519915957004,4.29798650322482,13.174774453043938,0.0,7.1780686378479,7.2109375,57.93644952774048,59.1328125,1,0
generate,0.1,7,3,96,96,55011,24576,62.187503882683814,1.5437184965825799,395.19193512514045,0.08392378222197294,36.754448597785085,4.330989801790565,14.397562581114471,0.0,7.178091526031494,7.2109375,58.63517999649048,59.85546875,1,0
generate,0.1,7,4,96,96,63313,24576,62.809222829993814,1.5284379534490327,391.28011608295236,0.09500237507745624,37.98196188360453,4.502094391267747,13.593597460072488,0.0,7.178160190582275,7.2109375,60.73192119598389,62.0234375,1,0
generate,0.1,7,5,96,96,70233,24576,66.0788447316736,1.4528099029247146,371.91933514872693,0.10158363496884704,41.07738910615444,4.92933548707515,12.983625129796565,0.0,7.1783318519592285,7.2109375,65.97737884521484,67.3359375,1,0
generate,0.1,7,6,96,96,77120,24576,70.20791738387197,1.367367151415503,350.0459907623688,0.11179390596225858,44.38546499283984,5.399959760718048,13.251624362077564,0.0,7.1785149574279785,7.2109375,71.57820987701416,72.974609375,1,0
generate,0.1,7,7,96,96,83164,24576,76.39864860801026,1.2565667292436187,321.6810826863664,0.15474718809127808,50.44432079140097,5.77424179809168,12.896763560827821,0.0,7.177547931671143,7.2109375,42.18065595626831,42.9765625,2,1
generate,0.1,7,8,96,96,89306,24576,79.84550292091444,1.2023219403488046,307.79441672929397,0.14192720130085945,53.11994381155819,6.151337862480432,12.905580967664719,0.0,7.177639484405518,7.2109375,44.98693132400513,45.888671875,2,1
generate,0.1,7,9,96,96,95387,24576,83.00933905504644,1.1564963785139766,296.063072899578,0.15461165783926845,56.39033080684021,6.618799361400306,12.670581717509776,0.0,7.177765369415283,7.2109375,48.850343227386475,49.794921875,2,1
generate,0.1,7,10,96,96,101302,24576,87.4613535949029,1.0976276498605975,280.99267836431295,0.1641157460398972,59.65475991694257,7.144778471905738,12.95320959109813,0.0,7.177839756011963,7.2109375,51.13587236404419,52.158203125,2,1
