run_id,brier,auc,n,scope
phi_4_mini_instruct__gpqa_main_00000_e61ff7fc__temp0.10__seed7,0.2734016100259234,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00000_e61ff7fc__temp0.60__seed7,0.26976158858148186,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00000_e61ff7fc__temp1.00__seed7,0.260107029868281,0.11111111111111116,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.10__seed7,0.2398060948374714,0.5,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp0.60__seed7,0.23738065317933893,0.3333333333333333,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00001_eadb944e__temp1.00__seed7,0.2476697937002231,0.6190476190476191,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp0.10__seed7,0.25813853468498504,0.2222222222222222,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp0.60__seed7,0.22755079287980565,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00002_1250771f__temp1.00__seed7,0.24795357031747836,0.6666666666666667,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00003_6e947a5f__temp0.10__seed7,0.2648033246634522,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00003_6e947a5f__temp0.60__seed7,0.2545533636683506,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00003_6e947a5f__temp1.00__seed7,0.23938207741191322,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00004_265cc24d__temp0.10__seed7,0.23277675692716712,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00004_265cc24d__temp0.60__seed7,0.2869184699105459,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00004_265cc24d__temp1.00__seed7,0.25803428206921414,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00005_f53e97d9__temp0.10__seed7,0.2921970338987515,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00005_f53e97d9__temp0.60__seed7,0.25864959055036585,0.32000000000000006,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00005_f53e97d9__temp1.00__seed7,0.20013822018371638,0.8888888888888888,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00006_3739a204__temp0.10__seed7,0.21874298866308708,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00006_3739a204__temp0.60__seed7,0.24756782882820466,0.2222222222222222,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00006_3739a204__temp1.00__seed7,0.2559539228417388,0.3125,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00007_6c27f522__temp0.10__seed7,0.2851729308025466,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00007_6c27f522__temp0.60__seed7,0.2282234739446732,0.4444444444444444,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00007_6c27f522__temp1.00__seed7,0.2595080594519742,0.3333333333333333,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00008_726ae877__temp0.10__seed7,0.27859106394605077,0.2222222222222222,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00008_726ae877__temp0.60__seed7,0.265388734254309,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00008_726ae877__temp1.00__seed7,0.27068564395574957,0.11111111111111116,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00009_a047a4da__temp0.10__seed7,0.2701285952244764,0.4375,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00009_a047a4da__temp0.60__seed7,0.21285313293929478,0.8125,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00009_a047a4da__temp1.00__seed7,0.22445294433786275,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00010_fa834623__temp0.10__seed7,0.22100176630393148,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00010_fa834623__temp0.60__seed7,0.2655687158565916,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00010_fa834623__temp1.00__seed7,0.26613482500210467,0.3333333333333333,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00011_159b66c2__temp0.10__seed7,0.2507897561971128,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00011_159b66c2__temp0.60__seed7,0.3199234927929154,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00011_159b66c2__temp1.00__seed7,0.2324085329172832,0.4444444444444444,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00012_33e3f184__temp0.10__seed7,0.2753313261070669,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00012_33e3f184__temp0.60__seed7,0.2530890688218662,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00012_33e3f184__temp1.00__seed7,0.2942811641900792,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00013_c6091900__temp0.10__seed7,0.23852351315401896,0.6666666666666666,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00013_c6091900__temp0.60__seed7,0.21556350870960114,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00013_c6091900__temp1.00__seed7,0.22422518817119252,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00014_cc7b0408__temp0.10__seed7,0.21218908464504352,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00014_cc7b0408__temp0.60__seed7,0.2617111307377452,0.4444444444444444,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00014_cc7b0408__temp1.00__seed7,0.23814804800749986,0.6666666666666666,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00015_c0c657da__temp0.10__seed7,0.2640114652802983,0.375,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00015_c0c657da__temp0.60__seed7,0.22480120369963769,0.375,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00015_c0c657da__temp1.00__seed7,0.2517894364627461,0.56,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00016_fc851e3b__temp0.10__seed7,0.25158254334433633,0.6666666666666667,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00016_fc851e3b__temp0.60__seed7,0.2547858585553621,0.23809523809523808,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00016_fc851e3b__temp1.00__seed7,0.23860152394620418,0.9047619047619049,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00017_2e9ec04d__temp0.10__seed7,0.2494551819510958,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00017_2e9ec04d__temp0.60__seed7,0.2410614429966409,0.6,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00017_2e9ec04d__temp1.00__seed7,0.22229874417189185,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00018_e6715add__temp0.10__seed7,0.2426363299442465,0.45833333333333337,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00018_e6715add__temp0.60__seed7,0.2191254854800734,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00018_e6715add__temp1.00__seed7,0.27553807797759416,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00019_9002350e__temp0.10__seed7,0.27242576551174963,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00019_9002350e__temp0.60__seed7,0.23182244900872603,0.2222222222222222,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00019_9002350e__temp1.00__seed7,0.267278667594531,0.09523809523809523,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00020_2e5b70ec__temp0.10__seed7,0.31560637506497613,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00020_2e5b70ec__temp0.60__seed7,0.2045108663174524,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00020_2e5b70ec__temp1.00__seed7,0.21940810387590556,0.7083333333333334,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00021_766a20c4__temp0.10__seed7,0.2235671380966858,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00021_766a20c4__temp0.60__seed7,0.21039018497974435,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00021_766a20c4__temp1.00__seed7,0.23848293097408363,0.33333333333333337,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00022_f1830e1a__temp0.10__seed7,0.29223724636805437,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00022_f1830e1a__temp0.60__seed7,0.23659554083391487,0.875,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00022_f1830e1a__temp1.00__seed7,0.20274892888583143,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00023_17e6f25c__temp0.10__seed7,0.2285187888972981,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00023_17e6f25c__temp0.60__seed7,0.25355793255131115,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00023_17e6f25c__temp1.00__seed7,0.24072351614779683,0.5625,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00024_09d249e2__temp0.10__seed7,0.30007869415298694,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00024_09d249e2__temp0.60__seed7,0.24751512394651928,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00024_09d249e2__temp1.00__seed7,0.3183010198751094,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00025_3a4dd8d0__temp0.10__seed7,0.2100421520606782,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00025_3a4dd8d0__temp0.60__seed7,0.20897971442731392,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00025_3a4dd8d0__temp1.00__seed7,0.287358216072448,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00026_c9f73204__temp0.10__seed7,0.26761633612635627,0.11111111111111116,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00026_c9f73204__temp0.60__seed7,0.29268887227580487,0.25,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00026_c9f73204__temp1.00__seed7,0.23582525763275358,0.875,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00027_c27e0667__temp0.10__seed7,0.23088386400206815,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00027_c27e0667__temp0.60__seed7,0.25319915989177977,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00027_c27e0667__temp1.00__seed7,0.21926684258036983,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00028_31c650a3__temp0.10__seed7,0.295219344855922,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00028_31c650a3__temp0.60__seed7,0.2711520929028111,0.0625,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00028_31c650a3__temp1.00__seed7,0.24132752020757878,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00029_dd14b86f__temp0.10__seed7,0.2756073205553864,0.5555555555555556,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00029_dd14b86f__temp0.60__seed7,0.2695514579049166,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00029_dd14b86f__temp1.00__seed7,0.25084996033940093,0.52,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00030_36ae2620__temp0.10__seed7,0.2841082581870845,0.3125,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00030_36ae2620__temp0.60__seed7,0.266938902076796,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00030_36ae2620__temp1.00__seed7,0.217542760048465,0.33333333333333337,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00031_1a959528__temp0.10__seed7,0.28157586855601724,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00031_1a959528__temp0.60__seed7,0.26590015263146094,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00031_1a959528__temp1.00__seed7,0.2846061065276787,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00032_2c712926__temp0.10__seed7,0.26528816291833246,0.25,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00032_2c712926__temp0.60__seed7,0.2722710944500969,0.6666666666666667,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00032_2c712926__temp1.00__seed7,0.22666542241248416,0.11111111111111116,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00033_d3ee1999__temp0.10__seed7,0.27327016775276874,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00033_d3ee1999__temp0.60__seed7,0.2541615572202452,0.5714285714285714,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00033_d3ee1999__temp1.00__seed7,0.238642660535389,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00034_5ed642db__temp0.10__seed7,0.2556118490588999,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00034_5ed642db__temp0.60__seed7,0.28289264736052655,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00034_5ed642db__temp1.00__seed7,0.25234488165215807,0.45833333333333337,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00035_417e5d47__temp0.10__seed7,0.24461500631694957,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00035_417e5d47__temp0.60__seed7,0.26271767880140223,0.11111111111111116,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00035_417e5d47__temp1.00__seed7,0.268788091733789,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00036_deca6480__temp0.10__seed7,0.3022530254464774,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00036_deca6480__temp0.60__seed7,0.2977904712957254,0.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00036_deca6480__temp1.00__seed7,0.25368973187718213,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00037_b23e47c3__temp0.10__seed7,0.29107735731632056,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00037_b23e47c3__temp0.60__seed7,0.2229341961723245,1.0,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00037_b23e47c3__temp1.00__seed7,0.2672587747582761,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00038_5118fb47__temp0.10__seed7,0.22945975997794274,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00038_5118fb47__temp0.60__seed7,0.2313288177541303,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00038_5118fb47__temp1.00__seed7,0.2504293409208054,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00039_6668ab07__temp0.10__seed7,0.25942371751598037,0.5833333333333334,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00039_6668ab07__temp0.60__seed7,0.2628091732620562,0.5833333333333333,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00039_6668ab07__temp1.00__seed7,0.21340338534755884,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00040_bae470e5__temp0.10__seed7,0.19804619737969265,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00040_bae470e5__temp0.60__seed7,0.2219751122070293,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00040_bae470e5__temp1.00__seed7,0.23140531485775412,0.2222222222222222,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00041_9eba97c4__temp0.10__seed7,0.290332872375809,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00041_9eba97c4__temp0.60__seed7,0.304508516196705,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00041_9eba97c4__temp1.00__seed7,0.2503382172710367,,10,per_run_oof
phi_4_mini_instruct__gpqa_main_00042_1c5915cd__temp0.10__seed7,0.2272023525373199,0.7777777777777778,10,per_run_oof
