model,feature,coefficient
correctness_probe,step,0.036229464796378584
correctness_probe,entropy_mean,-0.026801603931981065
correctness_probe,entropy_std,0.05890829422341252
correctness_probe,confidence,0.13193833233626534
correctness_probe,answer_changed,-0.09787782689137042
correctness_probe,thought_token_count,-0.004387546362352808
correctness_probe,hidden_l2_shift,-0.10135486723953836
correctness_probe,hidden_cosine_shift,0.11171591906195136
correctness_probe,lexical_echo,-0.009366693531362175
correctness_probe,verbose_confidence_proxy,0.021020387977506348
repair_hazard,step,-0.11613998001328395
repair_hazard,entropy_mean,-0.0840576339531412
repair_hazard,entropy_std,0.26430235317226436
repair_hazard,confidence,-0.801114394312397
repair_hazard,answer_changed,0.5011131097069966
repair_hazard,thought_token_count,0.07739787846155968
repair_hazard,hidden_l2_shift,0.14976810415141573
repair_hazard,hidden_cosine_shift,-0.038450091104468766
repair_hazard,lexical_echo,-0.24910064282952488
repair_hazard,verbose_confidence_proxy,0.39744615668679417
corruption_hazard,step,-0.0715692356464064
corruption_hazard,entropy_mean,0.1637550008967625
corruption_hazard,entropy_std,0.06968498842938929
corruption_hazard,confidence,-0.029862505670736898
corruption_hazard,answer_changed,0.5149298818223726
corruption_hazard,thought_token_count,0.09633874090786658
corruption_hazard,hidden_l2_shift,0.25642908932200587
corruption_hazard,hidden_cosine_shift,-0.10770892064019463
corruption_hazard,lexical_echo,-0.20824376914770112
corruption_hazard,verbose_confidence_proxy,-0.31034215220706834
