run_id,brier,auc,n,scope
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp0.10__seed7,0.3280130927661174,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp0.60__seed7,0.31014544563275737,0.4375,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00000_b5828bc4__temp1.00__seed7,0.2322862832297945,0.6666666666666667,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp0.10__seed7,0.26249893969164956,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp0.60__seed7,0.23632121382044838,0.5555555555555556,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00001_3691caf7__temp1.00__seed7,0.18749230084378982,0.7916666666666667,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp0.10__seed7,0.27194150920179383,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp0.60__seed7,0.316358340360068,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00002_ae407466__temp1.00__seed7,0.2989645279910091,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp0.10__seed7,0.21130980540220684,0.4444444444444444,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp0.60__seed7,0.26124361030847243,0.5555555555555556,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00003_135cf83f__temp1.00__seed7,0.15465161172297429,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp0.10__seed7,0.2879868125419914,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp0.60__seed7,0.21862134153454554,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00004_3ee48c01__temp1.00__seed7,0.18688913207029617,,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp0.10__seed7,0.24927819688064917,0.7083333333333334,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp0.60__seed7,0.17581100184363993,1.0,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00005_d0817615__temp1.00__seed7,0.15521813386475053,0.8888888888888888,10,per_run_oof
phi_4_mini_instruct__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,0.21453735698478188,,10,per_run_oof
