model,feature,coefficient
correctness_probe,step,-0.07259619414314541
correctness_probe,entropy_mean,0.047035791862083086
correctness_probe,entropy_std,-0.02454515982044038
correctness_probe,confidence,0.10472502928294872
correctness_probe,answer_changed,-0.5645202441515924
correctness_probe,thought_token_count,-0.08894944208015236
correctness_probe,hidden_l2_shift,0.3749231706952643
correctness_probe,hidden_cosine_shift,-0.3250967703741896
correctness_probe,lexical_echo,-0.022671663330054697
correctness_probe,verbose_confidence_proxy,0.09640173450189835
repair_hazard,step,-0.143985162498865
repair_hazard,entropy_mean,0.07483094695265692
repair_hazard,entropy_std,-0.12693561052816946
repair_hazard,confidence,-0.41613966979954486
repair_hazard,answer_changed,0.5910343278816489
repair_hazard,thought_token_count,0.031155217265086296
repair_hazard,hidden_l2_shift,-0.08622565337605095
repair_hazard,hidden_cosine_shift,0.02161138134493952
repair_hazard,lexical_echo,-0.18129942968085017
repair_hazard,verbose_confidence_proxy,-0.00534164164103668
corruption_hazard,step,-0.31787589942511396
corruption_hazard,entropy_mean,-0.10381015264727127
corruption_hazard,entropy_std,0.0933304941757595
corruption_hazard,confidence,-0.4037055424152717
corruption_hazard,answer_changed,0.354559632462562
corruption_hazard,thought_token_count,-0.09642364733037362
corruption_hazard,hidden_l2_shift,-0.07052174211353984
corruption_hazard,hidden_cosine_shift,-0.027065550022430926
corruption_hazard,lexical_echo,-0.1019114655258924
corruption_hazard,verbose_confidence_proxy,0.2459365035464015
